--- [Section 1] (Source: sub_scene0_film09_1.json) ---
Narration: ガラガラ…
美樹さやか: 恭介、具合は…
上条恭介: さやか…
美樹さやか: ん？どうしたの
上条恭介: 昨日は…ごめん！\n本当に、ごめん！
美樹さやか: えっ、ちょっとちょっと！\nどうしちゃったの？
上条恭介: 僕は昨日…とても恥ずかしい\nことをしてしまった
上条恭介: ケガが想像以上にひどいからって\nさやかに当たり散らしたりして…
上条恭介: そんなことしたって何にも\nなりやしないのに…
上条恭介: さやかはずっと\n僕を心配してくれていて…
上条恭介: 今日だって、あんなにひどい\n言葉をぶつけた、僕を…
美樹さやか: え…なにか言ったっけ？
美樹さやか: あはは、あたし正直、あんまり\n覚えてないんだけどさ
美樹さやか: そうやって自分を見つめて\n悪いところを直していける…
美樹さやか: 弱いところから逃げずに\n真っ直ぐ立ち向かっていける
美樹さやか: 恭介は、恭介だよ
上条恭介: さやか…
美樹さやか: 奇跡とか、魔法とか…\nそりゃ、あったら楽だけど
美樹さやか: でも、そんなものがなくても\nちゃんと自分の足で立てる
美樹さやか: それが、上条恭介でしょ？\nちがう？
上条恭介: …僕に、できるかな
美樹さやか: んー、そうだな
美樹さやか: じゃあ、あたしが隣いて\n支えてあげよー！
美樹さやか: …なんちゃって
上条恭介: ありがとう、さやか
上条恭介: これからも、よろしくね
美樹さやか: …うん
鹿目まどか: 風で、建物が揺れてる\nこの避難所、大丈夫かな？
鹿目まどか: テレビでは、異常気象って\n言ってたけれど…
鹿目まどか: もしこれがただの\n嵐じゃなかったら…
鹿目詢子: …ん？どうしたまどか？
鹿目まどか: ちょっとトイレ…
鹿目まどか: キュゥべえ、この嵐って\nもしかして…
キュゥべえ: ああ、普通の人間には\n自然災害に見えるだろうけど…
キュゥべえ: 強い魔力を感じる\n魔女の仕業だね
鹿目まどか: そんな…
キュゥべえ: 被害を防ぐには\n魔女を倒すしかない
キュゥべえ: 実際、キミのクラスメイトは\n魔女と戦っているはずだよ
鹿目まどか: 暁美さん…
鹿目まどか: …………
鹿目まどか: わたし、行かなきゃ！
キュゥべえ: ああ\n急ごう、まどか
