
---[Section 030] (Source: 901115-030_homura.json) ---
キュゥべえ: 気をつけて\n出てくるよ
ほむら: きゃあああっ！
旁白: やあっ！
まどか: 大丈夫だよ、ほむらちゃん！
マミ: 鹿目さん、使い魔は私が\n引き受けるわ
まどか: はいっ！わかりました！
まどか: やぁっ！
まどか: たぁっ！
まどか: これで…とどめっ！
まどか: やった！
まどか: ほむらちゃん、見てくれた？\n大丈夫だって、言った…
ほむら: !!
ほむら: 鹿目さんッ!!
まどか: え…!?
まどか: あ…あぶなかった…
まどか: マミさん…ありがとうございます
マミ: ううん、問題ないわ
マミ: 魔女がそういう変化をするのも\nわかっていたもの
まどか: はい、マミさんがいてくれると\n安心して戦えます！
ほむら: もう、これ以上は…無理だ
まどか: え…ほむらちゃん？

---[Section 040] (Source: 901115-040_homura.json) ---
ほむら: …私、小さい頃から身体が弱くて\nずっと、それがコンプレックスで
ほむら: 魔法少女になれば\nそれが治るって聞いて
ほむら: だから、ホントに、キュゥべえと\n契約しようと、思ってました
ほむら: ホントに、それは\nウソじゃなくて…
ほむら: でも…なのに…
まどか: もしかして…怖くなっちゃった？
まどか: それは、しかたないよ\nだって、それが普通だし…
ほむら: そうじゃないんです！
ほむら: そうじゃなくて、ただ…
ほむら: 鹿目さんも、巴さんも、自分の\n命を賭けて戦ってるのに…
ほむら: 私、病気が治っても\n死んじゃったら意味ないって…
ほむら: いつも、ただただ\n自分の事だけが心配で…
ほむら: それが、本当に、情けなくて…
ほむら: 鹿目さんや、巴さんみたいに\nカッコよくはなれないって…
ほむら: だから…!!
まどか: ほむらちゃん\n悩ませちゃって、ごめんね
まどか: もう心配しなくて大丈夫
まどか: ほむらちゃんみたいなひとの\n幸せも守れるように…
まどか: わたしは\n魔法少女になったんだよ？
ほむら: 鹿目さん…
まどか: 町の平和は、わたしに任せて！
