
---[Section 025] (Source: 905117-025_madoka.json) ---
仁美: それでは、お先に失礼しますわー
旁白: ばいばーい、仁美ちゃーん
まどか＆さやかの声: 退院祝い、ありがとねー
まどか＆さやかの声: まどかも、今日は\nどうもありがとう
旁白: ううん、お祝い\n遅くなっちゃってごめんね
まどか＆さやかの声: 一緒に給仕してくれたの\n魔法少女の仲間、だよね
旁白: あ…うん
まどか＆さやかの声: やっぱりまどかも…契約して\n魔法少女になったの？
旁白: 隠すつもりはなかったんだけど\n切り出すタイミングがなくて…
旁白: ごめんね、さやかちゃん\nずっと反対してたのに…
まどか＆さやかの声: ううん、こっちこそ\n言いづらくしちゃって、ごめん！
まどか＆さやかの声: でもあたし、もう全然\n反対してないから！
旁白: え…
まどか＆さやかの声: 実は前に、病院で、魔女の結界に\n入り込んじゃったことがあって…
まどか＆さやかの声: その時、知らない魔法少女に\n助けてもらったの
旁白: えっ、そうなんだ
まどか＆さやかの声: お礼を言う暇も\nなかったんだけどね
まどか＆さやかの声: あたしは全然、勇気が出なくて\n戦う気にはなれないけど…
まどか＆さやかの声: でも、自分が助けられてるんだし\n反対なんてできないなって
旁白: さやかちゃん…
まどか＆さやかの声: それに、ひとりじゃ危ないけど\n心強い仲間もいるんでしょ？
旁白: うん！ほむらちゃんも\nまばゆさんも、頼りになるから…
旁白: だから、わたしのことは全然\n心配しなくて大丈夫！
まどか＆さやかの声: 見滝原の平和は\n君に任せたぞ、鹿目まどか！
旁白: あはははは…
まどか＆さやかの声: あ、そうだ\nところでさ…
まどか＆さやかの声: 契約したってことは\n何か願いを叶えたんでしょ？
まどか＆さやかの声: まどかは、一体何を願ったの？
旁白: え、えっと…
旁白: ちょっと、うまく\n説明しづらいんだけど…
旁白: 絶望してしまった人に、希望を\n与えてあげられたらなって…
まどか＆さやかの声: えっ、ちょっと、何それ！\nまどか、聖人過ぎない？
旁白: え？そ、そうかな…
まどか＆さやかの声: まどか大明神、ありがたやー\nありがたやー！
旁白: ちょ、ちょっとやめてよ！
まどか＆さやかの声: あっ、ご利益でなんか\n骨折が治ってきたかも！
旁白: もう…
