
---[Section 1] (Source: 312101-1.json) ---
みたまの声: きゃー！\nはや～い！
ももこ: …ふぅ…\n満足したか？
みたま: ううん\n次はもっと速く引っ張って？
ももこ: もっと!?
ももこ: っていうか\nまだ引っ張らせる気なのか？
ももこ: スピードを求めるなら\n自分で泳いだ方が速いだろ…
みたま: もぅ～！
みたま: 自分で泳ぐのと\n浮き輪を引っ張ってもらうのは
みたま: 全然別なのよぉ
ももこ: …はぁ、わかったよ\nもう１回だけだからな
みたま: はぁ～い！
みたま: じゃあ、そのあとでわたしが\nももこを引っ張ってあ・げ・る
ももこ: いや…引っ張って欲しいって\nわけじゃなくてさ…
みたま: じゃあ、砂に埋まって\nデトックスする～？
みたま: それとも、\n海岸で青春の追いかけっこ？
みたま: …いえ\n夏の海の定番と言えば…
みたま: そ～れっ！
旁白: バシャッ
ももこ: わっ！\n冷たっ
ももこ: やったなぁ～\nそれー！
旁白: バシャッ
みたま: きゃあっ！
みたま: もうっ～\nももこ、こそ～
ももこ: あはは
みたま: うふふ
ももこ: あははっ
みたま: うふふ～♪
みたま: こういう青春がお望み？
みたま: いいわよぉ\n付き合っちゃう♪
ももこ: …………
みたま: もしかして、呆れてるぅ…？
ももこ: …いや、調整屋が\n楽しそうで何よりだよ
ももこ: けどさ…
ももこ: アタシらはただ遊びに\n来たわけじゃないだろ？
みたま: もちろん\n忘れてないわよ～？

---[Section 2] (Source: 312101-2.json) ---
旁白: ＜数日前…＞
ももこ: 渚のベストコンビコンテスト…？
みたま: その優勝賞品についてくる副賞が\nどうしても欲しくて…
ももこ: …何が欲しいんだ？\n変な食材とか言わないよな？
みたま: ううん…\nわたしが欲しいのは招待券…
みたま: 特別イベント・駄菓子ワールドの\nスペシャル招待券よぉ～！
みたま: ミィに内緒で手に入れて\nプレゼントしたいの
ももこ: あっ、妹のためか…
みたま: もしかして、わたしの手料理を\n期待していたの？
みたま: ごめんなさい…\n今回は違うの
ももこ: 今回も何も前回がないだろ
ももこ: そうじゃなくて…
ももこ: みかげちゃんを溺愛してるって\n聞いてたけど
ももこ: ホントに大切にしてるんだって\n思ってさ
みたま: 可愛い妹だもの
みたま: …それでね
みたま: 可愛いミィのために招待券を\n手に入れたいんだけど
みたま: “コンビ”って言うだけあって\nふたり１組での参加が条件なの
ももこ: …うん？
みたま: だけど、相手がいなくて…
ももこ: 十七夜さんは？
みたま: 予定があるみたいなのよね…
みたま: メインの優勝賞品は、\nホタテBBQ食べ放題なんだけど
みたま: 副賞には、招待券のほかにも
みたま: モカウサギの巨大ぬいぐるみ\nなんかもあるらしくてねぇ～？
