
--- [Section 1] (Source: 321011-1.json) ---
？？？: 見滝原市…災厄の日の出来事…
まどか: ほむらちゃん…ごめんね\nわたし、魔法少女になる
ほむら: まどか、そんな…
まどか: わたし、やっと分かったの\n叶えたい願い事を見つけたの
まどか: だからそのために\nこの命を使うね
ほむら: やめて！
ほむら: それじゃあ、それじゃあ私は…\n何のために…
まどか: ごめん…\nほんとにごめん
まどか: これまでずっと、ずっとずっと\nほむらちゃんに守られて
まどか: 望まれてきたから\n今のわたしが在るんだと思う
まどか: ほんとにごめん
まどか: そんなわたしが\nやっと見つけ出した答えなの
まどか: 信じて
まどか: 絶対に今日までのほむらちゃんを\n無駄にしたりしないから
ほむら: まどか…
キュゥべえ: 数多の世界の運命を束ね\n因果の特異点となったキミなら
キュゥべえ: どんな途方もない望みだろうと\n叶えられるだろう
まどか: …本当だね？
キュゥべえ: さぁ、鹿目まどか
キュゥべえ: その魂を対価にして\nキミは何を願う？
まどか: わたし…
まどか: すべての魔女を\n産まれる前に消し去りたい
まどか: すべての宇宙、過去と未来の\nすべての魔女を、この手で
キュゥべえ: ――っ!?
キュゥべえ: その祈りは…\nそんな祈りが叶うとすれば
キュゥべえ: それは時間干渉なんて\nレベルじゃない
キュゥべえ: 因果律そのものに対する叛逆だ！
キュゥべえ: …はっ！
キュゥべえ: キミは本当に\n神になるつもりかい？
まどか: 神様でも、何でもいい
まどか: 今日まで魔女と\n戦ってきたみんなを…
まどか: 希望を信じた魔法少女を\nわたしは泣かせたくない
まどか: 最後まで笑顔でいてほしい
まどか: それを邪魔するルールなんて\n壊してみせる…変えてみせる…
まどか: これがわたしの祈り…\nわたしの願い…
まどか: さぁ、叶えてよ\nインキュベーター！

--- [Section 2] (Source: 321011-2.json) ---
マミ: 鹿目さん
マミ: それがどんなに恐ろしい\n願いか分かっているの？
まどか: …たぶん
マミ: 未来と、過去と、すべての時間で
マミ: あなたは永遠に\n戦い続けることになるのよ
マミ: そうなればきっと
マミ: あなたはあなたという\n個体を保てなくなる
マミ: 死ぬなんて生易しいものじゃない
マミ: 未来永劫に終わりなく\n魔女を滅ぼす概念として
マミ: この宇宙に固定されてしまうわ
まどか: いいんです\nそのつもりです
まどか: 希望を抱くのが\n間違いだなんて言われたら
まどか: わたし、そんなのは違うって…\n何度でも、そう言い返せます
まどか: きっといつまでも言い張れます
杏子: いいんじゃねぇの？
杏子: やれるもんなら、やってみなよ
杏子: 戦う理由、見つけたんだろ？
杏子: 逃げないって\n自分で決めたんだろ？
杏子: なら仕方ないじゃん
杏子: あとはもう、とことん\n突っ走るしかねーんだからさ
まどか: うん…\nありがとう、杏子ちゃん
マミ: …じゃあ、預かっていたもの\n返さないとね
マミ: はい、これ
まどか: あはは…
マミ: あなたは希望を\n叶えるんじゃない
マミ: …あなた自身が\n希望になるのよ
マミ: 私たちすべての希望に
まどか: …………
まどか: あなたたちの祈りを\n絶望で終わらせたりしない！
まどか: あなたたちは誰も呪わない\n祟らない\n因果はすべて私が受け止める！\nだからお願い\n最後まで自分を信じて！
まどか: <black>もういいの…もういいんだよ</black>
まどか: <black>もう誰も恨まなくていいの</black>\n<black>誰も呪わなくていいんだよ</black>
まどか: <black>…そんな姿になる前に</black>\n<black>あなたは、わたしが受け止めてあげるから</black>

--- [Section 3] (Source: 321011-3.json) ---
ほむら: …………
ほむら: ――っ!?
ほむら: ここは…
キュゥべえ: まどかがもたらした新しい法則に基づいて\n宇宙が再編されているんだよ
キュゥべえ: …そうか、キミもまた時間を超える\n魔法の遣い手だったね
キュゥべえ: じゃあ一緒に見届けようか\n鹿目まどかという、存在の結末を…
キュゥべえ: あれが、彼女の祈りがもたらした\nソウルジェムだ
ほむら: そんな…
キュゥべえ: その壮大すぎる祈りを叶えた対価に\nまどかが背負うことになる\n呪いの量が分かるかい？
キュゥべえ: ひとつの宇宙を作り出すに\n等しい希望が、遂げられた
キュゥべえ: ―キュゥべえ―\nそれは即ち、ひとつの宇宙を\n終わらせるほどの絶望を\nもたらすことを意味する
キュゥべえ: ―キュゥべえ―\n当然だよね
ほむら: ――っ!?
ほむら: …くぅっ！…
まどか: ううん\n大丈夫
まどか: わたしの願いは\nすべての魔女を消し去ること
まどか: 本当にそれが\n叶ったんだとしたら…
まどか: ―まどか―\nわたしだって\nもう絶望する必要なんて…
まどか: ―まどか―\nない！
キュゥべえ: まどか
キュゥべえ: これでキミの人生は\n始まりも終わりもなくなった
キュゥべえ: この世界に生きた証も\nその記憶も、もう何処にも残されていない
キュゥべえ: キミという存在は\nひとつ上の領域にシフトして\nただの概念に成り果ててしまった
キュゥべえ: もう誰もキミを認識できないし\nキミもまた誰にも干渉できない
キュゥべえ: キミは…この宇宙の一員ではなくなった
ほむら: …………
ほむら: 何よ、それ…
ほむら: これがまどかの\n望んだ結末だっていうの？
ほむら: こんな終わり方で\nまどかは報われるの？
ほむら: 冗談じゃないわ！
ほむら: これじゃ死ぬよりも\nもっと酷い…酷い…
まどか: ―まどか―\nううん、違うよ…ほむらちゃん
まどか: ―まどか―\n今のわたしにはね\n過去と未来のすべてが見えるの
まどか: ―まどか―\nかつてあったかもしれない宇宙も
まどか: ―まどか―\nいつか有り得るかもしれない\n宇宙も、みんな
ほむら: ―ほむら―\nまどか…
まどか: ―まどか―\nだからね、全部分かったよ\nいくつもの時間で
まどか: ―まどか―\nほむらちゃんが、わたしのために\n頑張ってくれたこと、何もかも
まどか: ―まどか―\n…何度も泣いて\n傷だらけになりながら
まどか: ―まどか―\nそれでもわたしのために…
まどか: ―まどか―\nずっと気付けなくてごめん…
まどか: ―まどか―\nごめんね…
まどか: ―まどか―\n今のわたしになったから\n本当のあなたを知ることができた
まどか: ―まどか―\nわたしには、こんなにも\n大切な友達がいてくれたんだって
まどか: ―まどか―\n…だから、嬉しいよ
ほむら: ―ほむら―\n…………
まどか: ―まどか―\nほむらちゃん、ありがとう
まどか: ―まどか―\nあなたはわたしの\n最高の友達だったんだね…
ほむら: ―ほむら―\n…だからって
ほむら: ―ほむら―\nあなたは、このまま…\n帰る場所もなくなって
ほむら: ―ほむら―\n大好きな人たちとも\n離ればなれになって…
ほむら: ―ほむら―\nこんな場所に、ひとりぼっちで\n永遠に取り残されるっていうの!?
まどか: ―まどか―\nふふっ…ひとりじゃないよ
まどか: ―まどか―\nみんな、みんないつまでも\nわたしと一緒だよ
まどか: ―まどか―\nこれからのわたしはね\nいつでもどこにでもいるの
まどか: ―まどか―\nだから見えなくても\n聞こえなくても
まどか: ―まどか―\nわたしは\nほむらちゃんの側にいるよ
ほむら: ―ほむら―\nまどかは…それでもいいの？
ほむら: ―ほむら―\n私はあなたを忘れちゃうのに？\nまどかのこと、もう二度と
ほむら: ―ほむら―\n感じ取ることさえ\nできなくなっちゃうのに？
まどか: ―まどか―\nううん、諦めるのは、まだ早いよ
まどか: ―まどか―\nほむらちゃんはこんな場所まで\nついてきてくれたんだもの
まどか: ―まどか―\nだから元の世界に戻っても
まどか: ―まどか―\nもしかしたら、わたしのこと\n忘れずにいてくれるかも
まどか: ―まどか―\n大丈夫\nきっと大丈夫
まどか: ―まどか―\n信じようよ
ほむら: ―ほむら―\nまどか…
まどか: ―まどか―\nだって魔法少女はさ\n夢と希望を叶えるんだから
まどか: ―まどか―\nきっとほんの少しなら\n本当の奇跡があるかもしれない
まどか: ―まどか―\n…そうでしょう？
ほむら: ―ほむら―\nまどかッ、行かないでッ！
まどか: ―まどか―\nごめんね……わたし\nみんなを迎えに行かないと
まどか: ―まどか―\nいつかまた、もう一度\nほむらちゃんとも逢えるから
まどか: ―まどか―\nそれまでは…\nほんのちょっとだけ、お別れだね…
ほむら: まどかぁぁッ！

--- [Section 4] (Source: 321011-4.json) ---
まどか: こうしてわたしはいくつもの世界に…\n宇宙に干渉し、魔女という存在\nそのものを消してきた…
まどか: だけど、その過程で…
まどか: …おかしい…
まどか: どこからか微かに\n違和感を感じる…
まどか: 違和感のある…因果
まどか: でも、見つからない…
まどか: どこ…？\nどこにあるの？
まどか: 私は長い時間をかけて\nこの違和感の原因を探っていた
まどか: やがて細い因果の糸を見つけ\n辿っていくと…
まどか: ここは…
まどか: この宇宙は…干渉できない…？
まどか: これじゃあ…救えない…！\nこの宇宙の魔法少女を…
まどか: 何かが干渉を邪魔しているの…？
まどか: …この町からだ…
まどか: 町の名前は…神浜市…
まどか: ……………
まどか: 見極めないと…
まどか: …すべての因果を受け止めるって\n私は願ったのだから…
