
--- [Section 1] (Source: 330033-1.json) ---
旁白: §×ΘΦщβ！！
都 ひなの: チッ！
都 ひなの: ちょこまか、\nうざったい奴らだ…
都 ひなの: なッ!!
旁白: §×ΘΦщβ！！
都 ひなの: まったく\nどんだけ派遣するつもりだよ…！
都 ひなの: アタシの進路を阻もうってか？
都 ひなの: 邪魔だ邪魔だ邪魔だーァッ!!
都 ひなの: ったく…！
都 ひなの: この程度で\n足止めされるかってんだ
都 ひなの: 衣美里？平気か？
都 ひなの: どこだよ？\nアタシも、もう結界内にいるぞ
木崎 衣美里: 先輩っ…！\nゲホッ！魔女っ…
都 ひなの: 衣美里…？
木崎 衣美里: ゲホッ！ゲホゴホッ！\nあーしがコイツをっ…！
都 ひなの: お前…！
都 ひなの: バカッ！\n何で逃げてないんだよっ!!
木崎 衣美里: だって…！
木崎 衣美里: たまには、\nみゃーこ先輩抜きで倒して
木崎 衣美里: ゲホゲホッ！\n…っ、自慢の後輩ってか…！
木崎 衣美里: 頼りになる後輩ってか…！\nゴホッ！
木崎 衣美里: そういうのに…
木崎 衣美里: なりたいんだよーぉッ!!
都 ひなの: 衣美里…！
都 ひなの: あれだけ\n硫化水素は危険だから、って…！
都 ひなの: 何聞いてたんだよっ…!!
都 ひなの: 閉鎖空間じゃなかろうと危険だ！
都 ひなの: 魔女はいいから…！\nいいから今は…
都 ひなの: とにかく逃げろ!!
木崎 衣美里: ゴホッ！\nう…分かった…
木崎 衣美里: ごめん
木崎 衣美里: 結局また、\nみゃーこ先輩に頼っちゃった
都 ひなの: もう、いいから…！
旁白: 随x薯曝q署]liжx！！
木崎 衣美里: ひやうっ!!
都 ひなの: 衣美里!?
木崎 衣美里: う…うっそー!!\nゲホッ！ゲホゲホゲホッ!!
都 ひなの: 衣美里！\nどうした!?
木崎 衣美里: ぐ、うぅ…！\n魔女の…攻撃でっ…ゲホッ…！
木崎 衣美里: ガレキ…が…！\nぐ、う…！
都 ひなの: ガレキ…!?衣美里!?\n閉じ込められたのか!?
木崎 衣美里: せんぱ…正解…
木崎 衣美里: ダメだこりゃ…ケホッ…\n…出らんない…っぽくて…
都 ひなの: 衣美里ッ!!
木崎 衣美里: 先輩みたく…
木崎 衣美里: …もっと、ちっこかったら…\n…助かった…のかな…
都 ひなの: …!!
都 ひなの: こんなときまで\n何言ってんだよッ…!!
都 ひなの: 衣美里！\n衣美里!!
都 ひなの: 衣美里!!
都 ひなの: …………\n]…くそっ！
都 ひなの: （硫化水素の恐ろしさは…）
都 ひなの: （嫌ってほど\nよく分かってんだよ…！）
都 ひなの: （時間がない…！\n急がないと…!!）

--- [Section 2] (Source: 330033-2.json) ---
木崎 衣美里: せんぱーい！これ、こっちに\nしまっちゃえばいー？
都 ひなの: おー\nよろしくな
木崎 衣美里: ふんふ～ん♪
木崎 衣美里: うおっとっとっと～い!!
都 ひなの: ――っ!!
都 ひなの: バカッ!!\n何やってんだよ！
木崎 衣美里: ふえっ!?
都 ひなの: 薬品の扱いは慎重にって\nいつも言ってんだろ！
木崎 衣美里: う…\n…そんなキレなくてもさぁ～…
都 ひなの: あ…
都 ひなの: あぁぁ…\nすまん…
都 ひなの: 自分が昔、\n薬品で危険な思いしてるから…
都 ひなの: どうも過敏になっちまってな…
木崎 衣美里: なになに？なにそれ？\nどんな“都昔ばなし”!?
都 ひなの: 妙なタイトル付けんなって…
木崎 衣美里: 危険って？どのレベルの危険？\nすんげーヤバい感じ？
都 ひなの: おぉ、すんげーヤバかったよ
都 ひなの: 何せ、それがアタシが\n魔法少女になった理由だからな
都 ひなの: あそこでキュゥべえに\n出会ってなかったら…
都 ひなの: アタシは多分死んでたよ
木崎 衣美里: 死…!?\nひぇええへっ!?
木崎 衣美里: ってか何それ!?\n事故っ!?事件!?
都 ひなの: …や、ぜんぶ自業自得だ
都 ひなの: 有害ガスを発生させる危険な実験\nなんかに手出しちまったせいだ
木崎 衣美里: うえー\n何で、またそんな危険なこと…
都 ひなの: まー…\n子供だったんだなァ…
都 ひなの: 浅はかだったんだよ…
都 ひなの: 危ないことほど、好奇心を\nくすぐられるっていうかな…
木崎 衣美里: ふえー
木崎 衣美里: 先輩、意外に\nデンジャラスな女だったんだね
都 ひなの: デンジャラスな女て…
木崎 衣美里: 今はっ？もーしてないのっ？\nそーゆーヤバいヤツ
都 ひなの: とっくの昔にやめたよ
都 ひなの: それくらいの分別、弁えられる\nくらいには成長したってこった
木崎 衣美里: へー…
木崎 衣美里: でも身体は成長しなかったんだね
都 ひなの: ――っ!?\nうっさいわ!!

--- [Section 3] (Source: 330033-3.json) ---
都 ひなの: （間に合え…！\n間に合ってくれ…!!）
都 ひなの: ――っ!!
都 ひなの: …チッ！通り道まで\nバリケードだらけかよ…!!
都 ひなの: えらくデカいの、\nぶっ放してくれたみたいだな…！
都 ひなの: 通り道まで\nボロボロじゃないか…！
都 ひなの: くっ…！
都 ひなの: （ここの隙間…\n通れるか…？）
都 ひなの: （いける…!!）
都 ひなの: （今だけは…）
都 ひなの: （今だけは、\nこの小さい身体に感謝だな…！）
都 ひなの: （待ってろ、クソ魔女…！）
都 ひなの: （アタシ相手に\nガレキの障壁だなんて）
都 ひなの: （ミスチョイスだったな…！）
都 ひなの: ぐっ…ぬぬ…！
都 ひなの: …っと！
都 ひなの: （隙間を縫って…）
都 ひなの: 最短コースで辿り着いてやる!!
都 ひなの: 着いた…！はぁ、は…\n最深部の入り口だな…！
都 ひなの: 来たぞ！衣美里!!
都 ひなの: っ！\nこんなモンで…
都 ひなの: 可愛い後輩、\n閉じ込めやがって…！
都 ひなの: ふざけんな…\nふざけんじゃねえ…！
都 ひなの: 失って…
都 ひなの: 堪るかああああああああ!!
都 ひなの: 見えた！\n衣美里!!
旁白: q諮|]庶li曝sж署随！！
都 ひなの: …お前か…
都 ひなの: アタシの後輩に手ェ出したのは…
都 ひなの: お前かって\n聞いてんだよォオオオオッ!!
旁白: |]署sqliж随庶薯x！？
都 ひなの: 衣美里！\n衣美里!?
木崎 衣美里: …せん…ぱ…？
都 ひなの: 衣美里…!?
木崎 衣美里: ケホッ…！\n…ゲホゴホッ…！
木崎 衣美里: …本当だ…
木崎 衣美里: …すっ飛んで…来てくれた…
都 ひなの: 衣美里…！
都 ひなの: 馬鹿ッ！アホ！どアホッ！\nスカポンタン！
木崎 衣美里: …ごめん\n…役立たずな…後輩で…
都 ひなの: 馬鹿ッ…！\n違うだろっ…！
都 ひなの: アタシなんかのためにっ…！\n無茶しやがって…!!
都 ひなの: もう十分すぎるくらい…\nお前は自慢の後輩だよっ…！

--- [Section 4] (Source: 330033-4.json) ---
木崎 衣美里: でも、何だったんだろ\nあの魔女
都 ひなの: 何が？
木崎 衣美里: だって
木崎 衣美里: ソウルジェムの反応もないまま、\n突然現れるし…
都 ひなの: あぁ…小学校の…\n確かにな
都 ひなの: 衣美里だけなら、単なる見落とし\nって可能性も考えられるが…
都 ひなの: アタシもいて、\nそれはないだろうしな…
木崎 衣美里: なーあ！\nさり気に悪口言われたっ！
都 ひなの: はは、冗談だよ
都 ひなの: ま、魔法少女は、どんなときでも\n気を引き締めとかなきゃだな…
木崎 衣美里: いや～…\nそれにしてもっ！
都 ひなの: ん？
木崎 衣美里: 嬉しかったなーっ
木崎 衣美里: みゃーこ先輩、\nあーしのために泣いてくれてっ
都 ひなの: ばッ…！\n泣いてねえ!!
木崎 衣美里: いやいや、あーしは\nしーっかり覚えてるよ？
木崎 衣美里: “ときめきアルバム\nみゃーこ's Side”に
木崎 衣美里: ばっちり記録しちゃったから！
都 ひなの: 気色悪いアルバム作るなっ！
木崎 衣美里: でも、ほんと\n出会ったときみたいに
木崎 衣美里: また、あーしのこと助けてくれて\nグッときちゃった！
木崎 衣美里: やっぱり、\nみゃーこ先輩、大尊敬！
木崎 衣美里: あーしのこと救い出して、
木崎 衣美里: 魔女までひとりで\nやっちゃうなんてっ！
都 ひなの: な～にが“尊敬”だよ…！
都 ひなの: 相も変わらず\n小馬鹿にしてくる癖に
木崎 衣美里: 本当に尊敬してるのに\nみゃーこ先輩のこと
都 ひなの: なっ、んだよっ…！
木崎 衣美里: みゃーこ先輩に頼られたい一心で\n命がけの無茶しちゃうくらいには
木崎 衣美里: あーしにとって、みゃーこ先輩の\n存在は偉大なんだよ
都 ひなの: 衣美…
木崎 衣美里: 身体はミニマムだけどっ！
都 ひなの: おまっ…！
都 ひなの: おま、お前なァ!?
木崎 衣美里: きゃはは！
木崎 衣美里: やっぱり\nみゃーこ先輩キャワイイーっ！
都 ひなの: うっさい！はなせ!!
木崎 衣美里: 頬ずりの刑～ッ♪
都 ひなの: ぐえ！\nやめ、やめろォ!!
都 ひなの: まったく、急に妙なこと言いや\nがって。調子狂うじゃないか…
