
--- [Section 1] (Source: 330052-1.json) ---
旁白: 私たちを結びつけた魔女…
旁白: 私は、自分が知りうる情報を\n皆さんに伝えました
常盤 ななか: <red>「飛蝗」</red>…という現象を\n皆さんはご存知でしょうか？
志伸 あきら: ひこう…？
常盤 ななか: はい\nバッタなどが引き起こす現象です
夏目 かこ: あ…！<red>「蝗害」</red>ですね！\n私、本で読んだことあります！
志伸 あきら: こ、こうがい…？\nどういうこと…？
夏目 かこ: バッタがすごい数の群れになって\n作物とかを食べつくすっていう！
夏目 かこ: 確か聖書にも\n書かれていたんですよね…
純 美雨: 飛蝗は中国でも古くから\n悩まされてきた災害ね
純 美雨: …その飛蝗と魔女\nどういう関りがあるのカ？
常盤 ななか: 場所を転々とし\n一度居座れば食らいつくす…
常盤 ななか: つまりは\nそういった魔女なのです
常盤 ななか: 拠点を構えては\nその周辺に災厄を振りまく…
常盤 ななか: 時が経てば別の拠点へ移り\n同じことを繰り返す…
夏目 かこ: じゃ、じゃあ…\n私たちはそれに巻き込まれた…？
常盤 ななか: …あきらさんと出会ったのは\n魔女の拠点の周辺でした
志伸 あきら: ボクはその魔女の使い魔を\n追っていた…ということか…
常盤 ななか: かこさんと美雨さんは…
夏目 かこ: その拠点を構える段階に…\nということですね…
常盤 ななか: この魔女は移り住む段階でも\n災厄をもたらします
常盤 ななか: それが土地買収騒動や\n夏目書房の火事なんです
常盤 ななか: さらに、得た拠点は放置せず\n町が戻りつつあると現れます
常盤 ななか: 複数の出現場所を押さえるために\n私は神浜を回りました
常盤 ななか: ですが\n私ひとりでは限界がありました…
常盤 ななか: そこで皆さんに\n声をかけさせていただいたのです
志伸 あきら: そうだったんだね…
夏目 かこ: ようやく腑に落ちました…
常盤 ななか: 分かっていただきましたか？\n美雨さん
純 美雨: …説明は分かたヨ
常盤 ななか: もう一度改めてお願いします\n協同して事に当たりましょう
常盤 ななか: これは契約ではありません\n…「盟約」です

--- [Section 2] (Source: 330052-2.json) ---
常盤 ななか: もう一度改めてお願いします\n協同して事に当たりましょう
常盤 ななか: これは契約ではありません\n…「盟約」です
志伸 あきら: …………
志伸 あきら: …ボクはななかに協力するよ
常盤 ななか: あきらさん…
志伸 あきら: …っていうか、そういう事情が\nなくてもそのつもりだったけど…
志伸 あきら: ま、頼み事は\n断れない性質だからね…！
夏目 かこ: …わ、私も！\n…及ばずながら…ですが…
夏目 かこ: その、ななかさんの言う魔女は\n野放しにはできないですし…
夏目 かこ: 私の家みたいなことは\n他に起きてもらいたくないです…
夏目 かこ: …だから！\n私でよければ！
常盤 ななか: ありがとう…！
志伸 あきら: …美雨は…どうするの…？
純 美雨: …………
純 美雨: …私、元々連帯することには\n反対はしてないネ
純 美雨: 理由も分かたし\n納得もしたヨ…ある程度ネ
夏目 かこ: じゃあ…！
純 美雨: いいヨ\n手を組むヨ
常盤 ななか: ありがとう\n美雨さん…！
純 美雨: …でも\nアナタの指示では動かないヨ
志伸 あきら: ちょ、ちょっと！\nそれってその…
純 美雨: 私、蒼海幇の看板があるネ\nそう簡単に人の指図受けないヨ
純 美雨: …失礼なの分かている上で\nあえて言うヨ
純 美雨: まだ私\nアナタのこと品定めしてるネ
夏目 かこ: あ～…さっきまで\nいい感じだったのに…
常盤 ななか: …………
常盤 ななか: 美雨さん…\nそうですか…
志伸 あきら: いや、ななか\nちょっとここは…
夏目 かこ: お、落ち着きましょう！
常盤 ななか: …だったら…！

--- [Section 3] (Source: 330052-3.json) ---
純 美雨: 私、蒼海幇の看板があるネ\nそう簡単に人の指図受けないヨ
純 美雨: …失礼なの分かている上で\nあえて言うヨ
純 美雨: まだ私\nアナタのこと品定めしてるネ
常盤 ななか: …………
常盤 ななか: 美雨さん…\nそうですか…
常盤 ななか: …だったら…！
志伸 あきら: ななか！\nちょ、ちょっと…！
常盤 ななか: 美雨さんは\nご自由に行動してください
志伸 あきら: …へ？
夏目 かこ: い、いいんですか？
純 美雨: …ほー…\n自由でいいのカ？
常盤 ななか: 盟約は結んでいただける…\nであれば目的は同じ
常盤 ななか: 結果さえ伴えば\n私はそれで構いません
常盤 ななか: 無理に一緒に行動する必要も\nないかと思います
志伸 あきら: でも…それで大丈夫なの？
常盤 ななか: 構いません
常盤 ななか: …私が掴んだ魔女の拠点の\n情報を共有します
常盤 ななか: どこへ向かうかだけ\n教えてください
常盤 ななか: それで十分です
純 美雨: …承知したヨ
常盤 ななか: あきらさんとかこさんは\nどうされますか…？
志伸 あきら: …ボクはななかの立てた\n計画に乗るよ
夏目 かこ: あの…私も…
常盤 ななか: ありがとうございます
志伸 あきら: …で、どうするの…？
常盤 ななか: 簡単な話です…
常盤 ななか: 拠点と思しき場所を\nすべて調べ上げる
常盤 ななか: そこで発見したら\n全員を呼んで退路を塞ぎ、倒す
常盤 ななか: …これだけです
夏目 かこ: シンプルですね…
常盤 ななか: ですが、ひとりでは\n実現できなかった作戦です
常盤 ななか: 魔法少女の仲間がいればこそ\nこれは実行に移せるのです
志伸 あきら: 確かに…\n地味だけど確実だよね…
常盤 ななか: 美雨さんには\n情報を随時回します
常盤 ななか: 調べ方などはご自由にどうぞ\n増援が必要ならお呼びください
常盤 ななか: お願いします…このお約束を\nいただければ十分です
純 美雨: （…ここら辺が譲歩ラインネ…）
純 美雨: …わかたヨ\n承知したよ
常盤 ななか: ありがとうございます…！
常盤 ななか: では皆さん…
常盤 ななか: 取り掛かりましょう！

--- [Section 4] (Source: 330052-4.json) ---
旁白: 私たちは場所を掴んでいる拠点を\nしらみ潰しに周り…
旁白: ついに\n魔女との接触に成功しました
旁白: そしてこれを撃破\n勝利を収めました
旁白: ですが…
志伸 あきら: やったね！\n倒したね、かこ！
夏目 かこ: はい！\nやりましたね！
純 美雨: …………
志伸 あきら: 最初はもっと時間がかかるかと\n思ったけど…
志伸 あきら: 結構早くに\n見つけられたね！
夏目 かこ: よかったです！\nよかったです、ホントに…！
純 美雨: …………
志伸 あきら: …どうしたの、美雨…？
夏目 かこ: …あんまり嬉しくない…とか？
純 美雨: …そうじゃないヨ
純 美雨: 戦ている時のアナタたちの動き\nななかの指示カ？
志伸 あきら: あ、うん…そうだね
夏目 かこ: 要所でななかさんから…\nえと…それが…？
純 美雨: …………
純 美雨: …なかなかやるネ…
志伸 あきら: え？\nそれって…
夏目 かこ: 認めたってことですか？\nななかさんのことを！
純 美雨: …私には指示を出さず\n自由に戦わせたネ…
純 美雨: その上でアナタたちには\n指示を出したヨ…
