
---[Section 1] (Source: 330062-1.json) ---
旁白: 最初の出会いから数日後
美凪 ささら: ごめんね\n呼び出して！
木崎 衣美里: ん？\nあーぜーんぜんOK！
木崎 衣美里: あーしこう見えて…\n暇だから！あははー！
木崎 衣美里: …でもさ\n用事ってなに？
竜城 明日香: …いや、用事は用事なのですが\n…そのまあ
美凪 ささら: …あの、衣美里ちゃんと\nもうちょっと話がしたくて
竜城 明日香: …そうです！\n魔法少女同士の語らいです！
木崎 衣美里: 語らい…？\nあー、ダベるってこと？
竜城 明日香: だ、だべ…？
木崎 衣美里: そんなの\nどこでもいいのに！
木崎 衣美里: …どうしてこの店なの？\n超高そうじゃん…？
美凪 ささら: それは大丈夫！\nこの店は安心価格だから！
美凪 ささら: それに、実は料理を\n作っているのも魔法少女なんだ
竜城 明日香: 以前、知り合いになりまして\nここにも何度か来てるんです
木崎 衣美里: えーマジで!?\nすっげーじゃん！
竜城 明日香: お！\n噂をすれば、ですよ！
胡桃 まなか: いらっしゃいませ\n洋食ウォールナッツへようこそ…
美凪 ささら: まなかちゃん！
胡桃 まなか: …ん？あーこれはこれは！\nささらさんに明日香さん！
竜城 明日香: こんにちは！
美凪 ささら: 今日はもうひとり\n魔法少女を連れて来たの
木崎 衣美里: 木崎衣美里でーすっ！\nちゃす！よろ！ちゃす！
胡桃 まなか: え、あ、ど、どうも…\n…コホン…
胡桃 まなか: 洋食ウォールナッツの一人娘\n胡桃まなかと申します！
胡桃 まなか: 以後、当店を御贔屓に…
美凪 ささら: じゃあ、まずは注文しよっか\n…私、オムライス！
胡桃 まなか: …オムライス！
竜城 明日香: 私も！
木崎 衣美里: なになに？\nオムライス美味しいの？
木崎 衣美里: んじゃ、あーしも！
胡桃 まなか: …かしこまりました\nオムライス、３つですね？
胡桃 まなか: …少々お待ちください…
木崎 衣美里: （…ん？）
美凪 ささら: オムライスは\nここの看板メニューなんだよ！
竜城 明日香: 問答無用で\n美味しいです！
木崎 衣美里: へー、そうなんだー！
木崎 衣美里: （…………）

---[Section 2] (Source: 330062-2.json) ---
木崎 衣美里: …んで？\n何話すの？ねーねー！
美凪 ささら: いや、あのね…\nなんというか…
美凪 ささら: …衣美里ちゃんと話していると\n何かありそうな気がするの
木崎 衣美里: …ん～？
竜城 明日香: 新しい発見といいますか\n…気付きといいますか！
木崎 衣美里: 発見～？
木崎 衣美里: あーし\n難しいことは分かんないよ～…
美凪 ささら: あ、いーのいーの！\n普通に話しているだけで！
竜城 明日香: そうです！\n軽い気持ちで！
木崎 衣美里: …普通に話してればいいの？
木崎 衣美里: じゃあノープロだね！
美凪 ささら: そそ！ノープロ！
胡桃 まなか: お待たせしました～…
美凪 ささら: おっと、オムライスきた！\nじゃあ、食べながらにしよっか
竜城 明日香: そうしましょう！
木崎 衣美里: おっけ！\nじゃあ、いただきまーす！
美凪 ささら: もぐ…
竜城 明日香: もぐもぐ…
