
--- [Section 1] (Source: 330271-1.json) ---
旁白: 某月某日\n神浜市内某所
旁白: 某ファミリーレストランにて…
旁白: 一回目の会合
遊佐 葉月: アタシらもたまにここで\n食事するんだけど…
遊佐 葉月: 結構美味しいよね！\nどのメニューもさ！
三栗 あやめ: あちし、ドリア好き！
夏目 かこ: デザートも\n種類が多いですよね！
純 美雨: そうなのカ？
志伸 あきら: ボクはここだったら\nパフェ系が好きだな～
常盤 ななか: …………
静海 このは: …………
遊佐 葉月: アタシはね\nこの前食べたパンケーキ！
遊佐 葉月: …えーと\nどれだっけ…
三栗 あやめ: これだよ！\nこれ！
夏目 かこ: わー！\n美味しそう～！
志伸 あきら: 美味しいんだよね～！\nもうフワッフワで！
純 美雨: …あきらは随分と詳しいネ？\n常連カ？
志伸 あきら: え！…あ～実は結構…
常盤 ななか: …皆さん…！
遊佐 葉月: …おっと！
志伸 あきら: …あ
夏目 かこ: …いけない…
純 美雨: …少々雑談が過ぎたカ
三栗 あやめ: 何食べようかな～！
静海 このは: …………
常盤 ななか: …今日は話し合いがあって\nこうやって集まった…
常盤 ななか: …そうですよね？\n葉月さん
遊佐 葉月: …そうそう\nいきなり横道入っちゃったね…！
常盤 ななか: …では、葉月さん
常盤 ななか: この会合の提案者である\nあなたから説明をお願いします…
遊佐 葉月: りょーかい！集まってもらった\n趣旨ってやつね！
遊佐 葉月: それは…

--- [Section 2] (Source: 330271-2.json) ---
遊佐 葉月: えーと、今日集まって\nもらったのはズバリ…
遊佐 葉月: 魔女について…だね
純 美雨: …魔女
志伸 あきら: 魔女の…何について？
遊佐 葉月: この前…魔女の結界で\nアタシら、出くわしたでしょ？
志伸 あきら: …あー、そのこと…\n確かにそうだね…
遊佐 葉月: あの時はアタシらが\n先乗りしたでしょ…？
純 美雨: …………
夏目 かこ: 美雨さん…\n顔、怖いですよ…！
純 美雨: …先乗りしたのは\n私たちヨ
純 美雨: それを後から来たそちらに\n抜かされて先に倒されたネ…
純 美雨: …でも、それはとやかく\n言わないネ
遊佐 葉月: …でも、ますます\n眉間にシワが…
純 美雨: そんなことないヨ…！
志伸 あきら: （…相当悔しがってたもんな\n美雨は…）
常盤 ななか: …つまり、狙っている獲物が\n同じだった場合…
常盤 ななか: どちらが戦うのか…？\nその場はどういう対処か…？
常盤 ななか: 倒した時、グリーフシードの\n所有権はどうなるのか…？
常盤 ななか: それを決める…で\nよろしいですよね？…このはさん
静海 このは: …ええ
静海 このは: 私とあやめも葉月からその提案を\n受けて出てきた…
静海 このは: いたずらに摩擦が起きるのは\n私としても本意ではないわ
遊佐 葉月: はい！ということで\n話し合って決めたいと思います！
遊佐 葉月: 皆さん、よろしいですか？
常盤 ななか: …異議なし、ですわ
静海 このは: 同じく…
三栗 あやめ: あちしも！
夏目 かこ: もちろん！
志伸 あきら: うん、賛成！
純 美雨: …無問題ネ
