
--- [Section 1] (Source: 330273-1.json) ---
旁白: 某月某日\n神浜市内某所
旁白: 某ファミリーレストランにて…
旁白: 三回目の会合
旁白: …ただし、出席者は…
遊佐 葉月: あー、ごめんさい！\n遅れちゃって…！
常盤 ななか: いえ、こちらこそ\n急にお呼びだてして…
遊佐 葉月: すいません\n結構待たしちゃいましたよね
常盤 ななか: お気になさらず…
常盤 ななか: ドリンクバーを\n堪能させていただいております！
遊佐 葉月: ドリンクバーを…\n何か、楽しそうですね…
常盤 ななか: はい！\nそれはもう！
常盤 ななか: 私、気づきましたの…
常盤 ななか: ドリンクバーの可能性に！
遊佐 葉月: 可能性…？
常盤 ななか: 素晴らしいですわ\nドリンクバーは…！
常盤 ななか: バーにある飲み物は\nすべて飲み放題…
常盤 ななか: つまり、掛け合わせも\n自由自在に可能ということ！
遊佐 葉月: あ…は、はぁ…
遊佐 葉月: （…そうか、それもこの人に\nとっては新鮮な発見なのか…）
常盤 ななか: …そして、試してみました
常盤 ななか: …緑茶コーヒーコーラを…！
遊佐 葉月: りょ、りょく…!?\nそれ美味しいんですか…？
常盤 ななか: …まったく\n美味しくありませんでした！
遊佐 葉月: …ですよね…
常盤 ななか: でも、そのことを\n実感できましたわ、身をもって
常盤 ななか: こういう機会でもないと\n試そうとは思いませんから
遊佐 葉月: そ、そういうもんですか…
常盤 ななか: そういうものですわ\n実体験というものは
常盤 ななか: …そうそう\n実体験と言えば先日もそうでした
遊佐 葉月: …先日…
常盤 ななか: そうです\n先日の魔女との戦いです
常盤 ななか: あなた方と一緒に戦った…
遊佐 葉月: …そこで何を\n体験されたんですか？
常盤 ななか: 体験したのは…
常盤 ななか: あなた方の“手口”です…

--- [Section 2] (Source: 330273-2.json) ---
常盤 ななか: 体験したのは…
常盤 ななか: あなた方の“手口”です…
遊佐 葉月: …アタシらの…手口？
遊佐 葉月: …いやだなぁ！\n手口って聞こえが悪いですよ～
常盤 ななか: …あら、失礼…！
常盤 ななか: …あなた方の手並みといいますか\n実力…ですわね！
遊佐 葉月: はは…！\nそう言っていただいた方がね～！
常盤 ななか: ホントに！\nご無礼いたしました
常盤 ななか: …ただ、驚かされましたわ
常盤 ななか: かこさんとあやめさんが\n結界を発見して集合…
常盤 ななか: 魔女を見つけて一斉に攻撃…
遊佐 葉月: いやー、上手いこと\nいきましたね～！
常盤 ななか: …そうですね
常盤 ななか: …ただ、あなた方、三人の\n連携は群を抜いてました
遊佐 葉月: え？\n…いや、それ程でもないですよ～
常盤 ななか: それ程のこと、ありますよ
常盤 ななか: …以前、あなた方に先を越されて\n魔女を倒された時…
常盤 ななか: あの時は使い魔に足止めを受けて\n拝見できませんでしたが…
