
--- [Section 1] (Source: 330381-1.json) ---
旁白: ＜工匠学舎＞
旁白: ＜歴史研究部・仮部室＞
古町 みくら: …………
吉良 てまり: …………
古町 みくら: 何読んでるの、吉良
吉良 てまり: 小説神髄です
古町 みくら: ああ、坪内逍遥？
古町 みくら: 前も読んでなかったっけ？
吉良 てまり: はい、おっしゃる通り
吉良 てまり: 昨日、ケーブルテレビの\n文芸散歩という番組で
吉良 てまり: 坪内逍遥が\n特集されてましたので…
古町 みくら: 読み直してるのね
吉良 てまり: 番組のおかげで\n新たな発見もあって面白いです
古町 みくら: というかテレビとか\n観るのね
吉良 てまり: 文学関係ならたまに…
吉良 てまり: 古町のそれは…　\n郷土史の冊子ですか？
古町 みくら: うん、水名美術館に所蔵されてる\n茶器の考察
古町 みくら: 知り合いの学芸員さんが\n編纂してるの
吉良 てまり: ふーん\n面白いですか？
古町 みくら: さあ…私が書いた文章だから\n面白いかどうかは…
吉良 てまり: 調べものじゃなくて\n自分の記事のチェックでしたか…
古町 みくら: …………
吉良 てまり: …………
三穂野 せいら: 先輩たちって仲いいですよねー
吉良 てまり: …三穂野？\nいつからいたんです？
三穂野 せいら: 坪内逍遥のあたりですね
古町 みくら: この黙りがちな会話のどのへんが\n仲よさそうに聞こえるわけ？
三穂野 せいら: だっていつも一緒ですし
古町 みくら: まあ、毎日同じ電車よね\n越境通学で本数が少ないし
三穂野 せいら: いえ、クラスも同じだし\nお昼も部活も一緒じゃないです？
吉良 てまり: 邪魔になりませんからね\n古町は
古町 みくら: 確かに吉良って、苦手な人間は\n本能的に避けるよね
吉良 てまり: …私は猫か何かですか
古町 みくら: おたがい干渉しないタイプだから\n合うんだろうね
吉良 てまり: そういう、自分に対しても\n妙に客観的なところ
吉良 てまり: 古町らしいですね
古町 みくら: …なるほど
古町 みくら: ところで三穂野\nなんか封筒持ってるけど
三穂野 せいら: あ、そうそう
三穂野 せいら: 顧問が、部活に行くなら\n部長にコレ渡してくれって
古町 みくら: 私に？\n見せて

--- [Section 2] (Source: 330381-2.json) ---
旁白: カサ…
吉良 てまり: 何の書類ですか？
古町 みくら: …古墳発掘の\n経過報告書みたい
三穂野 せいら: ああ、例のやつですね！\n古町先輩が見つけた古墳！
三穂野 せいら: すぐそこの学校の裏山が\n丸ごと古墳だったなんて
三穂野 せいら: 私も聞いてびっくりでしたよ！
古町 みくら: …………
吉良 てまり: 古町なら聞いてませんよ
三穂野 せいら: …報告書に夢中でしたか
古町 みくら: …ん、何？
吉良 てまり: いえ、裏山が古墳だったことに\nびっくりしたという話です
古町 みくら: 私自身も驚いたくらいだしね
三穂野 せいら: まるで歴史研究部みたいな\n会話です！
古町 みくら: 「まるで」と「みたいな」が余計
吉良 てまり: …あのときはまだ\nこの部もなかったんですよね
古町 みくら: そうね
古町 みくら: …ついこの間のことなのよね
古町 みくら: その日、私は学校の裏山に来ていた
古町 みくら: この裏山を崩して、バイパス道路を通す\n計画が本格化しているらしい
古町 みくら: 山のふもとには\n明治維新の志士を供養した石碑があって
古町 みくら: 史跡めぐりが趣味の私にとって\nお気に入りの場所だった
古町 みくら: …だから工事が始まる前に\nもう一度、見ておきたかった
古町 みくら: （石碑…ここで見られるのも\n最後になっちゃうのかな…）
古町 みくら: …………
古町 みくら: （そういえば、この山も\n削られちゃうのか…）
古町 みくら: …………
古町 みくら: （登ってみようかな\nもうすぐなくなるわけだしね）
古町 みくら: ぜぇ…はぁ…
古町 みくら: （これは…\n失敗だったかも）
古町 みくら: （なんで制服のまま\n気軽に来ちゃったの、私！）
古町 みくら: （引き返そうにも…\nもうすぐ頂上だし…）
古町 みくら: …………
古町 みくら: ん？
古町 みくら: あそこにあるの…\n何？

--- [Section 3] (Source: 330381-3.json) ---
古町 みくら: ―みくら―\nこれは…………祠？
古町 みくら: ―みくら―\nこんなところに\n祠があったのね…
古町 みくら: ―みくら―\n知らなかった
古町 みくら: （そんなに古い祠じゃない…\n50年も経ってなさそうね）
古町 みくら: （そのころ建て替えただけで\nもっと古い祠かもしれないし）
古町 みくら: （どんな由来が…）
古町 みくら: …………
古町 みくら: （もうヘトヘトだけど…）
古町 みくら: （今から図書館いこう）
古町 みくら: （…あった！）
古町 みくら: （やっぱり郷土史の資料から\nあたって正解ね）
古町 みくら: （…なるほど\nいわゆる龍神様を祀った祠か）
古町 みくら: （戦前からあったようね…）
古町 みくら: （伝承の内容からすると\n江戸時代よりも前かな？）
古町 みくら: （私家版みたいな冊子で\nやっと見つけた情報だけど）
古町 みくら: （伝承をかなり詳しく\n書き残してくれた郷土史家に）
古町 みくら: （感謝しないとね…）
古町 みくら: あれ？
古町 みくら: （こっちの雑誌の脚注には\n違う言い伝えが書いてある）
古町 みくら: （徳の高い僧が\n一夜の宿のお礼に…？）
古町 みくら: （…龍神様の話と全然違うけど\nなんか諸説あるみたいね）
古町 みくら: （この記述の出典は…）
古町 みくら: （よしよし、書いてあった\nわ…結構あるな）
古町 みくら: （しかも、この先は完全に\n古文書の世界ね）
古町 みくら: となると…
