
--- [Section 1] (Source: 340322-1.json) ---
旁白: あむっ！
日向 茉莉: ん～～！\nおいしい！
矢宵 かのこ: ど、どう…？
日向 茉莉: ん～、例えるなら…
日向 茉莉: 普通においしい！
矢宵 かのこ: 例えてない！
矢宵 かのこ: でも、今目指してる…
矢宵 かのこ: 「これぞ神浜！と遊びに来た\n記念になるたい焼き」…
矢宵 かのこ: には届かないってことかな？
日向 茉莉: うん、ちょっと\nインパクトが足りないかも…
矢宵 かのこ: 私が言うのもなんだけど…
矢宵 かのこ: インパクトばかり気にしても\nダメだよ…？
日向 茉莉: うーん、わかってるんだけど\nでも、せっかくの神浜だから…
日向 茉莉: でもせっかくの神浜だしな～\nう～んどうしようか～
矢宵 かのこ: 今のお店が、この辺りで\n１番有名なお店だったけど…
日向 茉莉: むむむ～…
？？？: 「あのぉ～…ちょーっといいですかぁ～？」
日向 茉莉: は、はい？\n…って、ああ!?
日向 茉莉: メイドさんだーーーー!!
牧野 郁美: きゃるんっ！\n素敵なリアクションありがと～！
矢宵 かのこ: あの…それで、\nなにかご用ですか？
牧野 郁美: はっ！いっけなーい！\n実はお願いがあるんですぅ～
牧野 郁美: くみはぁ、そこのお店で\nメイドさんをしてるんですがぁ…
牧野 郁美: そのお魚さんイヤリングを\n貸してくださ～い！
旁白: 虎！火！人造！繊維！海女！\n振動！化繊飛除～去～！
牧野 郁美: みんな～ありがと～～！
旁白: 「うおおおおおおおお!!」
旁白: あ…あの、これからも…\nよろしくお願いします…にゃん！
旁白: 「うおおおおおおおお!!」\n「健気、不慣れなのも可愛い」\n「若い」\n「ネコちゃん」\n「あの子がネコなら僕はアジ」
矢宵 かのこ: 楽しかったね～！
日向 茉莉: うん…すごい世界だった！\n神浜は広いね
牧野 郁美: ふたりともー！応援ありがとー！\n大成功だったよー！
日向 茉莉: いくみんっ！\nいいステージだったよ！
旁白: あの…本当に…おふたりが\nいなかったら…今頃…にゃん
日向 茉莉: お魚だいしゅきの\nネコちゃんメイドさん！
日向 茉莉: お疲れ様～！\n初ステージおめでとう！
牧野 郁美: いや～この子のヘッドドレスが\n発注の手違いで
牧野 郁美: ワンちゃん用のデザインが\n届いた時は終わったと思ったけど
旁白: 素敵なイヤリングのおかげで\nキャラブレしなくてすみました
日向 茉莉: お役に立てて、\nマツリもうれしいよ！
牧野 郁美: ただ、ちょっと\nお願いがあって…
日向 茉莉: ん？
牧野 郁美: お客さんの声を聞いてたら
牧野 郁美: 魚のイヤリングの評判が\nすっごくよくて
牧野 郁美: トレードマークに\nなっちゃったみたいなの
牧野 郁美: それでその…厚かましいけど…\nこのイヤリング
日向 茉莉: うん！あげるよ！
牧野 郁美: ほ、本当!?
矢宵 かのこ: い、いいの…？\nあれは願掛けだったはず…
日向 茉莉: うん！
日向 茉莉: マツリが作ったイヤリングが\n喜んでもらえるならうれしいよ！
日向 茉莉: それにほら、巡り巡って\nたい焼きになるかもしれないし！
矢宵 かのこ: そっか…\nそうだよね！
牧野 郁美: ありがとう！
旁白: あ…ありがとうございます！\nこちら、お礼に…にゃん
日向 茉莉: わ！なんだろ！\nありがとう！
牧野 郁美: くみもなにかお礼を…
日向 茉莉: そうだメイドさん！
日向 茉莉: 神浜のおいしいたい焼き屋さんの\nお店、知ってるかな？
牧野 郁美: たい焼き？
日向 茉莉: うん、ワケあって探してて…
日向 茉莉: この辺りのお店は\nもう全部探したんだけど
牧野 郁美: たい焼きたい焼き…
牧野 郁美: あっ！\nたい焼きと言えば…
牧野 郁美: （…って、魔法少女でもない子に\nこんなこと教えられないよね）
牧野 郁美: （工匠のお店はあらかた探した\nみたいだから…あとは…）
牧野 郁美: 参京区までいくと\n良いお店がまたあるよ！
日向 茉莉: 本当!?\n詳しく教えて！
牧野 郁美: うん\n今、地図を用意するね！
日向 茉莉: …………ところでいくみん\nその、さっきから…
日向 茉莉: 「郁美さん」になってるような
牧野 郁美: …………
牧野 郁美: あ！
牧野 郁美: はわわっ！そんなことないよぉ～\nきゃるんっ！
日向 茉莉: プロだ！

--- [Section 2] (Source: 340322-2.json) ---
日向 茉莉: わぁ！並んでるねぇ
矢宵 かのこ: これは期待できそうだね
日向 茉莉: そうだ！今のうちに…
矢宵 かのこ: メイドさんからもらった\nプレゼント？
日向 茉莉: うん！
日向 茉莉: なにかな～…じゃん！
矢宵 かのこ: おお、ヘッドドレス\nこれは…ホネ？
日向 茉莉: おお～、きっとあの新人さんに\n届いたってやつだね
矢宵 かのこ: これ、材質はすごくいいし\nかなり凝ってるわね…
日向 茉莉: さすがメイドさん、\n本格的なんだねー！
