
---[Section 1] (Source: 720033-1.json) ---
早乙女先生: 手を止めてください\n解答用紙を回収します
ほむら: はぁ…
ほむら: （やっと\nテストが終わった）
ほむら: （明日は休みだし\nゆっくり羽を伸ばせそう）
ほむら: （せっかくだし、鹿目さんと\nどこかに遊びに行きたいな…）\n
ほむら: あ、鹿目さん…
旁白: ねぇ、明日の休み\n一緒に遊びに行かない？
旁白: おっ、いいね！\n何かもう予定って決めてあるの？
旁白: それはこれから考えるところ～
旁白: な～んだ
旁白: 誘ってくるから\nもう決めてあるんだと思った
ほむら: ――っ!?
ほむら: （確かに…お出かけに誘うなら\n予定を立ててからの方が…）
ほむら: （でも、どうしよう\nそんな急には思いつかないし…）
ほむら: この魔力反応って
まどか: ほむらちゃん、魔女だよ！\nみんなで倒しに行こう！
ほむら: は、はい！
ほむら: （あぁ…やっぱり…！）
ほむら: （予定を立てたいのに\n全然時間がなさそうだよ…）
ほむら: はぁ…
ほむら: なんだか今日は\nうまくいかないな…
ほむら: （魔女を倒せたのは\n良かったけど）
ほむら: （結局、鹿目さんを\n遊びに誘えなかった…）
ほむら: …………
ほむら: パジャマパーティーのときと\n同じように
ほむら: また、鹿目さんと\nいっぱい話したかったな…
ほむら: …………あれ…？
ほむら: （そういえばあのとき！）
さやか: あの動物映画、続編が出るんだ？
まどか: うん、今回も予告が可愛くてね
まどか: 上映されたら\n映画館に見に行きたいんだ
ほむら: （そうだ…！）
ほむら: （あの映画に誘えば…\n鹿目さん、喜んでくれるかも！）
ほむら: えっと、上映スケジュールは…
ほむら: ――っ!?
ほむら: そ、そんな！\n昨日で上映終了!?
ほむら: （ま、まだ、鹿目さんは他にも\n行きたい場所を話していたはず）
まどか: これがその水族館の\nお土産なんですけど…
マミ: ありがとう\n可愛いイルカのストラップね
まどか: ショーに出てくる\nイルカがモデルなんですけど
まどか: 実際の演技も\nすごく可愛いんですよ
まどか: また見に行きたいぐらいです
ほむら: （そう、あの水族館なら\nきっと喜んでくれるはず…！）
ほむら: えーっと、ホームページは…
旁白: リニューアルに伴い\n当面の間、休業いたします
ほむら: えっ!?\nどうして…このタイミングで…
旁白: ポタ…ポタポタ…
旁白: ザァーーーーーーーー！
ほむら: うそ…
ほむら: もしかして、雨…!?
ほむら: 明日の天気は…？
旁白: 「今夜から明後日にかけて\n全国的に雨が続きます\n外出を予定されていた方にとっては\nあいにくの休日となりそうです」
ほむら: そ、そんなぁ…！
ほむら: （これじゃあ、そもそも\nお出かけになんて誘えない…）
ほむら: …………はぁ
ほむら: （これはもう、\n諦めろっていうことなのかも…）
旁白: ～～♪～～♪
ほむら: …電話？
ほむら: ――っ!?\nか、鹿目さんから!?
ほむら: も、もしもし！
まどか: あ、ほむらちゃん？
ほむら: ど、どうしたの？\n鹿目さん
まどか: テストが終わったから\n明日、一緒に遊べないかなって
ほむら: えっ!?
まどか: 何をするか決めてないし、\n雨なんだけど、大丈夫そう？
ほむら: だ、大丈夫！
ほむら: 雪でも槍でも\n何が降っても必ず行くよ！
まどか: あはは！大げさだよ
まどか: それじゃ明日、駅に集合ね！
旁白: プツッ
ほむら: …………
ほむら: ふふふ…やった！
ほむら: 思い返してみれば\n考え込む必要なんてなかったのかも
ほむら: 次は私も…鹿目さんみたいに\n一緒に遊びたいって気持ちを\n素直に伝えられたらいいな
