
---[Section 1] (Source: 730163-1.json) ---
こころの声: まさらーっ
粟根 こころ: おはよう！
加賀見 まさら: …おはよう
粟根 こころ: 待たせちゃってごめんね…
加賀見 まさら: 待ち合わせに遅れるなんて\n珍しいわね
粟根 こころ: うん…来る途中で\n手袋落としちゃってさ
粟根 こころ: 探したんだけど見つからなくて…
加賀見 まさら: 私も探すの手伝う？
粟根 こころ: あ、ううん！\n大丈夫だよ！
粟根 こころ: 帰りにまた探すし…
粟根 こころ: もし見つからなくても、\nまた自分で編めばいいから
加賀見 まさら: そう…
粟根 こころ: はぁ…
粟根 こころ: けど…手袋がないと\n今日はさすがに寒いなぁ…
加賀見 まさら: 手、繋ぐ？
粟根 こころ: えっ!?\nなんで!?
加賀見 まさら: 私の手、温かいから
粟根 こころ: そうなの…？\nちょっと触ってもいい？
粟根 こころ: …………
粟根 こころ: …うそっ\nなんでこんなに温かいの!?
粟根 こころ: まさら、体温高いほうだっけ？\nそれとも熱あるとか…
加賀見 まさら: いいえ、コレのおかげよ
粟根 こころ: コレ、って…\nカイロ…？
加賀見 まさら: ポケットに入れておいたの
粟根 こころ: なぁんだ、びっくりした…
加賀見 まさら: 使う？
粟根 こころ: ありがとう\nでも、大丈夫だよ
粟根 こころ: まさらが冷えちゃうのは\n悪いし…
加賀見 まさら: 気にしなくていいわ\nカイロ、ふたつあるから
粟根 こころ: えっ!?\nそうなの…？
加賀見 まさら: いらない？
粟根 こころ: …………\nじゃあ…お言葉に甘えて…
粟根 こころ: …あったか～い！
加賀見 まさら: これで手袋がなくても大丈夫ね
粟根 こころ: 今日のところはそうだけど…
粟根 こころ: …やっぱり私は\nカイロより手袋の方が好きかも
加賀見 まさら: そんなに手袋っていいもの？
粟根 こころ: まさらだって\nスキーの時は使ったでしょ？
加賀見 まさら: あれは雪山だったから\nレンタルしたの
加賀見 まさら: 日常生活にはカイロで十分だし、\n手袋は持ってないわ
粟根 こころ: あれ？\nそっか…
粟根 こころ: …………
粟根 こころ: …よし、決めたっ！
粟根 こころ: まさら、手芸屋さんに行こう!?
加賀見 まさら: なぜ？
粟根 こころ: 手袋、持ってないんでしょ？\n私、まさらに編みたいな！
加賀見 まさら: 気にしなくていいのに…
粟根 こころ: 私がそうしたいんだからいいの！
粟根 こころ: ほら、行こ？\nまさらに合う毛糸を探そっ！
加賀見 まさら: …えぇ
