
--- [Section 1] (Source: 501009-1_afTl5.json) ---
？？？: どうされましたか…？
マミ: そこのおふたり…
フェリシア: うわ！
フェリシア: …随分派手な格好だな…
さな: あ、あの…
マミ: 私は巴マミ…
マミ: 悲しみに暮れる人々に\n幸せを運びにきたの…！
フェリシア: …はぁ～？
マミ: つまり…あなたたちに…！
フェリシア: …ちょっと\n何言ってるんだか全然…
フェリシア: …お前、分かる？
さな: あ…えと…その…
さな: …分かりません…
マミ: 理解するということは\n必ずしも大事なことじゃないわ
マミ: だって\n感じればいいのだから…！
フェリシア: …ますます分からねー…
マミ: 悲しみで\n下を向いている顔…
マミ: それを上に向けるだけで\n見える景色は全然違う！
マミ: どうかしら…\n顔を上に向けてみては？
フェリシア: え～、何でだよ…！
マミ: さあ！
フェリシア: いや、だから何で…！
マミ: さあ！
フェリシア: 何で！
マミ: さあ！
フェリシア: 何で！
マミ: さあ！さあ！さあ！
フェリシア: ぐっ！\nなんつー押しの強さ…
さな: （フェリシアさんが\n何だか圧倒されてる…！）
マミ: 顔を上げて空を見て！\nそこに新しい景色があるから…！
マミ: さあ！
フェリシア: わ、分かったよ！\n上見りゃいいんだろ？
フェリシア: …ほれ\nさなも見上げようぜ
さな: あ、は、はい…！
フェリシア: ほらよ！
マミ: …悲しい顔で見上げた空に\n瞬く光を…
マミ: そして…星に願いを…！
フェリシア: わわ！\n空がキラキラって…！
さな: 綺麗です…！
フェリシア: なんだこりゃ！\n魔法か…？
フェリシア: ちょっとあんたさ！\nひょっとして魔法…
フェリシア: …あれ？\nいない…？
さな: は！\nい、いませんね…！
フェリシア: な、何だったんだ…あの人…？
旁白: ＜その夜空に散りばめられた\n輝きを見たのがもうひとり…＞
いろは: はぁ…はぁ…
いろは: （さっきの光…確かこの辺…！）

--- [Section 2] (Source: 501009-2_afTl5.json) ---
いろは: （さっきの光…確かこの辺…！）
さな: あ、いろはさん！
いろは: さなちゃん！
いろは: …そ、それに！\nフェリシアちゃん！
さな: いろはさん！
フェリシア: …よお
いろは: 私はさなちゃんから\n経緯を聞いた…
いろは: そして…
いろは: …お願い\n私にも聞かせて…
いろは: フェリシアちゃんが\nクリスマスを嫌いな理由…
フェリシア: …………
フェリシア: …はぁ…
フェリシア: どうしてそんなに\n聞きたいのかね～…
さな: フェリシアさん！
フェリシア: …分かったって！
フェリシア: …こんなことで逃げ回るような\n真似して、俺もムカついてたんだ
フェリシア: …自分に…
いろは: そして、フェリシアちゃんは\n話してくれた…
フェリシア: 別にクリスマス自体が\n嫌いってわけじゃなくて…
フェリシア: 色々と思い出すんだよ…
フェリシア: 昔、まだ両親が生きてた頃…
フェリシア: 一緒にクリスマスの\nパーティーをしたことを…
フェリシアの母: さあ、フェリシア！\nクリスマスの飾り付けしようね！
フェリシアの父: ケーキを買ってきたぞ～！\nチキンもあるからな！
フェリシアの母: まあ、よかったわね！\nフェリシア！
フェリシアの母: さあ！\nじゃあ、いただきましょうか！
フェリシア: そして、街中のキラキラした光を\n見ていると…
フェリシア: クリスマスキャンドルの\nことを思い出すんだ
フェリシア: うちでは毎年用意してさ…\n綺麗だったなぁ～って…
フェリシア: …でも、キャンドルの灯りの\nことを考えると…
フェリシア: だんだん、あいつらのことが\n頭に浮かび上がってくんだ…
さな: あいつら…？
フェリシア: …魔女だよ…！
旁白: liжxヮ亦試緒!!
フェリシア: 要するに、クリスマスは\n親のことを思い出すんだ…
フェリシア: そうなると、親を殺した\n魔女も思い出してきてさ…
いろは: そう…フェリシアちゃんのご両親は\n魔女に殺されてしまったらしい…
いろは: だから、フェリシアちゃんは\n魔女に対して強い怒りと憎しみを持っている…
フェリシア: その繰り返しが\n疲れちまうんだよ…
フェリシア: だから嫌いなんだ…\nクリスマスが…
さな: そうだったんですね…
いろは: …フェリシアちゃん…
いろは: …ごめんね…
いろは: そうだと知らずに…\n私…
フェリシア: いいよ、別に…
いろは: …でも、だからお願い…
いろは: クリスマスパーティー…\n一緒にやろ…？
