
--- [Section 1] (Source: 501509-1.json) ---
旁白: 第９章「夜明けのない世界」
いろは: ど…どうしましょうか？\nやちよさん！
いろは: すぐに向かいます!?\n夢のフランスへ
いろは: それとも…？
やちよ: 落ち着いて、いろは
やちよ: いえ、リーダーさん\n冷静なところを見せて
いろは: あ…ごめんなさい…
いろは: そうですよね\n私がしっかりしないと
いろは: それじゃあ…
いろは: まずは今\n何ができるかを考えましょう！
やちよ: 落ち着いたようね
やちよ: 今できること、か…
やちよ: せっかく神浜に戻ったんだし
やちよ: 神浜でしかできないことを\nやっておきたいわね
いろは: そうですね
いろは: 今、神浜にあって\nタルトさんの世界にないもの…
いろは: あ…
いろは: このロウソク？
やちよ: …確かに
やちよ: これが何なのか\nきちんと調べてなかったわね
やちよ: どうやらキューブたちは\n夢に巻き込まれたようだけど
やちよ: 私たちは自分の意志で\nタルトの夢に入り込んでる
やちよ: それは\nこのロウソクのおかげなのよね
いろは: はい
いろは: そういえば、リズさんも\nこのロウソクのこと…
いろは: 何か知ってる様子でしたよね？
いろは: え、ロウソクですか…？
いろは: 赤と青の、すごく古い骨董品です
リズ・ホークウッド: そう…
リズ・ホークウッド: …あなたたちって\n本当に未来から来たのね
いろは: え…？\n今ので分かるんですか？
いろは: みたまさんは、骨董品のお店で\n仕入れたそうですけど
いろは: タルトさんたちに\nゆかりのある品なんでしょうか？
やちよ: 可能性はあるわね
やちよ: みたまには申し訳ないけど\n事態が事態だわ
やちよ: 調整屋のお店に上がり込んで\n調べてみましょうか？
いろは: はい！
いろは: えっ…と…
いろは: あっ！
いろは: ありました！\n同じロウソクです！
やちよ: 近くに別の品はない？
やちよ: みたまが、同じ骨董品店から\n仕入れたものがあるかも
いろは: 探してみます！
やちよ: ええ
いろは: …やちよさん！
やちよ: なに？
いろは: この本なんですけど…
いろは: ロウソクと\n同じくらい古そうです
やちよ: すごい年代ものね
やちよ: ラテン語の本みたいだけど
やちよ: …………
やちよ: 怪しい…\n怪しすぎるわ
いろは: いったい、何の本なんでしょう？
やちよ: これは調べる価値アリね
やちよ: 辞書を引きながら\n読めるといいのだけど…

--- [Section 2] (Source: 501509-2.json) ---
やちよ: うぅ…もう限界
いろは: や、やちよさん\nしっかり！
やちよ: まさかラテン語の古文書を\n読むはめになるなんて
やちよ: 試験の10倍は頭を使ったわ…
いろは: 手伝えなくてごめんなさい…
やちよ: 気にしないで\nちゃんと成果はあったから
いろは: 何の本か分かったんですか？
やちよ: ええ\nこれは…
やちよ: 黒魔術の魔導書よ！
いろは: ええっ!?
やちよ: しかも、書いてあるのは
やちよ: 人を“魔女”の結界に閉じ込めて
やちよ: 覚めない悪夢を\nずっと見せ続ける、っていう魔法
いろは: 魔女って
いろは: 私たちの知ってる\nあの魔女ですか？
やちよ: ええ、その魔女よ
やちよ: これを書いた人は\n魔女や魔法少女の知識があって
やちよ: 魔女の呪いを利用した魔法を\n黒魔術と称していたようね
