
--- [Section 1] (Source: 506110-1.json) ---
旁白: 第10章「解決の糸口」
キューブ: タルトを目覚めさせるには…
キューブ: “聖別された鐘”を鳴らせば\nいいみたいだ！
やちよ: 聖別された…鐘？
いろは: それって…何のこと？
キューブ: 残念なことに\n本の傷みがひどくてね
キューブ: この記述がある部分は\nほとんど読めないんだよ
いろは: そんな…\nいちばん大事なところなのに！
やちよ: 困ったわね…
メリッサ･ド･ヴィニョル: …あの
メリッサ･ド･ヴィニョル: 聖別された鐘というのは…
メリッサ･ド･ヴィニョル: たぶん…教会の鐘のことでは\nないでしょうか？
いろは: え…教会？
リズ・ホークウッド: もしも、私の身に何かあって\n誰かの助けが必要なときは
リズ・ホークウッド: タルトの妹の“カトリーヌ”…
リズ・ホークウッド: 彼女にゆかりのある名の教会で\n祈りを捧げて
リズ・ホークウッド: 助けになってくれる存在と\n会えるかもしれないわ
いろは: メリッサさん！
メリッサ･ド･ヴィニョル: はい、何でしょう？
いろは: カトリーヌさんに\n関係のある名前の教会が
いろは: 近くにありませんか？
メリッサ･ド･ヴィニョル: カトリーヌ…亡くなった\nタルトの妹さんのお名前ですね
メリッサ･ド･ヴィニョル: そういえば
メリッサ･ド･ヴィニョル: 前に、天使様のお導きで赴いた
メリッサ･ド･ヴィニョル: “聖カトリーヌ教会”が\nあったかと
いろは: やちよさん…！
やちよ: ええ\nたぶんリズの言ってた教会ね
いろは: メリッサさん！\nそれって、どんな教会なの？
メリッサ･ド･ヴィニョル: えっと…\nフィエルボアという町にあって
メリッサ･ド･ヴィニョル: タルトとリズと私は、そこで\n不思議な女性と出会ったんです
キューブ: …その女性は、ペレネルだね
やちよ: キューブの知り合い…？
キューブ: ああ、彼女は錬金術や\n魔法の知識に秀でた魔法少女で
キューブ: 他の魔法少女を見守り\n助言を与えている
やちよ: …話がつながってきたわ
キューブ: どういうことかな？
いろは: あのね、リズさんが言ってたの
いろは: 助けが必要なときは、その教会で\n祈りを捧げなさいって
やちよ: そこで、助けになる存在と\n会えるかもしれないそうよ
キューブ: 確かに、ペレネルと\nコンタクトを取ることができれば
キューブ: 有益な情報を得ることが\nできるかもしれないね！
いろは: タルトさんを目覚めさせる\n“聖別された鐘”のことを
いろは: そこで聞けるかもしれませんね
やちよ: もしかすると、その教会に\n問題の鐘があるかもしれないし
いろは: …メリッサさん、キューブ\n案内をお願い！
メリッサ･ド･ヴィニョル: はいっ！

--- [Section 2] (Source: 506110-2.json) ---
やちよ: ここね
やちよ: 聖カトリーヌ教会のある\nフィエルボアの町は…
メリッサ･ド･ヴィニョル: はい！\nご案内します
メリッサ･ド･ヴィニョル: 近くの人に聞いてみたのですが…
メリッサ･ド･ヴィニョル: 残念ながら、教会の鐘は\n戦いで壊れてしまったそうです
やちよ: そう…\n鳴らすべき鐘はなさそうだけど
やちよ: リズの言っていた通り\n教会に向かってみましょうか
いろは: ここが聖カトリーヌ教会…
やちよ: いろは、祈りを捧げるわよ
いろは: はい、やちよさん！
いろは: …………
いろは: 誰かいるなら…\n答えて！
ペレネル・フラメル: 「リズの言っていた方たちですね…」
ペレネル・フラメル: 「よくいらっしゃいました\n異邦の魔法少女たちよ」
やちよ: あっ…
いろは: この声は…？
キューブ: やあ、ペレネル\nごぶさただね！
キューブ: でも、姿を現さないのは\nどうしてなのかな？
ペレネル・フラメル: 「私は“乙女”の夢の外にいて\n中に入ることができませんから…」
いろは: 夢の外に…いる？
キューブ: なるほど
キューブ: どうやら彼女は今\n現実世界の側にいて
キューブ: ボクたちを助けてくれる\nつもりのようだね！
やちよ: リズが言っていたのは\nやっぱり彼女のことだったのね
ペレネル・フラメル: 「そう\n何とか声だけは届けられました」
ペレネル・フラメル: 「夢の結界に隙間を開けるのは\n大きな困難が伴いますので…」
いろは: ペレネルさん！
いろは: 私たちはタルトさんの夢を覚ます
いろは: “聖別された鐘”について\n知りたいんです…！
ペレネル・フラメル: 「かの魔導書の手順に従うならば…」
ペレネル・フラメル: 「タルトは魔法の眠りに落ちる前に\nとある教会の鐘の音を聞かされたはず」
ペレネル・フラメル: 「彼女の目を覚ますには、夢の中で\nタルト自身が同じ教会の鐘を鳴らせばよいのです」
いろは: 同じ教会って…どこ？
ペレネル・フラメル: 「現実のタルトはオルレアン市街に入り\n解放作戦を行っている最中に\nこの魔法の眠りにつきました」
ペレネル・フラメル: 「ですから必要なのは\nオルレアンにある“聖十字架大聖堂”の\n鐘の音でしょう…」
メリッサ･ド･ヴィニョル: いろはさん、やちよさん…！
やちよ: ええ、これで分かったわ
やちよ: タルトを救い出して\nオルレアンの教会の鐘を鳴らせば
やちよ: タルトが見ているこの悪夢は\n終わるってことね…！
キューブ: そういうことだね！
いろは: ううん
いろは: だめです、それだけじゃ！
いろは: 夜が明けないのは、タルトさんが\n絶望しかけているからで
いろは: リズさんがいないまま\n夢から覚めたって…！
ペレネル・フラメル: 「リズは生きています」
いろは: え…？
ペレネル・フラメル: 「彼女は光を見失って\n暗闇の世界から出られなくなっているだけ」
ペレネル・フラメル: 「そのことについて\n今からお話ししましょう…」

--- [Section 3] (Source: 506110-3.json) ---
ペレネル・フラメル: 「リズは生きています」
ペレネル・フラメル: 「彼女は光を見失って\n暗闇の世界から出られなくなっているだけ」
ペレネル・フラメル: 「そのことについて\n今からお話ししましょう…」
ペレネル・フラメル: 「コルボーの手で“乙女”が眠りに落ちたとき\nリズは別の場所にいて\n“夢”に取り込まれることを免れました」
ペレネル・フラメル: 「リズは“乙女”を救うため\nコルボーから１組のロウソクを奪い」
ペレネル・フラメル: 「“乙女”の夢の中に入ることに成功したのです」
いろは: え…？
いろは: リズさんも、私たちみたいに\n夢を出入りしていたの!?
やちよ: それで分かったわ
やちよ: 私たちと同じように、ときどき\nいなくなっていたのは
やちよ: 夢の外に戻っていたからなのね…
いろは: リズさんはどうして\n秘密にしていたんでしょう？
ペレネル・フラメル: 「ロウソクを使う者は、とある制約を課されます」
ペレネル・フラメル: 「それは、夢の中で魔導書の秘密を口にしないこと」
ペレネル・フラメル: 「制約を破れば、自身の肉体が\n夢を形成する結界に呑まれてしまうのです」
いろは: あ…
いろは: リズさんはそれで\n何も話せなかったんですね…！
リズ・ホークウッド: ごめんなさい\n今は、何も言えないの
リズ・ホークウッド: 言えば、すべてが\n終わってしまうから…
キューブ: ロウソクの制約か\nボクも初めて聞く話だ
キューブ: それも欠落したページに\n書かれていた情報のようだね
やちよ: でも、待って
やちよ: リズとコルボーは\nその制約を守ったのでしょうけど
やちよ: 私たちはロウソクを使った上に\n魔導書のことも口にしたわよ!?
ペレネル・フラメル: 「いえ、おふたりは安全です…」
ペレネル・フラメル: 「リズから聞きました\nあなた方の肉体は未来にあると」
ペレネル・フラメル: 「“乙女”を捕らえた結界は\nあなたたちの時代には、もう残っていないはず」
キューブ: なるほど、それでふたりは\n制約から自由でいられるんだね
キューブ: 未来からきたキミたちは\n決定的な切札だったわけだ！
キューブ: これで、話はつながったね！
キューブ: 最初はリズだけが\nここがタルトの夢だと知っていて
キューブ: ペレネルと協力して\nタルトを救おうとしていた
いろは: …だけど\nそのことを誰にも言えなくて
いろは: 自分に何かがあったときのために\n私たちに後を託したんですね
メリッサ･ド･ヴィニョル: でも…\nリズが無事なのであれば
メリッサ･ド･ヴィニョル: どうしてあれから\n姿を見せないのでしょう？
ペレネル・フラメル: 「リズは深手を負い、影の中に消えましたが…\n傷はすでに癒えています」
ペレネル・フラメル: 「ただ彼女は今、夢と現実の狭間で\n迷子になっているのです」
ペレネル・フラメル: 「“乙女”という導きの光が\n消えてしまったから…」
やちよ: あ…そういうことなのね
いろは: そういうことって…\nどういうことですか？
やちよ: 覚えてるでしょ？\n私たちも一度、迷子になったこと
いろは: 私たち、迷子になってるんです！
いろは: 心の声を頼りに進むから\n私が呼んだら答えてください！
メリッサの声: …は、はい!?
メリッサの声: よく分からないけど\nやってみます！
やちよ: リズもあのときと同じ状態なのよ
いろは: あ…そうか！
いろは: つまり、こういうことですよね？
いろは: 前はタルトさんという“光”に\n従えば、迷うことはなかったけど
いろは: 夢の主のタルトさんが\n希望を失ってしまったから
いろは: 導きの光が消えて\n夢に入れず、迷子になってる…！
やちよ: そういうことよ
やちよ: だから、リズを導くには\nまず、タルトを救い出して
やちよ: “リズは生きている”って\n知らせればいいと思うわ
やちよ: それで、希望の光は灯るはず
キューブ: ペレネル！\nその方法で大丈夫かい？
ペレネル・フラメル: 「はい…！\nどうか“乙女”とリズを、救ってください」
ペレネル・フラメル: 「最後に、私からの贈りものです」
ペレネル・フラメル: ―ペレネル―\nタルトに会えたら、これを渡してください
ペレネル・フラメル: ―ペレネル―\nこの剣を掲げることで、リズを導く希望の光は\nいっそう強く輝くことでしょう
いろは: やちよさん！
やちよ: ええ\nやることは決まったわ
