
--- [Section 1] (Source: 510603-1.json) ---
まどか＆さやか: …えっ？
まどか: マミさん…？
マミ: 鹿目さんたち？
まどか: マミさん…\n助けに来てくれたんですか？
マミ: ええ…そうなんだけど
旁白: ザワ…
杏子: どうなってんだ？
杏子: みんな、解放されたのか？
マミ: まるで\n何事もなかったみたいな様子ね
さやか: …でも、まだ魔力を感じる\n結界自体は解けてないよ
杏子: 魔女はどこに消えたんだ？
まどか: 魔女って？
杏子: 目に見えない魔女\n姿を隠すのが上手くてさ
杏子: 魔力を追わないと\n見つけられないんだ
さやか: この結界の主ってわけ？
マミ: …だと思うんだけど\nでも、変なのよね
マミ: この結界や私たちの夢が\n魔女の仕掛けた罠だとすると
マミ: とっくに牙を剥いている頃だと\n思わない？
杏子: 確かに妙だ\n誰かが殺された様子もないしね
まどか: 魔女なのに、誰も襲わない？
杏子: …んなわけあるか\n手を出せねーんだろ？
さやか: 何かに邪魔されてるってこと？
マミ: …ありうるわね
マミ: たとえば\n他の魔法が働いているとか
？？？: その通りなの…\nお姉ちゃんたち、ごめんね
マミ: …誰？
マナツ: …………
マナツ: わたしは…
マナツ: マナツだよ
マミ: ――っ!?
杏子: なっ…
なぎさ: ほむら、あれを見るのです！
ほむら: 鹿目さんに…巴さんたち？
ほむら: …それに、あの女の子は？
なぎさ: マナツなのです！
なぎさ: よくもなぎさを\n騙してくれたのです！
ほむら: あれが…マナツさん？
ほむら: ――っ!?
ほむら: ま、待って！
なぎさ: 覚悟するのです！
マミ: なぎさちゃん!?
杏子: …おい！\n何する気だ!?
マナツ: …………
マナツ: …………\n…………

--- [Section 2] (Source: 510603-2.json) ---
杏子: …なんだ、ここは？
なぎさ: 真っ暗なところに\n３人とも閉じ込められたのです…
マミ: なぎさちゃん…
マミ: どうして\n追いかけて来ちゃったの？
杏子: こっちに来るなって\nほむらに言っといたのにさぁ
なぎさ: ごめんなさいなのです…
マミ: 仕方ないわね\nそれより今は…
マナツ: …………\n…………
マミ: あの子がマナツちゃんね
なぎさ: 見えるのですか？\nマミと杏子にも
杏子: …ついさっきまで\nなぎさの妄想だと思ってたけどな
マミ: マナツちゃんは\n本当にいたのね
杏子: 魔力は感じねえ…\n魔女ってわけでもなさそうだ
杏子: アンタ、何者だ？
マナツ: …ごめんね、なぎさちゃん\nお姉ちゃんたち
マナツ: マナツの願い事に\n巻き込んじゃって…
マミ: 願い事…？
マナツ: そう、ここにいるマナツは\n願いの魔法が見せている幻
マナツ: 本当のマナツは、もういないの\n…魔女になっちゃったから
なぎさ: ――っ!?
マナツ: お詫びに見せてあげるね\nいったい何が起きたのか
マナツ: 何年も前のことだよ…
マナツの父: 退院おめでとう！\nマナツ
マナツの母: 手術、よくがんばったわね！
マナツ: ありがとう！
マナツ: マナツはもうこれで\n手術しなくていいの？
マナツの母: えっと…そうね…
マナツの父: …しばらくは、な
マナツ: そう…なんだ…
マナツの母: 非常勤で教えてる高校からね
マナツの母: 正式な教員に\nならないかって話が来たの
マナツの母: 来月までに返事が欲しいって
マナツの父: ありがたい話ではあるけど…\n研究職を続けるのは難しくなるな
マナツの母: ええ…
マナツの母: でも、マナツの病気を考えると\n夢を追ってばかりは…
マナツの父: 実は僕も転職を考えているんだ\n知り合いが会社を始めてね
マナツの母: …………
マナツの母: 残念だけど、潮時なのかもね
マナツの父: ああ…
マナツの父: 今のプロジェクトが終わったら\nふたりとも天文台の籍はなくなる
マナツの父: いい頃合だったのかもしれない
マナツの母: …夢を見るのはこれで最後
マナツの母: これからはマナツのことだけを\n考えて生きましょう
マナツ: パパとママ…
マナツ: 夢…諦めちゃうの？

--- [Section 3] (Source: 510603-3.json) ---
マナツ: 「ある日ね…」
マナツ: 「マナツは、夢を見たの」
マナツ: ドドォーン
マナツの妹: すごい、すごーい！
マナツの母: ほんと、綺麗な花火ね\nまるで、夢みたい…
マナツの父: ああ…そうだな
マナツ: 「マナツの家族が\n大きな新しいプールに出かけて…」
マナツ: 「そこで知り合ったお姉ちゃんたちと\n１日を楽しくすごして\nそれから、夜は花火を見上げて…」
マナツ: 「パパもママも、とっても幸せそうだった」
マナツ: …でもね、そこにね\nマナツの姿はなかったの
マナツ: まるでマナツなんて\nもともといないみたいだった
なぎさ: …………
マナツ: まだ生まれていない妹が\n大きくなってたから
マナツ: 何年か先の\n未来の夢だったんだと思う
マミ: マナツちゃん…
マナツ: だけど、パパもママも\nとっても幸せそうな顔をしてた
マナツ: ふたりとも天文台で働いてて…
マナツ: マナツのせいで諦めた夢を\nその未来では、ちゃんと叶えてた
マナツ: だからね\nマナツは思ったの
マナツ: マナツがいない方が\nパパもママも幸せなんだって
マナツ: そんなとき、マナツの部屋にね\nキュゥべえが来たの
なぎさ: …………！
キュゥべえ: …キミが見た未来の夢を\n現実にしてほしい？
マナツ: うん、お願い！
マナツ: マナツのせいで夢を諦めた\nパパとママがね…
マナツ: その未来では夢を叶えて\n幸せになっていたの
マナツ: だから…！
キュゥべえ: なるほど
キュゥべえ: 数年先に訪れるであろう\nその幸せな１日が
キュゥべえ: キミの見た通りに再現されるよう\n因果に干渉して
キュゥべえ: 両親の夢を叶えたい…\nということかな？
マナツ: うん！
キュゥべえ: でも、その夢の中に\nキミは存在しなかったそうだね？
マナツ: うん\nそれでもかまわない
マナツ: 願いが叶ったら、マナツは消えて\nいなくなっちゃうのかな
