
--- [Section 1] (Source: 512308-1_oSzyU.json) ---
旁白: <30分前…>
常盤 ななか: お待たせしました
空穂 夏希: ななかさん…！
常盤 ななか: 美雨さんとかこさんも\n後から来ます
志伸 あきら: 急にごめん\nでも、緊急事態だから…
常盤 ななか: …確かに\nただごとではなさそうです
常盤 ななか: わかっていることを\n教えていただけますか？
空穂 夏希: は、はい…！
空穂 夏希: えっと…
志伸 あきら: 落ち着いて…\n最初からゆっくりでいいから
空穂 夏希: …………
空穂 夏希: …放課後
空穂 夏希: あいみと遊ぶ約束をしていたのに\n来なかったんです…
空穂 夏希: 連絡もないから\n心配で探しに来たら…
空穂 夏希: …えっ、放課後なのに\n誰も出てこない…？
空穂 夏希: …それに、なんだろう…\nこれは、魔力…？
空穂 夏希: …………
空穂 夏希: 「魔女とは違うけど、魔力を感じて\n調べることにしたんです」
空穂 夏希: 「そうしたら…」
空穂 夏希: …な、何これ…
江利 あいみ: …………
空穂 夏希: あいみ!?
空穂 夏希: どうしたの…!?\nいったい何が…
空穂 夏希: ――っ!?
空穂 夏希: い、岩みたいに重い…！\nもしかして何かの魔法…？
空穂 夏希: どうしよう…
空穂 夏希: あいみ！\nしっかりして！
江利 あいみ: …………
江利 あいみ: あっ…夏希…
空穂 夏希: ――っ!?
空穂 夏希: 今…！
空穂 夏希: 私の声、聞こえる？\nねぇ、返事して…！あいみっ！
空穂 夏希: 「その後は、反応がなくて…\nひとりではどうしていいかわからなくて…\nあきらに連絡したんです…」
志伸 あきら: 夏希…！\n緊急事態だって!?
空穂 夏希: そうなの！\nあいみたちがおかしくて…！
空穂 夏希: 呼びかけたら、\n少し反応したんだけど
空穂 夏希: またすぐに\n反応しなくなっちゃって…
志伸 あきら: 大丈夫、落ち着いて…
志伸 あきら: ななかたちにも連絡したから\nすぐに来てくれると思うよ
志伸 あきら: すごく頼りになる人たちだから\nきっと大丈夫、ねっ？
常盤 ななか: …いきさつは、わかりました
常盤 ななか: 夏希さんは\n引き続き呼びかけてください
空穂 夏希: あいみに…？
常盤 ななか: はい
常盤 ななか: 反応したということは\n多少なりとも効果があるはずです
空穂 夏希: あっ、そっか…
空穂 夏希: わかりました…！\n呼びかけてみます！
志伸 あきら: …これって\n魔女の仕業じゃないよね？
常盤 ななか: …現状では断定できませんが
常盤 ななか: この神浜で最近、\n魔女とは別の存在が
常盤 ななか: 人々に害を成している\nという話を聞いたことがあります
常盤 ななか: 魔女以外の何かが関わっている\n可能性は考えておくべきでしょう
志伸 あきら: それと…
天乃 鈴音: …………
常盤 ななか: …………
天乃 鈴音: やはり…
天乃 鈴音: 正解だったみたいね…
常盤 ななか: ええ、私の方も…
常盤 ななか: どういう状況でしょうか？
粟根 こころ: …あの人に襲われたんです
常盤 ななか: 魔法少女を狙っている魔法少女…\n天乃スズネさん、でしたか…
常盤 ななか: …………いえ
常盤 ななか: 一般の方も巻き込まれていますし\n今は事態の収拾に努めましょう
志伸 あきら: …そうだね

--- [Section 2] (Source: 512308-2_oSzyU.json) ---
江利 あいみ: 待って…！\n消えないで…！
江利 あいみ: ツバキさん！\nみんな…!!
江利 あいみ: …………
空穂 夏希: あいみ…？
江利 あいみ: …えっ…？
江利 あいみ: …うっ…\nここ、学校…？なんで…？
空穂 夏希: あいみ…
江利 あいみ: 夏希…？あれ？\nメッチャ、はっきり見える…
空穂 夏希: よかったぁ…！\n目が覚めたんだね…！
常盤 ななか: あるいは、“戻ってきた”\n…というべきでしょうか？
志伸 あきら: 戻ってきた？
常盤 ななか: 眠っていたというよりは
常盤 ななか: ここではないどこかに意識が\n行っていたように感じたので…
常盤 ななか: 推測…\nいえ、勘の域を出ませんが…
江利 あいみ: えっと…夏希と同じ学校の…\nななかちゃんとあきらちゃん？
志伸 あきら: “ちゃん”は恥ずかしいから\nよければ呼び捨てで…
江利 あいみ: あっ、うん…
江利 あいみ: ふたりはなんでここに…？
江利 あいみ: というか、ツバキさんの家に\nいたはずなんだけど…
江利 あいみ: みんなは…？
常盤 ななか: …そちらに
江利 あいみ: ――っ!?
江利 あいみ: 何あれ!?
空穂 夏希: さっきまで、あいみも\nあんな感じだったんだよ…
江利 あいみ: マジで…？
志伸 あきら: 呼びかけても\n時々しか反応がなかったんだ…
常盤 ななか: 何があったのか\n話していただけますか？
江利 あいみ: …………
江利 あいみ: さっきまで…\n平穏な日常を普通に暮らしてた
江利 あいみ: って、思ってた
空穂 夏希: …思ってた？\nどういうこと…？
江利 あいみ: えっとね…
志伸 あきら: 本来は神浜にいないはずの\n魔法少女たちとの日々かぁ…
空穂 夏希: でも、私の声で\n違和感を感じて…
空穂 夏希: 花の香りを頼りに
空穂 夏希: スズランみたいな“花”を探して\n触ったら…
空穂 夏希: こっちの声や姿が、少しずつ\nわかるようになったんだね
常盤 ななか: …歪んで見えたり\n聞こえていたものが
常盤 ななか: 正しく\n“認識”できるようになった
常盤 ななか: …というところでしょうか？
江利 あいみ: うんうん、\nそんなカンジ！
常盤 ななか: そして、中央学園の校門にあった\n“花”に触れたところ
江利 あいみ: …うん…
？？？: …ツバキはもういない\nもう帰ってこない…
？？？: …ツバキは死んでしまった\nずっと昔…\n私が小さい頃に死んでしまった…
？？？: だから、もう…\nここでしか一緒にいられない
江利 あいみ: ツバキさんがもう…\n亡くなってるってわかった…
江利 あいみ: そのことをツバキさんに\n確かめなきゃって思ったんだけど
江利 あいみ: ツバキさん…\n私、ツバキさんが
江利 あいみ: もう亡くなってるって
江利 あいみ: あの“花”に触れたとき\nわかったんです…
江利 あいみ: でも、ツバキさんはここにいて…
江利 あいみ: 死んじゃってるなんて\nとても思えなくて…
美琴 椿: えっ…\n―――さん!?
美琴 椿: ――――何が…!?
江利 あいみ: えっ…？\nあれ!?ツバキさん!?
江利 あいみ: なんで、消えて…!?
常盤 ななか: もしかしたら、\nあいみさんは…
常盤 ななか: 気付いてはならないことに\n気付いてしまった…
常盤 ななか: あるいは、指摘したから\n追い出されたのかもしれません
志伸 あきら: “美琴ツバキ”さんって人が\n亡くなってること、だね…
江利 あいみ: なるほど…
江利 あいみ: でも、みんながホントに\n消えたんじゃなくてよかった…
江利 あいみ: あぁ、そっか…
空穂 夏希: どうしたの？
江利 あいみ: 町で見かけるのが\n同じ子ばっかりな気がして
江利 あいみ: なんかおかしいなぁ\nって思ってたんだけど
江利 あいみ: 囚われてる人が限られてるから\nだったんだなぁって…
常盤 ななか: 違和感を感じさせないエキストラ\nといった役割なのでしょうね…
江利 あいみ: …あれ？\nツバキさんは…？
空穂 夏希: いないの？
江利 あいみ: …見当たらない
常盤 ななか: すでに亡くなっている方なら\nいないのは、ある意味道理かと…
江利 あいみ: じゃあ、あのツバキさんは\n幻…？
江利 あいみ: いや、幽霊…!?
常盤 ななか: …………
常盤 ななか: もしくは…\n過去から来た本人…
江利 あいみ: えっ…？

--- [Section 3] (Source: 512308-3_oSzyU.json) ---
常盤 ななか: もしくは…\n過去から来た本人…
江利 あいみ: えっ…？
江利 あいみ: どういうこと…？
常盤 ななか: この場は今、魔女の結界のような\n強い魔力を帯びているようです
常盤 ななか: 何らかの魔法によって\n過去の時代から
常盤 ななか: 本人の意識だけが、その空間に\n迷い込んだのかもしれません…
志伸 あきら: 肉体は過去に置いたままで\n意識だけが現在に来たってこと？
常盤 ななか: …はい\nそう考えています
江利 あいみ: どうしてそう思うの？
常盤 ななか: あいみさんは…
？？？: …ツバキはもういない\nもう帰ってこない…
？？？: …ツバキは死んでしまった\nずっと昔…\n私が小さい頃に死んでしまった…
？？？: だから、もう…\nここでしか一緒にいられない
常盤 ななか: …という\n誰かの思いを“認識”して
常盤 ななか: ツバキさんの“死”を\n知ったんですよね？
江利 あいみ: …うん
常盤 ななか: “花”に触れて認識できたことが\nこの事件と無関係とは思えません
常盤 ななか: つまり、その思いを抱いた誰かは\n今回の件の中心にいるはずです
常盤 ななか: そして…その誰かにとって\n必要なものはなんでしょう？
江利 あいみ: …あっ、そっか
江利 あいみ: その人にとって必要なのは\n“本物のツバキさん”…
常盤 ななか: …はい、本物の…\n生前の美琴ツバキさんです
常盤 ななか: まだ推測の域をでませんが\n可能性はあると思います
志伸 あきら: あのさ…これって他の人たちも\n“ツバキさんの死”を指摘すれば
志伸 あきら: 戻って来られるってこと…？
常盤 ななか: 可能性は高いですが
常盤 ななか: その方法だと全員を助けるのは\n難しいでしょう…
空穂 夏希: 向こうの人たちと\n意思疎通できないかな…？
江利 あいみ: 相談してる声とかも\n聞こえてたから
江利 あいみ: こっちが現実だって\n気付いてくれればワンチャン…？
空穂 夏希: あっ、ずっと呼びかけてたら\nあいみ反応したよ
江利 あいみ: よしっ！\n呼びかけてみる！
江利 あいみ: おーい！聞こえる!?\nこころ、まさらー!!
江利 あいみ: …まぁ、\nそう、うまくはいかないよね…
江利 あいみ: …………
江利 あいみ: うーん…\nなんとかふたりと話ができれば…
粟根 こころ: …あいみ、そこにいるの？
加賀見 まさら: 無事なのね…？
江利 あいみ: …………
江利 あいみ: …ウソ！\n返事してくれた…！

--- [Section 4] (Source: 512308-4_oSzyU.json) ---
加賀見 まさら: …そっちのことはわかったわ
粟根 こころ: これから行かないと\nいけない場所もね…
加賀見 まさら: 意識すればそちらのことは\n“認識”できるから
加賀見 まさら: 何かわかったら教えて…
粟根 こころ: こっちもわかったことは\nすぐに伝えるね
江利 あいみ: うん…
江利 あいみ: 何があるからわからないから\n気を付けて…
江利 あいみ: あと、カガリちゃんと\nスズネちゃんのことお願いね…
江利 あいみ: ふたりに何があったかは\nわからないけど…
江利 あいみ: 悲しいことになってほしくない…
粟根 こころ: …うん\n私もそう思う…
加賀見 まさら: …………
常盤 ななか: 私からもひとつ
常盤 ななか: こちらのスズネさんと\nカガリさんですが
常盤 ななか: 私たち側から、特に\n“認識”しにくくなっています
粟根 こころ: どういうこと…？
加賀見 まさら: …あいみが消えた時のように\nなっているということかしら？
常盤 ななか: …私が見たところ
常盤 ななか: 意識しておかないと\n視界から外れる感じがします
志伸 あきら: …そういえば、\n最初に見たときと比べて
志伸 あきら: 他のみんなも、少し存在感が\n薄れているような…
常盤 ななか: これも私の推測ですが…
常盤 ななか: あまりそちらに長居すると
常盤 ななか: 現実の人間から\n認識されなくなるかもしれません
江利 あいみ: …ってことは、\nそうなる前に
江利 あいみ: 夏希が気付いてくれたのは\nラッキーだったんだね…
加賀見 まさら: …………
加賀見 まさら: …忠告として\n受け取っておくわ…
粟根 こころ: ありがとう\nじゃあ、またね
常盤 ななか: はい\nくれぐれもお気を付けください
加賀見 まさら: …………
粟根 こころ: でも、本当によかった…\nあいみが無事で…
加賀見 まさら: …むしろ無事じゃないのは\n私たちみたい
粟根 こころ: あはは…\nそうだったね…
粟根 こころ: 巻き込まれちゃってる人もいるし\nなんとしてでも解決しないとね！
加賀見 まさら: …あなたらしいわね
粟根 こころ: まさらだってこのままでいいとは\n思わないでしょ？
加賀見 まさら: …ええ
加賀見 まさら: …ツバキさんたちが住んでいる\nマンションに急ぎましょう
粟根 こころ: うん…\nスズネとカガリに会わないと…
加賀見 まさら: …………\n…………
加賀見 まさら: 急がないと危険かもしれないわね
粟根 こころ: …どういう意味？
加賀見 まさら: ふたりが敵に回るかもしれない\nということよ…
