
--- [Section 1] (Source: 512440-1.json) ---
絵本のページ: [textBlack:おまけ]\n[textBlack:「なぎさのショコラパーティー」]
マミ: …はい、どうぞ
杏子: お、この紅茶\nリンゴの香りがするぞ？
なぎさ: アップルティーなのです！
マミ: 正解よ
マミ: 全員揃うまで\nリンゴの香りを楽しみましょう
杏子: さやかたち、おせーな…\n何やってんだ？
旁白: ピンポーン
マミ: あ、来たきた！
まどか: すみません！
まどか: ３人でお買いものしてたら
まどか: 思ったより\n時間がかかっちゃって…
なぎさ: 何を買っていたのですか？
まどか: チョコアイスと\nチョコシロップに…
まどか: バナナと生クリーム\nそれからシリアル！
ほむら: …あと、ミニチョコや\nココアパウダーも
マミ: 何か作るつもりなのかしら？
なぎさ: これはきっと…
なぎさ: チョコレートパフェの\n材料なのです！
さやか: 今のでわかるんだね？
マミ: なぎさちゃんは\nちいさなショコラティエだもの
なぎさ: はいなのです！
まどか: 本当は何か手作りして\n持ってきたかったんですけど
まどか: 今からじゃチョコレートケーキは\n間に合わないし…って悩んでたら
まどか: パフェなら盛り付けるだけだから\nすぐできるよ、って
まどか: パパがレシピを\n書いてくれたんです
さやか: まどかのパパは\nお料理が得意だからね！
ほむら: そういうわけなので…
ほむら: 巴さん、少しだけ\nキッチンを貸してもらえますか？
マミ: もちろん！\n一緒に準備しましょ？
まどか: …これでよし、と！
ほむら: うまくできたね
なぎさ: おいしそうなパフェなのです
杏子: そっちは何だ？
マミ: チョコレートフォンデュよ
マミ: フルーツに\nチョコをつけていただくの
杏子: お、いいな！
杏子: あたしの持ってきた
杏子: “シュガープラム”の\nチョコレートケーキも絶品だぞ？
なぎさ: なぎさが買ってきた\nメダルチョコもあるのです！
さやか: どれもおいしそう…
まどか: ふふふっ\n楽しみだね！
杏子: …いやー、食った食った！
まどか: こんなにチョコレートを食べたの\n生まれて初めてかも…
マミ: 少し休憩にしましょうか？\nお茶を淹れてくるわ
まどか: あ！\nわたし手伝います！
ほむら: 私も…！
まどか: …この紅茶って\n薔薇みたいな香りがするね
ほむら: うん、だけど\n爽やかな風味もあって
ほむら: チョコレートにはぴったりかも…
マミ: よかった
マミ: チョコレートには
マミ: フレーバーが強めなくらいが\nちょうど合うのよね

--- [Section 2] (Source: 512440-2.json) ---
まどか: ふぅ…\nお茶、おいしかったぁ！
さやか: なんだか\nまったりしてきたね
なぎさ: …でも、ショコラパーティーの\n本番はこれからなのです
ほむら: 宇宙一のチョコレートケーキ…\nでしたっけ？
まどか: もう、マミさんに\nプレゼントしたの？
なぎさ: はいなのです！
杏子: 魔法のチョコレートケーキか…\nどんな味なんだろうね？
さやか: ちょっとあんた！
さやか: マミさんのケーキを
さやか: 横取りしようってんじゃ\nないでしょうね？
杏子: 別にそういうわけじゃないけどさ\n結構、大きなケーキだったろ？
杏子: マミひとりで食い切れるわけ？
マミ: もともと私は、ひとりで\n食べるつもりじゃなかったけれど
さやか: だめだめ！
さやか: なぎさからマミさんへの\nプレゼントなんだから…
さやか: マミさんが食べるべき！\nまどかもそう思うでしょ？
まどか: …えっ、わたし？
まどか: わたしは…その…
まどか: マミさんとなぎさちゃんが\n一緒に作ったケーキだから…
まどか: マミさん、半分はなぎさちゃんに\nあげるつもりなのかな、って
まどか: なんとなく思ってたかも…
ほむら: 私もそう思ってました…
杏子: なぎさは自分で食うために\n作ったわけじゃねぇだろ？
なぎさ: 確かに、そうなのですが…
なぎさ: ショコラティエとしてではなく\nひとりのチョコ好きとして
なぎさ: 宇宙でいちばんのケーキを\n味わってみたい気も…
杏子: …自分に正直なヤツだな
さやか: …なんか、意見がバラバラだね
マミ: じゃあ、こうしましょうか？
マミ: せっかくなぎさちゃんが\nプレゼントしてくれたんだから
マミ: ケーキの半分は私のもの
マミ: 残りの半分は、これからする\nゲームの賞品にするの！
ほむら: 賞品…？
マミ: そう\nケーキの半分をどうするかは
マミ: ゲームで優勝した人が\n好きに決めていいわ
まどか: ゲームって、どんな…？
マミ: そうね…\nトランプなんてどうかしら？
まどか: あ…いいかも！
さやか: トランプのゲームっていうと\n七並べとか、神経衰弱とか？
杏子: …それって、最初に\n抜けたヤツが優勝ってこと？
ほむら: ちょっとあっけないかも…
マミ: せっかくだし\nもう少し盛り上げたいわね
杏子: …んじゃ、なぎさの持ってきた\nメダルチョコをチップにして
杏子: ポーカーでもやる？
杏子: メダルチョコを一番たくさん\n集めたヤツが優勝ってことでさ！
ほむら: メダルチョコはただ\nチップの代わりにするだけで…
ほむら: 優勝賞品は、巴さんの\nチョコケーキを半分ってことかな
杏子: そうそう！
さやか: なるほど…
なぎさ: なぎさはルールを\nよく知らないのですが…
マミ: あくまでパーティーの余興だから
マミ: みんなで覚えながら\n楽しく遊びましょ？
なぎさ: わかったのです！
なぎさ: というわけで…
なぎさ: 宇宙一のチョコレートケーキをめぐる\nパーティーゲームが始まったのです

--- [Section 3] (Source: 512440-3.json) ---
マミ: …手札は確認したわね？\nさ、チップを賭けて
まどか: わたしのカード\n全然ダメかも…
ほむら: 私も…
マミ: あら、ふたりとも\n勝負から降りちゃうのね
マミ: …私の手札も厳しいのよね\n無理はしないでおくわ
マミ: 次はなぎさちゃんの番よ
なぎさ: （こ、これは…）
なぎさ: （すごく強いカードが\n揃ったのです！）
なぎさ: ふふふふっ…
なぎさ: 手持ちのメダルチョコを\n全部賭けてしまうのです！
さやか: じゃーやめとくわ
杏子: …あたしも\nなぎさの勝ちだな！
なぎさ: ――っ!?
なぎさ: どうしてみんな\nあっさり降りるのですかー！
なぎさ: 勝負に乗ってくれたら\nチョコをもっと増やせたのに！
杏子: いや…だって\n自信満々って顔してたしさ
なぎさ: その通りなのです！\n９が３枚、７が２枚だったのです
さやか: フルハウスじゃないの！
杏子: 降りて正解だったよ
なぎさ: うぅ…\n悔しいのです
マミ: 賭けるときには\nポーカーフェイスって言ってね
マミ: なるべく気持ちを\n顔に出さないようにするのよ
マミ: なぎさちゃんのために
マミ: もう少し簡単なゲームに\nしておけばよかったわね…
なぎさ: 大丈夫なのです！\nなぎさも楽しくなってきたのです
なぎさ: 次はバレないように\nズルくやるのです！
さやか: なんか…\n変なノリになってきたような…？

--- [Section 4] (Source: 512440-4.json) ---
さやか: …ここは強気で賭けるよ！
杏子: おっ？
杏子: じゃ、あたしは…\nチップの数を吊り上げるか！
さやか: むむっ…？
マミ: 佐倉さんも負けてないわね
まどか: いいカードが揃ったのかな？
なぎさ: ハッタリかもしれないのです！
杏子: ふふーん\nどうする、さやか？
さやか: うーん…降りとくわ
杏子: なんだ、乗らないのか
さやか: これまで賭けた分は\n持ってかれちゃうけどね
マミ: じゃあ、これは\n佐倉さんの取り分
杏子: ちぇっ、あたしの手札\nフラッシュだったんだけどな！
杏子: さやかが挑発に乗ったら\nブチのめしてやったのに
さやか: 危なかった…\n逃げて正解だわ
なぎさ: なぎさは杏子の\nハッタリだと思ったのです
ほむら: 美樹さんは\nどうしてわかったの…？
さやか: …なんか杏子の口元が\nニヤついてたからね
杏子: なっ…？
まどか: すごい、よく見てるね！
マミ: 面白くなってきたわね
まどか: …今度は降りないで勝負するよ！
さやか: お…まどかが強気？
ほむら: 私も…チップを増やします！
マミ: 暁美さんも…？
まどか: わたしも、負けないから！
さやか: えっ、まだ額を上げるの？
杏子: こりゃ、負けた方は破産だな！
ほむら: …あ…
さやか: で、どうするの\nほむらは？
ほむら: …………
ほむら: どうしよう…やっぱり…\nやめよう…かな…
さやか: …ここまできて？
杏子: どうしたんだよ\nさっきは自信ありそうだったのに
ほむら: そ…それは…
旁白: チラッ…
まどか: …………？
なぎさ: …ん？\nもしかして
なぎさ: まどかに勝ちを譲ろうと\nしているのではないですか？
さやか: あー、杏子が\n負けたら破産なんて言うから
さやか: 勝っちゃったら\nまどかが傷つくと思った？
なぎさ: 真剣勝負なのです！\n手加減はいけないのです！
ほむら: で…でも…
さやか: いや、ただの余興だし…\nそんな深刻にならなくても
杏子: そうそう\n負けても恨みっこナシだって！
ほむら: そ…そうですよね…
ほむら: じゃあ、チップを増やして…
杏子: 増やすのかよ!?
なぎさ: ほむらが本気なのです！
まどか: いいよ、その額で！
さやか: 受けて立ったね！
マミ: じゃあ、ショーダウンね\nまずは暁美さんから
ほむら: はいっ
旁白: パラッ…
さやか: クイーンが４枚！
杏子: すげぇ、フォーカードじゃん！\nそりゃ強気にもなるよな
なぎさ: まどかはどうなのですか…？
まどか: わたしは…
旁白: サッ…
さやか: えっ…？
杏子: エースが４枚！
さやか: まどかもフォーカード!?
杏子: すごい勝負だな
なぎさ: …これって、どうなるのですか？
マミ: エースの方が強いカードだから…\n鹿目さんの勝ちよ！
マミ: 暁美さんはちょっと\n相手が悪かったわね
まどか: ご、ごめんね…\nほむらちゃん
杏子: 別に謝ることはないんじゃない？
さやか: うん
さやか: ほむらに謝んなきゃいけないのは\n外野のあたしたちだよね
さやか: …なんか煽り立てちゃって\nごめん
ほむら: ううん…勝負するって\n決めたのは私だから…

--- [Section 5] (Source: 512440-5.json) ---
なぎさ: そんな感じで\nパーティーの余興も盛り上がって
なぎさ: 結局、最後に勝ったのは…
マミ: …ごめんなさいね\nまさか自分で優勝しちゃうなんて
さやか: 派手な大勝負に\n気を取られてるうちに…
さやか: 気づいたらマミさんが\nトップになってたね
杏子: 勝負事なんて\nそんなもんかもな…
まどか: 結局、チョコレートケーキは\n全部マミさんのものってこと？
さやか: とーぜんでしょ？
さやか: あたしたちは\n勝者の決定に従うだけ！
ほむら: 巴さんは…そのケーキ\nどうするつもりなんですか？
マミ: うーん、二度と食べられない\n魔法のケーキなんだし…
マミ: ６等分して\nみんなで食べましょ？
マミ: それじゃ、ナイフを入れるわよ…
みんな: …………
みんな: …………
なぎさ: いよいよ宇宙一のケーキを\n味わう瞬間なのです…
まどか: 最初のひと口はやっぱり\nマミさんからだよね？
マミ: みんな一緒がいいわ\nせーので口に入れましょ？
まどか: …いいんですか？
杏子: 勝ったマミが言うんだから\nそうするしかないんじゃない？
さやか: じゃあ、みんな一緒に…
みんな: せーのっ！
旁白: ぱくっ
みんな: ――っ!?
みんな: …………
みんな: …………\n…………
ほむら＆さやか: お…おいしい…！
まどか: …どうしよう\n感激で泣けてきちゃったかも！
なぎさ: なぎさは一瞬\n宇宙が見えたのです…
杏子: 生きててよかったって\n気持ちになったよ…
マミ: …本当に宇宙一の\nチョコレートケーキだったわね
なぎさ: それは…
なぎさ: 一緒に作ってくれた\nマミのおかげなのです！
みんな: ふふふっ
マミ: …なぎさちゃん
なぎさ: は、はいなのです
マミ: 素敵なバレンタインデーを\nありがとう
マミ: それから…
マミ: ようこそ！\nちいさなショコラティエさん
マミ: 可愛い仲間が増えてうれしいわ\nこれからもよろしくね
なぎさ: …………
なぎさ: こちらこそ、なのです！
旁白: [textBlack:END]
