
---[Section 1] (Source: 101405-1_XyQZg.json) ---
ういの幻影: 運命を変えたいなら神浜市に来て\nこの町で魔法少女は救われるから
いろは: あの<red>マギウスの翼</red>という人たちは\n私が見たういと同じようなことを言っていた
いろは: 魔法少女を救うってどういうこと？\n神浜市ならそれが出来るってどういうこと？\n<blue>うわさ</blue>を守れば、魔法少女が救われるの？
いろは: ういは\n<blue>うわさ</blue>に巻き込まれてるかもしれない
いろは: <red>マギウスの翼</red>は\n<blue>うわさ</blue>と関わりを持っている
いろは: ういと<red>マギウスの翼</red>…\n何か関係があるのかな…
フェリシア: なんとかの翼ってヤツも倒したし\n後は一直線だな！
フェリシア: １時間もありゃよゆーだ！
やちよ: ウワサの能力は未知数よ
やちよ: 口寄せ神社のときも\nかなり苦戦したからね…
フェリシア: そりゃおめーらが弱いだけだろ？\nオレならガンッと一発でドンだ！
鶴乃: あっはは、フェリシア\n擬音ばっかりだー
フェリシア: んだよー、\n分かったらいいじゃんか！
フェリシア: なっ、いろは！
いろは: へっ!?あ、うん、そうだね！\nこのままウワサを倒さないとね！
いろは: （機会があれば聞こう…）
いろは: （あの人たちが、\nういを知ってるかどうか…）
杏子: おい、奥が開けてるぞ
杏子: あそこに大元のウワサってヤツが\nいるかもしれねえ
やちよ: 佐倉さん！
やちよ: ひとりで飛び出したら、\n勇み足になるわよ!?
杏子: …………
フェリシア: あれ、何立ち止まってんだよー？
杏子: 何もクソもへったくれもないさ…
杏子: ご丁寧なことに\nちゃんとボスを用意してやがる
フェリシア: ボスぅ…？
鶴乃: ほあ！\nいろはちゃんあれ！
鶴乃: 奥に居る！
いろは: へ？何が…？
いろは: …あ
いろは: <red>白いマギウスの翼</red>…

---[Section 2] (Source: 101405-2_XyQZg.json) ---
白羽根: 聞こえてましたよ\nあと１時間ですってね
白羽根: 聞こえてたね\nあと１時間だって
白羽根: ねー
白羽根: だけどウチらには関係ない\nここで足止めさせてもらうから
白羽根: そのままご不幸になられて\n辛酸をお舐めくださいませ
白羽根: ねー
いろは: あなたたちの目的のために…\nですか…？
白羽根: というよりも、マギウスのため、\n全魔法少女のためでございます
鶴乃: 何が解放かなんて\nわからないけど
鶴乃: 人の不幸の上に成り立つ\n解放なんてわたしはいらないよ！
白羽根: 無知な者には理解できる\n問題ではございません
白羽根: 静かにウチらがすることを\n見守ってろって感じだよね
白羽根: ねー
杏子: 誰が見守るかってんだ
杏子: どうせ、こっちの言葉なんざ\nコイツらには通じない
杏子: さっさとやっちまおうぜ
フェリシア: へへっ、\nオレもそう思ってたところだ
フェリシア: 時間もないもんな！
いろは: （本当は\nういの事も聞きたいけど…）
いろは: そうだね、先を急ごう…
やちよ: どうせコソコソ姿を\n隠すような連中よ
やちよ: 大した相手じゃないわ
白羽根: あら、姿を晒すことぐらい\n造作もないことでございます
白羽根: ウチらを黒い連中と\n一緒にして欲しくないよ
白羽根: ねー
月夜: マギウスの翼、<red>白羽根</red>\n“<red>天音月夜</red>”にございます
月咲: マギウスの翼、<red>白羽根</red>\n“<red>天音月咲</red>”だよ
月咲: どうぞ、ウチらの奏でる音色に
月夜: 酔いしれてくださいませ

---[Section 3] (Source: 101405-3_XyQZg.json) ---
やちよ: 笛が武器…？
やちよ: 気をつけてみんな！
やちよ: この空間は、\n彼女たちにとって有利に働くわ！
月夜: よくぞお気づきになられました
月咲: 演奏開始、だねっ！

---[Section 4] (Source: 101405-4_XyQZg.json) ---
いろは: ひゃっ、あぁ！
やちよ: くっうぅ！
月咲: 感動と共にゆがむ顔\nウチらも演奏のしがいがあるね
月夜: えぇえぇ、言葉がなくとも\nその感動、体に響いて参ります
やちよ: 数の上じゃ勝ってるけど、\n奥に進むのは至難の業ね…
いろは: はい…どこから\n反響してくるか分かりません…
いろは: あの音をなんとかできれば…
选项: 【モッキュモッキュ！@（反響を跳ね返せばいいんだよ）】→ group_2
选项: 【モキュモキュ@（音を塞げばいいんだよ）】→ group_3

--- [Section 4 - Branch 2] (Source: 101405-4_XyQZg.json) ---
userName: モッキュモッキュ！
旁白: でも、どこから音が\n来るかが分からないし…

--- [Section 4 - Branch 3] (Source: 101405-4_XyQZg.json) ---
userName: モキュモキュ
旁白: 耳を塞いじゃえば…
旁白: それで大丈夫だとしても\n両手が塞がっちゃう…

--- [Section 4 - Branch 4] (Source: 101405-4_XyQZg.json) ---
月咲: さって、月夜ちゃん
月咲: そろそろ、\n二曲目を演奏しようか
月夜: えぇ月咲ちゃん
月夜: それでは、どうぞ次曲も\nその身を震わせてくださいませ

---[Section 5] (Source: 101405-5_XyQZg.json) ---
鶴乃: 音をどうにかすれば…
鶴乃: うーーーん…………
フェリシア: …………
鶴乃: ありゃ…フェリシア…？
鶴乃: ――っ!?
鶴乃: あいつ、\nひとりで奥に行く気だ！
鶴乃: ほっ、そうだっ！

---[Section 6] (Source: 101405-6_XyQZg.json) ---
フェリシア: （よっし…\nこのままこっそり奥に行けば）
フェリシア: （オレひとりで\nウワサをドンだ！）
鶴乃: フェリシアー！\nひとりで抜け駆けする気でしょ！
フェリシア: わっ、なんだよ！
フェリシア: ばらすなよバカ―！
鶴乃: こういうときはね、\n仲間との連携が大事なんだよ！
フェリシア: はぁ？れんけいー？\n何めんどくせーこと言ってんだよ
フェリシア: ここはオレひとりで\nドンとやった方がはえーじゃん！
杏子: あたしも、コイツの行動は\n理にかなってたと思うけど？
杏子: あの、やちよとかいうヤツに\n任せとけばいいじゃん
杏子: その隙にあたしらが先に進むのも\n連携ってやつなんじゃねーの？
