
--- [Section 0] (Source: 420031-0.json) ---
旁白: ∵フフッ￣フ―フフッ
いろは: ―いろは―\nやちよさん、\nこの<yellow>キモチ</yellow>って！
やちよ: ―やちよ―\nええ、いろはのブレスレットに\nなったはずよ…
鶴乃: ―鶴乃―\nいろはちゃん！\nちゃんと腕に付いてる!?
いろは: ―いろは―\nはい、あります！\n宝石もなくなってません！
さな: ―さな―\nじゃあ、目の前にいるのは\n別の<yellow>キモチ</yellow>ですか…？
フェリシア: ―フェリシア―\n同じだろーが別だろーが、\nどーでもいいぞ！
フェリシア: ―フェリシア―\nぶっ倒して\n<yellow>キモチ</yellow>の石をもらおーぜ！
うい: ―うい―\n待って…違う…
いろは: ―いろは―\nうい…？
うい: ―うい―\nお姉ちゃんが持ってる<yellow>キモチ</yellow>とは\n魔力のパターンが違ってる…！
かごめ: <black>倒されたはずの</black><yellow>キモチ</yellow><black>が現れた。</black>
かごめ: <black>そんな信じられないような話が、</black>\n<black>神浜中の魔法少女たちの耳に届いたの。</black>
かごめ: <black>姿形は全く同じだけど、</black>\n<black>気圧されるような強い感情はなくて、</black>\n<black>魔力も</black><yellow>キモチ</yellow><black>より魔女に似ている。</black>
かごめ: <black>そんな話、最初は誰も信じなかった。</black>
かごめ: <black>でもね、ひとり、またひとりって</black>\n<black>見た人が増えていくと、</black>\n<black>みんな真剣に探すようになっていったの。</black>
かごめ: <black>なぜなら、遭遇した魔法少女たちが</black>\n<black>口々に言っていたらしいから…。</black>
かごめ: 『この<yellow>キモチ</yellow>と戦えば\n感情の欠片が手に入る』って…
結菜: そう、例の<yellow>キモチ</yellow>を\n見つけたのねぇ
静香: 先を越されるわけにはいかないわ\n何人か先に行かせて！
時雨: ここで、差を縮めないと…\nぼくじゃ敵わないけど…
ラビ: <yellow>キモチ</yellow>にして穢れに蝕まれた存在
ラビ: 正体を知るのは彼女だけ
灯花: わたくしたちが探している\n<yellow>キモチ</yellow>っていうのは
灯花: 元々、でっかーく育った\nイブっていう魔女だったでしょ？
灯花: だからイブの消滅と一緒に\n飛び散ったエネルギーには
灯花: 感情以外に\n穢れも混ざってたんだよ
灯花: それはつまり！
灯花: 噂になってる<yellow>キモチ</yellow>っていうのは\nたっくさんの穢れが\n小さな感情の欠片と一緒に集合した結晶体
灯花: 断言はできないんだけどー
灯花: 穢れが一定のレベルを超えちゃったから\n本物の<yellow>キモチ</yellow>と同じような姿で\n現れたのかもしれないねー
いろは: 詳細が明らかになった以上、\n私たちも逃すわけにはいきません
いろは: みんなで倒しに行きましょう！
やちよ: ええ、まずは今回現れた\n相手の詳細を調べましょう
