
---[Section 020] (Source: 913216-020_mami.json) ---
旁白: 干嘛摆出一副\n好像要死了的表情？
麻美: 佐仓同学？
杏子: 稍微跟我来一下
杏子: 我有件事想拜托你

---[Section 030] (Source: 913216-030_mami.json) ---
麻美: 诶…
杏子: 你果然也不知道吗
杏子: 美树沙耶香\n只要签订契约成为魔法少女…
杏子: 她的灵魂宝石就一定会浑浊\n然后变成魔女
麻美: 魔法少女会变成魔女…？
杏子: 虽然至今为止\n完全没想过这回事…
杏子: 但这么一说\n好像也不是不能理解
杏子: 状态变差的魔法少女\n都在不知不觉间消失了…
杏子: 虽然我一直都以为\n她们是被魔女干掉了…
杏子: 但如果她们是变成魔女了…\n这样也说得通，对吧？
麻美: 嗯…嗯
麻美: 但是…\n那只是种可能性而已
麻美: 而且，丘比从来都没说过…
杏子: 嗯，虽然我能理解\n那是最快的方法
杏子: 但我被要求了\n绝对不能对丘比暴露这件事
杏子: 所以，麻美\n你去问它吧
麻美: 我…？
杏子: 各取所需
杏子: 毕竟这件事的真实与否\n也会大大改变我们的战斗方式
杏子: 拜托了，麻美
麻美: 嗯…嗯
