
---[Section 050] (Source: 906111-050.json) ---
旁白: 铛啷铛啷
沙耶香: 谢谢惠顾——！
沙耶香: 呼——！结束了结束了！
咲笑: 呵呵呵呵，谢谢你\n小沙耶香
咲笑: 像你这样活力四射的孩子\n能来帮忙真是太好了
眩: 好啦好啦，反正我就是个\n毫无干劲的阴暗角色啦
沙耶香: 眩前辈！\n请不要那么失落啦
眩: 前、前辈？
沙耶香: 难道不是吗！
沙耶香: 向我介绍这份工作的是你\n说到底，你也比我高一个年级吧
沙耶香: 就让我叫你“眩前辈”吧
眩: 不，哪有，\n前辈什么的…
沙耶香: 你在害什么羞啊前辈？\n我可是很感谢你的哦前辈？
眩: 唔哦！这、这是什么…
眩: 突然被后辈强加的\n身为前辈的全新自觉！
咲笑: 真是太好了呢，眩前辈
眩: 咲笑小姐能不能\n就别跟着起哄了？
咲笑: 哎呀哎呀，看你这么害羞\n呵呵呵呵…
沙耶香: 所以，眩前辈
眩: 啊，嗯
沙耶香: 你为什么要找我？
眩: 诶，不，\n我就是看你好像很缺钱…
眩: 咲笑小姐正好也想\n招几个新的店员…
沙耶香: 嘛，虽然能看出来\n前辈应该没几个这样的朋友…
沙耶香: 但是，找我这种几乎没有交集的\n陌生人还是很奇怪吧？
眩: 诶，不，那个…
沙耶香: 那个？
眩: 其、其实…啊
眩: 我经常去店里淘电影碟…
眩: 那时候，我在隔壁的\nCD分区看到了美树同学…
沙耶香: 啊啊，原来如此\n所以你就开始在意我？
眩: 对的对的！\n就是这样！
沙耶香: 原来如此，\n毕竟我每天都会确认流行榜
眩: 就是啊！我每次都在想\n哦，那孩子这周也来看榜单了啊
沙耶香: 是吧我完全没法拒绝重金属
眩: 啊，果然！我老是看到\n你试听的时候在自然地摆头！
沙耶香: 哈哈，你骗人！
眩: 才不是骗人呢！\n是真的！！
沙耶香: 骗人的，绝对是骗人的！
眩: 真的真的，\n真的是真的啦！
沙耶香: 所以都说了是骗人的\n我根本不听重金属
眩: 诶…？
沙耶香: 眩前辈\n你为什么要瞒着我？
眩: 呃，那、那是…
沙耶香: …哈
沙耶香: 要是你不想说就算了吧
沙耶香: 眩前辈向我介绍这份工作\n也是帮了大忙
沙耶香: 嘛，等你想好了再告诉我吧
沙耶香: 那我就走了，辛苦啦——！
眩: 辛、辛苦了——…
