
---[Section 030] (Source: 901115-030_homura.json) ---
丘比: 小心，魔女要出现了
焰: 呀啊啊啊！
旁白: 呀啊！
圆: 没事的，小焰！
麻美: 鹿目同学，\n使魔就由我来对付
圆: 是！我明白了！
圆: 呀啊！
圆: 哈啊！
圆: 这就是…最后一击！
圆: 成功了！
圆: 小焰，你看到了吗？\n我都说了没事…
焰: ！！
焰: 鹿目同学！！
圆: 诶…！？
圆: 好…好险…
圆: 麻美学姐…谢谢
麻美: 不，没问题
麻美: 毕竟我早就知道\n魔女会发生这种变化
圆: 是的，只要有麻美学姐在\n我就能放心战斗了！
焰: 我已经…没法继续下去了
圆: 诶…小焰？

---[Section 040] (Source: 901115-040_homura.json) ---
焰: …我从小时候身体就很弱\n也一直很在意这件事
焰: 听说只要成为魔法少女\n就能治好身体
焰: 所以，我是真的想过\n要和丘比签订契约
焰: 这真的不是谎言…
焰: 但是…明明如此…
圆: 难道…你是害怕了吗？
圆: 那也没办法\n毕竟正常都是会这样的…
焰: 不是那样！
焰: 不是那样，我只是…
焰: 明明鹿目同学和巴学姐\n都在赌上性命战斗…
焰: 我却一直想着就算治好病\n要是死了就没意义了…
焰: 一直只担心着自己的事…
焰: 我真的觉得很羞耻…
焰: 也没法变得像\n鹿目同学和巴学姐那么帅气…
焰: 所以…！！
圆: 小焰\n抱歉让你这么烦恼
圆: 不用再担心了
圆: 我是为了也能守护\n像小焰这样的人的幸福…
圆: 才成为魔法少女的哦？
焰: 鹿目同学…
圆: 城市的和平就交给我吧！
