
---[Section 025] (Source: 905117-025_madoka.json) ---
仁美: 那我就先告辞了
旁白: 拜拜，小仁美
圆＆沙耶香的声音: 谢谢你们来祝贺我出院
圆＆沙耶香的声音: 小圆也是\n今天真的很感谢
旁白: 没什么的，\n抱歉把祝贺拖到这么晚
圆＆沙耶香的声音: 和你一起在店里当服务员的\n是魔法少女的同伴，对吧
旁白: 啊…嗯
圆＆沙耶香的声音: 果然，小圆也…\n签订契约成为了魔法少女吗？
旁白: 虽然我没打算隐瞒\n但一直没机会跟你说…
旁白: 对不起，沙耶香\n明明你一直都很反对…
圆＆沙耶香的声音: 不，我才是\n抱歉让你这么难说出口！
圆＆沙耶香的声音: 但是，我现在\n已经一点也不反对了！
旁白: 诶…
圆＆沙耶香的声音: 其实前段时间，我在医院\n不小心闯进了魔女结界…
圆＆沙耶香的声音: 那时候，我被一个\n不认识的魔法少女救了一命
旁白: 诶，这样啊
圆＆沙耶香的声音: 不过，我连一声谢谢\n都没来得及对她说
圆＆沙耶香的声音: 虽然我完全鼓不起勇气\n也完全不想战斗…
圆＆沙耶香的声音: 但既然我自己也被救过\n当然也没办法反对了
旁白: 沙耶香…
圆＆沙耶香的声音: 而且，虽然一个人会很危险\n但你也有可靠的同伴吧？
旁白: 嗯！\n小焰和小眩都很可靠…
旁白: 所以，\n你一点也不用担心我！
圆＆沙耶香的声音: 见泷原的和平\n就交给你了哦，鹿目圆！
旁白: 啊哈哈哈哈…
圆＆沙耶香的声音: 啊，对了\n说起来…
圆＆沙耶香的声音: 既然你签订了契约\n肯定也实现了一个愿望吧？
圆＆沙耶香的声音: 小圆到底许了什么愿望？
旁白: 诶，那个…
旁白: 虽然有点不太好说明清楚…
旁白: 我想要为绝望的人们\n带去希望…
圆＆沙耶香的声音: 诶，那算什么啊！\n小圆是不是也太圣人了点？
旁白: 诶？\n会、会吗…
圆＆沙耶香的声音: 小圆大明神，保佑保佑…\n保佑保佑！
旁白: 别、别这样啦！
圆＆沙耶香的声音: 啊，多亏了小圆的保佑\n我的骨折好像也治好了！
旁白: 真是的…
