
--- [Section 1] (Source: 330062-1.json) ---
旁白: 初识之后过了几天
美凪纱纱罗: 抱歉啊，\n特地把你叫出来！
木崎衣美里: 嗯？\n啊～完全没问题！
木崎衣美里: 别看我这样……\n其实挺闲的！啊哈哈！
木崎衣美里: 不过，\n你们找我有什么事？
龙城明日香: 嗯，确实是有事找你啦，\n那什么……
美凪纱纱罗: 那个，我们想\n和衣美里多说说话。
龙城明日香: 没错！\n魔法少女之间的交流！
木崎衣美里: 交流？\n啊——就是闲聊吗？
龙城明日香: 闲、闲聊？
木崎衣美里: 闲聊\n在哪里都能聊嘛！
木崎衣美里: 为什么选这家店？\n超贵的啊？
美凪纱纱罗: 这你不用担心！\n这家店的价格很公道！
美凪纱纱罗: 而且，其实这里的厨师\n也是魔法少女。
龙城明日香: 我们以前就和她认识，\n也来过这里好多次了。
木崎衣美里: 诶～真的吗！？\n好厉害啊！
龙城明日香: 哦！\n说曹操曹操到！
胡桃爱香: 欢迎光临\n胡桃西餐厅……
美凪纱纱罗: 爱香！
胡桃爱香: 嗯？啊，是你们啊！\n纱纱罗、明日香！
龙城明日香: 你好！
美凪纱纱罗: 今天我们\n带了另一位魔法少女过来。
木崎衣美里: 我是木崎衣美里！\n哈喽！请多关照！
胡桃爱香: 诶、啊，你、你好……\n咳……
胡桃爱香: 我是胡桃西餐厅的独生女，\n名叫胡桃爱香！
胡桃爱香: 今后还请多多光临小店……
美凪纱纱罗: 那咱们先点单吧。\n我要蛋包饭！
胡桃爱香: 蛋包饭！
龙城明日香: 我也要！
木崎衣美里: 什么什么？\n蛋包饭好吃吗？
木崎衣美里: 那我也要！
胡桃爱香: 好的。\n三份蛋包饭对吧？
胡桃爱香: 请稍等……
木崎衣美里: （嗯？）
美凪纱纱罗: 蛋包饭可是\n这里的招牌菜！
龙城明日香: 味道可以说是\n无可挑剔！
木崎衣美里: 哎～这样啊！
木崎衣美里: （…………）

--- [Section 2] (Source: 330062-2.json) ---
木崎衣美里: 然后呢？\n要聊什么？说吧说吧！
美凪纱纱罗: 呃，那个……\n怎么说呢……
美凪纱纱罗: 总觉得和衣美里聊一聊，\n就能有所收获。
木崎衣美里: 嗯？
龙城明日香: 类似于新发现，\n或者说新体悟！
木崎衣美里: 发现？
木崎衣美里: 太难了～\n你说这些我也不懂啊～
美凪纱纱罗: 啊，没事没事！\n咱们正常聊天就行了！
龙城明日香: 没错！\n放轻松！
木崎衣美里: 正常聊天就行了吗？
木崎衣美里: 那完全么得问题！
美凪纱纱罗: 对对！么得问题！
胡桃爱香: 让你们久等啦～
美凪纱纱罗: 哎呀，蛋包饭来了！\n那就边吃边聊吧。
龙城明日香: 我同意！
木崎衣美里: 好！\n那我开动了！
美凪纱纱罗: 吧唧……
龙城明日香: 吧唧吧唧……
木崎衣美里: 吧唧吧唧吧唧……
木崎衣美里: ……！
美凪纱纱罗: 好咸！
龙城明日香: 我、我的这份好辣！
木崎衣美里: 我的很甜！\n超级甜！
胡桃爱香: 嗯？
美凪纱纱罗: 好咸！
龙城明日香: 好辣！
木崎衣美里: 好甜啊！
胡桃爱香: 诶……诶！
胡桃爱香: 不好意思，让我尝一下！\n吧唧！
胡桃爱香: 好咸！
美凪纱纱罗: 我说的没错吧！
