
--- [Section 1] (Source: 710061-1.json) ---
旁白: 咯吱咯吱……
阿莉娜: …………
美冬: …………
美冬: 那个……阿莉娜……
美冬: 我是有说我可以当模特……
美冬: 但……为什么是校服啊？
阿莉娜: …………
美冬: 那个……你在听吗？
阿莉娜: …………
美冬: 没在听啊。
美冬: 唉……
美冬: （现在还穿校服……）
美冬: （校服吗……）
美冬: 当初还穿校服的时候……
美冬: …………
八千代的声音: 美冬！
美冬: 啊，小八！\n太好了！是这边哦。
八千代: 对不起！\n拍摄时间拖长了一些……
美冬: 没事的。
美冬: 不说这个了，你看！\n夕阳很美吧？
八千代: 是啊，\n非常美……
美冬: 嗯！
美冬: 能和小八一起看真是太好了。
八千代: 美冬……
美冬: 身边有小八在
美冬: 加～奈～惠——！
加奈惠: ！？
加奈惠: 美、美冬啊……\n吓我一跳……
美冬: 嘿嘿，不好意思。
美冬: 你在练习吉他吗？
加奈惠: 嗯……\n我想快点弹好它。
美冬: 加奈惠也在
桃子: …………
桃子: 啊——没中……
美冬: 还有……\n桃子
梅露: 所以说，我都说了\n让我的占卜来解决嘛……
桃子: 占卜是禁止的吧。\n然后梅露怎么样了？
梅露: 我也没中。
美冬: 梅露也在
鹤乃: 吃完了！\n怎么样！！
鹤乃: 中了！
鹤乃: 幸运之力可不是说说而已！\n哼哼！
美冬: 鹤乃
美冬: 在干什么啊？
八千代: 这是……\n棒冰的那根棍子？
鹤乃: 啊！\n是八千代和美冬！
梅露: 我们一起买了抽奖棒冰，\n看谁能中奖。
桃子: 除了鹤乃其他人都没中……
鹤乃: 你们两个也买买看吧！
梅露: 实在不行我来帮你们占卜\n看看到底能不能中！
美冬: 大家都在
阿莉娜: 啊哈。
美冬: （仔细想想……\n那时候是最幸福的……）
阿莉娜: ～～～～～！！
美冬: （或许也是最自由的。）
阿莉娜: 超棒啊——！！
美冬: ――！？\n怎、怎么了！？
阿莉娜: 啊！等一下！\nFreeze！
美冬: 咦……咦？
阿莉娜: 啊啊啊啊啊——！\nExcelent。
阿莉娜: 虽然只穿着校服稍显不足，\n但刚刚的表情相当不错。
美冬: 抱歉，\n我不太懂你的意思……
阿莉娜: 在成人和孩童间摇摆不定……
阿莉娜: 和在生死间隙挣扎\n有异曲同工之妙啊！
美冬: …………
美冬: （在成人和孩童间摇摆不定吗……）
美冬: （和重要的人分开。）
美冬: （越像个成人……\n就越不自由。）
美冬: 真是天不遂人愿啊。
阿莉娜: 对！就是这种ennui的表情！\n就这样别动。
美冬: 呃……没、没办法不动啊……
