
---[Section 1] (Source: 710093-1.json) ---
旁白: ＜秋野家＞
电视的声音: 真是够了！
电视的声音: 我们的表演到此结束，\n谢谢各位！
玲奈: 哈哈哈哈！
玲奈: 啊！
玲奈: 我只是闲得无聊才看的，\n果然没什么了不起。
玲奈: 要是有唱歌节目就好了。
枫: 可你明明笑了？\n我看你笑得很开心。
玲奈: 烦、烦死啦！
枫: 总之我先去冲杯热可可。
玲奈: 热可可！\n真不错呢！
枫: 今天好冷啊，\n玲奈你也这么觉得吧？
玲奈: 外面确实挺冷的。
玲奈: 啊，不过我外套\n内衬的面料也很厚实。
玲奈: 所以我一点都不觉得冷。
枫: 啊，那个新外套……\n真可爱呢。
玲奈: 唔！
玲奈: 你、你观察得还挺仔细……
玲奈: 居然注意到了这是件新外套！
枫: 咦？这点我还是能注意到的，\n因为真的很可爱啊。
玲奈: ……
玲奈: 快、快点去泡你的热可可啦！
玲奈: 咦？\n聊着聊着就已经傍晚了……
枫: 时间过得真快呢。
玲奈: 花季少女怎么能一整个周六\n都在家中荒废……
玲奈: 好！\n枫，我们出门购物吧！
枫: 哇，购物！\n好啊好啊！
枫: 而且也开始下雪了！
玲奈: 果然还是不去了。
枫: 为什么？！
枫: 这是你11秒前刚刚提议的啊？！
玲奈: 什么为什么，\n当然是因为下雪了啊！
玲奈: 我可不是那种看到下雪\n就兴高采烈的小孩子！
玲奈: 决定了，\n今天就在家里悠闲度过！
枫: 怎么这样……
玲奈: 干嘛？
玲奈: 你就那么想去购物吗？
玲奈: 还是说看到下雪就兴奋了？
枫: 因为买了新的衣服啊，\n难道不会想出去逛逛吗？
枫: 我看到你的外套后……
枫: 就想跟你一起出去逛逛的……
玲奈: 所以刚才……
玲奈: 我、我也是这么想的……
玲奈: 但是今天没戴手套过来……\n下雪天出门果然有些……
枫: 这样啊……手套……
玲奈: ……
玲奈: 算、算了，你要是能借我手套……
玲奈: 我也不是不能和你一起去。
枫: 呼呜……可我只有一双手套……
玲奈: 这样啊，真可惜……
枫: ……对了！
枫: 我想到一个好主意！
枫: 我把右手的手套借你用。
玲奈: 左手呢？
枫: 我戴着。
玲奈: 那我们不都有一只手会冻到！
枫: 所以啊，\n没戴手套的那只手……
枫: 我们牵在一起就好啦！
枫: 你的左手牵我的右手！
玲奈: 唔！
玲奈: 等买到手套就不牵了哦！！
かえで: 嗯嗯！
