
---[Section 1] (Source: 730251-1.json) ---
怜的日记: ○月×日\n今天不上课\n我在路上偶遇了梨花
五十铃怜: 啊……
绫野梨花: 咦？\n怜！？
绫野梨花: 我们居然能在这种地方碰面，\n好巧啊！
绫野梨花: 这就是命运吧！！
五十铃怜: 唔……那个……
绫野梨花: 哈哈，跟你开玩笑的！
绫野梨花: 你今天没穿校服啊，\n是在家里换好衣服出门的吗？
五十铃怜: 啊……这是……
绫野梨花: 嗯，什么？
绫野梨花: 你这身打扮有什么特殊理由吗？
绫野梨花: 紧张
绫野梨花: ！？
五十铃怜: 咦？
绫野梨花: …………\n…………
五十铃怜: （她怎么突然不说话了……）
五十铃怜: 啊……那个，这身打扮……\n是因为今天学校休息。
五十铃怜: 大学的推荐入学考试要用校舍……
绫野梨花: 这、这样啊……
绫野梨花: 啊……说起来，\n怜是市立大附属中学的学生啊。
五十铃怜: 是……是的……
绫野梨花: 像我只是普通地下课放学，\n真羡慕你啊。
绫野梨花: …………
五十铃怜: （梨花……和平时不一样？）
五十铃怜: 那、那个，梨花是来买东西吗？
绫野梨花: 嗯，我来买一直在用的便宜化妆品……\n怜呢？
五十铃怜: 啊……我是要去书店……
五十铃怜: 买喜欢的随笔作家的……\n新刊……
绫野梨花: 这样啊……
绫野梨花: …………
绫野梨花: 我说啊……怜。
五十铃怜: 咦……怎么了？
绫野梨花: 你这衣服……
五十铃怜: 我这件……衣服？
绫野梨花: 怎、怎么说呢……\n很可爱哦！
五十铃怜: 这、这样啊……\n谢、谢谢。
五十铃怜: （果然……有点怪？）
五十铃怜: （不过我应该不是第一次\n穿这件衣服见她啊……）
五十铃怜: 梨花……
绫野梨花: 咦……\n啊……你怎么了！？
五十铃怜: 难道……我说错了什么吗？
绫野梨花: 不、不是这样的！\n怜什么也没有错！
绫野梨花: 可一到关键时刻\n果然还是说不出口……
绫野梨花: …………
绫野梨花: 怜……
五十铃怜: 我……我在！
绫野梨花: 盯——
五十铃怜: （好、好认真的目光！）
绫野梨花: 嗯……没错，\n我肯定没看错。
绫野梨花: 对不起，之前我都说不出口。
绫野梨花: 怜，我觉得
五十铃怜: 请……请说？
绫野梨花: 你的衣领穿反了。
五十铃怜: 嗯？
五十铃怜: 啊……
五十铃怜: 啊啊啊啊——
绫野梨花: 那个大概……\n是可以取下来的吧？
五十铃怜: 嗯……最近拿去洗了，
五十铃怜: 应该是……\n今天出门时弄反的。
五十铃怜: 真难为情……
绫野梨花: 去洗手间弄好就行了，\n那里还有1090百货！
五十铃怜: 谢谢你，梨花……\n你果然很温柔。
绫野梨花: 我、我有吗？
五十铃怜: 你是不想伤害我……\n所以才没说出口的吧？
绫野梨花: 的确是这样。
绫野梨花: 嗯，梨花没立即指出来，\n这样很温柔！
五十铃怜: 呵……呵呵……
五十铃怜: 没错，梨花是个特别温柔的人
木崎衣美里: 啊！好巧！\n梨花花、怜帕斯！！！
绫野梨花: 啊，是衣美里！
绫野梨花: 嗯……嗯？
木崎衣美里: 怎么了？
绫野梨花: 衣美里，看你这袖子……\n你衬衫穿反了吧？
五十铃怜: 梨花好温柔……（？）
