
---[Section 1] (Source: 506110-1.json) ---
旁白: 第10章「解决的线索」
丘卜: 要让塔鲁特醒过来……
丘卜: 好像只要敲响\n“献祭之钟”就可以了。
八千代: 献祭……之钟？
彩羽: 那是……什么？
丘卜: 很遗憾，\n这本书太残破了。
丘卜: 记录这一部分的内容\n基本上都看不清。
彩羽: 不会吧……\n这可是最重要的部分！
八千代: 真头疼啊……
梅丽莎·德·维尼奥勒: 那个……
梅丽莎·德·维尼奥勒: 献祭之钟……
梅丽莎·德·维尼奥勒: 有没有可能……\n指的是教会的钟呢？
彩羽: 诶……教会？
莉兹·霍克伍德: 如果我发生了什么不测，\n需要他人的帮助的话……
莉兹·霍克伍德: 就去一家教会献上祈祷吧……
莉兹·霍克伍德: 那家教会的名字与塔鲁特的妹妹\n“凯瑟琳”有关。
莉兹·霍克伍德: 你们或许\n能够遇到帮助你们的人。
彩羽: 梅丽莎！
梅丽莎·德·维尼奥勒: 嗯，怎么了？
彩羽: 这附近有没有……
彩羽: 名称和凯瑟琳\n有关的教会？
梅丽莎·德·维尼奥勒: 凯瑟琳……这是塔鲁特过世的\n妹妹的名字吧。
梅丽莎·德·维尼奥勒: 这么说起来……
梅丽莎·德·维尼奥勒: 之前在天使大人的指引下……
梅丽莎·德·维尼奥勒: 好像去过\n“圣凯瑟琳教会”。
彩羽: 八千代！
八千代: 嗯，\n那大概就是莉兹所说的教会了。
彩羽: 梅丽莎！\n那是个怎样的教会？
梅丽莎·德·维尼奥勒: 呃……\n它位于菲耶尔布瓦城里。
梅丽莎·德·维尼奥勒: 塔鲁特、莉兹和我在那里\n遇到了一位很神奇的女性。
丘卜: 是佩蕾奈尔吧。
八千代: 丘卜认识她吗？
丘卜: 没错，她是位精通炼金术\n和魔法知识的魔法少女。
丘卜: 她会关注着其他魔法少女，\n给她们提供建议。
八千代: 这样事情就连起来了。
丘卜: 怎么回事？
彩羽: 那个，莉兹之前说过。
彩羽: 如果需要帮助，\n就去那个教会献上祈祷。
八千代: 说是有可能在那里\n遇到能提供帮助的人。
丘卜: 确实，如果能和\n佩蕾奈尔取得联系……
丘卜: 说不定就能得到\n有用的情报！
彩羽: 让塔鲁特醒来的\n“献祭之钟”……
彩羽: 说不定也能在那里问到。
八千代: 没准那个关键的钟\n就在那家教会。
彩羽: 梅丽莎、丘卜，\n拜托你们带路！
梅丽莎·德·维尼奥勒: 好的！

---[Section 2] (Source: 506110-2.json) ---
八千代: 就是这里吧。
八千代: 圣凯瑟琳教会\n所在的菲耶尔布瓦城……
梅丽莎·德·维尼奥勒: 是的！\n我来带路。
梅丽莎·德·维尼奥勒: 我问了一下附近的人……
梅丽莎·德·维尼奥勒: 很遗憾，教会的钟\n在战斗中被毁掉了。
八千代: 这样啊……\n看来这里没有我们要敲响的钟。
八千代: 我们就听莉兹的，\n去教会吧。
彩羽: 这里就是圣凯瑟琳教会……
八千代: 彩羽，我们开始祈祷吧！
彩羽: 好的，八千代！
彩羽: …………
彩羽: 如果有人在……\n请回答我！
佩蕾奈尔·弗拉梅尔: 「你们是莉兹提到的那些人吧……」
佩蕾奈尔·弗拉梅尔: 「欢迎你们，\n异邦的魔法少女们」
八千代: 啊……
彩羽: 这个声音……
丘卜: 你好啊，佩蕾奈尔。\n好久不见！
丘卜: 不过，\n你为什么不现身？
佩蕾奈尔·弗拉梅尔: 「因为我在“圣女”的梦境之外\n无法进入里面……」
彩羽: 梦境……之外？
丘卜: 原来如此。
丘卜: 看来她现在\n是在现实世界。
丘卜: 打算从那里\n帮助我们！
八千代: 莉兹所说的\n果然是她啊。
佩蕾奈尔·弗拉梅尔: 「没错\n总算能将声音传给你们了」
佩蕾奈尔·弗拉梅尔: 「要打开梦之结界的缝隙\n是非常困难的……」
彩羽: 佩蕾奈尔！
彩羽: 我们想知道……
彩羽: 能让塔鲁特醒来的\n“献祭之钟”！
佩蕾奈尔·弗拉梅尔: 「根据那本魔导书所写的步骤……」
佩蕾奈尔·弗拉梅尔: 「塔鲁特在因魔法陷入沉睡之前\n应该听到了某个教会的钟声」
佩蕾奈尔·弗拉梅尔: 「想让她苏醒过来，只要在梦中\n让她自己敲响相同教会的钟就可以了」
彩羽: 相同教会……指的是哪里？
佩蕾奈尔·弗拉梅尔: 「现实中的塔鲁特在进入奥尔良大街\n推进解放战争的途中\n中了这个魔法，陷入了沉睡」
佩蕾奈尔·弗拉梅尔: 「所以需要的应该是\n奥尔良的“圣十字大教会”的\n钟声……」
梅丽莎·德·维尼奥勒: 彩羽、八千代！
八千代: 嗯，这样一来就清楚了。
八千代: 只要救出塔鲁特，\n敲响奥尔良教会的钟……
八千代: 塔鲁特的噩梦\n就能结束了！
丘卜: 没错！
彩羽: 不。
彩羽: 仅仅这样还不够！
彩羽: 天不会亮是因为\n塔鲁特已经在绝望的边缘了。
彩羽: 现在莉兹不在，\n就算她从梦中醒来……
佩蕾奈尔·弗拉梅尔: 「莉兹还活着」
彩羽: 诶？
佩蕾奈尔·弗拉梅尔: 「她只是失去了光明\n无法从黑暗的世界中脱身而已」
佩蕾奈尔·弗拉梅尔: 「这件事情\n我现在就跟你们解释……」

---[Section 3] (Source: 506110-3.json) ---
佩蕾奈尔·弗拉梅尔: 「莉兹还活着」
佩蕾奈尔·弗拉梅尔: 「她只是失去了光明\n无法从黑暗的世界中脱身而已」
佩蕾奈尔·弗拉梅尔: 「这件事情\n我现在就跟你们解释……」
佩蕾奈尔·弗拉梅尔: 「可鲁波让“圣女”陷入沉睡时\n莉兹不在现场\n所以并未被卷入“梦中”」
佩蕾奈尔·弗拉梅尔: 「莉兹为了拯救“圣女”\n从可鲁波手中夺走了一组蜡烛」
佩蕾奈尔·弗拉梅尔: 「因此才成功进入了“圣女”的梦中」
彩羽: 诶？
彩羽: 莉兹也和我们一样，\n一直在进出这个梦境！？
八千代: 这样一来就清楚了。
八千代: 她为什么和我们一样，\n偶尔会消失不见。
八千代: 原来是回到了现实……
彩羽: 莉兹为什么\n要隐瞒这件事呢？
佩蕾奈尔·弗拉梅尔: 「使用蜡烛的人有一个条件」
佩蕾奈尔·弗拉梅尔: 「就是不能在梦中提及魔导书的秘密」
佩蕾奈尔·弗拉梅尔: 「要是违背这个条件\n形成梦境的结界就会吞噬肉身」
彩羽: 啊……
彩羽: 所以莉兹才\n说不出口啊！
莉兹·霍克伍德: 对不起，\n我现在什么都不能说。
莉兹·霍克伍德: 要是说了，\n一切就都结束了……
丘卜: 蜡烛的条件吗？\n我也是第一次听说。
