
---[Section 1] (Source: 512212-1_5MqTz.json) ---
旁白: 倒地……
丘比: 啊……\n你会来干涉还真是稀奇啊。
？？？: 「还不是因为\n你会去教唆铃音」
？？？: 「计划可是\n差一点就失败了哦？」
？？？: 「……我们约好了吧？」
丘比: 『只要能够\n保密就行。』
丘比: 你是这么说的。
丘比: 我违背约定了吗？
？？？: 「……这就是你的脾气啊。」
？？？: 「唉——\n茉莉也回想起了多余的事情」
？？？: 「真是太碍事了……」
？？？: 「……不过，\n她已经全都忘记了」
丘比: 正确来说……
丘比: 是你用能力\n“改写了茉莉她们的记忆”吧？
？？？: 「那么多人可费了我不少时间呢……」
？？？: 「但是……\n总比茉莉回忆起\n和铃音相遇的过往\n而受她阻挠要好」
？？？: 「茉莉只\n要忘记那些多余的\n事开心地游览神滨就好」
？？？: 「毕竟也只能趁现在做这些了」
丘比: 你打算怎么对铃音？
？？？: 「会让她回到鬼灯市哦」
？？？: 「我消除掉了她多余的记忆\n她已经回到原来的状态了」
丘比: …………
？？？: 「我要走了\n你不要忘记我们的约定哦」
丘比: 当然会遵守决定。\n我是不会说谎的。
