
---[Section 1] (Source: 512308-1_oSzyU.json) ---
旁白: <30分钟前…>
常盘七香: 让你久等了
空穗夏希: 七香同学…！
常盘七香: 美雨同学和佳子同学之后也会来
志伸晶: 这么突然真是抱歉\n但是事态紧急…
常盘七香: …的确，看起来不是什么小事
常盘七香: 能告诉我你们知道的情况吗？
空穗夏希: 好、好的…！
空穗夏希: 呃…
志伸晶: 冷静一点…\n从最开始慢慢说就好了
空穗夏希: …………
空穗夏希: …放学之后
空穗夏希: 我和爱实约好了要一起玩\n但她没有来…
空穗夏希: 也没有联系我\n所以我很担心，就去找她了…
空穗夏希: …诶，明明放学了\n却没有一个人出来…？
空穗夏希: …而且，怎么回事…\n这是、魔力…？
空穗夏希: …………
空穗夏希: 「虽然和魔女不同，但我感受到了魔力\n于是开始了调查」
空穗夏希: 「然后…」
空穗夏希: …这、这是怎么回事…
江利爱实: …………
空穗夏希: 爱实！？
空穗夏希: 怎么了…！？\n到底发生什么了…
空穗夏希: ――！？
空穗夏希: 重、重得像石头一样…！\n这莫非是某种魔法…？
空穗夏希: 怎么办…
空穗夏希: 爱实！\n振作一点！
江利爱实: …………
江利爱实: 啊…夏希…
空穗夏希: ――！？
空穗夏希: 刚才…！
空穗夏希: 听得见我的声音吗？\n呐，回答我…！爱实！
空穗夏希: 「那之后她就没有反应了…\n我一个人实在不知道该怎么办…\n就联系了晶…」
志伸晶: 夏希…！\n你说有紧急事态！？
空穗夏希: 是的！\n爱实她们变得很奇怪…！
空穗夏希: 虽然叫她的名字之后\n稍微有一点反应
空穗夏希: 但马上就又没有反应了…
志伸晶: 没事的，冷静下来…
志伸晶: 我也联系了七香她们\n应该很快就会来
志伸晶: 她们很可靠的，所以肯定没问题\n好吗？
常盘七香: …事情经过我明白了
常盘七香: 夏希同学，请你继续呼唤吧
空穗夏希: 呼唤爱实吗…？
常盘七香: 是的
常盘七香: 她有反应，\n就说明多少有一点效果
空穗夏希: 啊，这样吗…
空穗夏希: 我明白了…！\n我再呼唤一下看看！
志伸晶: …这不是魔女干的好事吧？
常盘七香: …虽然现状下还断定不了
常盘七香: 但最近，我听说\n有不同于魔女的存在
常盘七香: 在神滨危害人们的安全
常盘七香: 也应该考虑与不是魔女的\n某种存在有关的可能性吧
志伸晶: 而且…
天乃铃音: …………
常盘七香: …………
天乃铃音: 果然…
天乃铃音: 让我猜对了呢…
常盘七香: 嗯，我也是…
常盘七香: 这是什么情况？
粟根心: …我被那个人袭击了
常盘七香: 狩猎魔法少女的魔法少女…\n天乃铃音小姐，吗…
常盘七香: …………不
常盘七香: 普通人也被卷进来了\n现在先致力于解决事件吧
志伸晶: …是啊

---[Section 2] (Source: 512308-2_oSzyU.json) ---
江利爱实: 等等…！\n不要消失…！
江利爱实: 椿小姐！\n大家…！！
江利爱实: …………
空穗夏希: 爱实…？
江利爱实: …诶…？
江利爱实: …唔…\n这里是，学校…？为什么…？
空穗夏希: 爱实…
江利爱实: 夏希…？奇怪？\n看得特别清楚…
空穗夏希: 太好了…！\n你终于醒了…！
常盘七香: 或者应该说\n终于“回来了”…吧？
志伸晶: 回来了？
常盘七香: 比起说她是睡着了
常盘七香: 更像是意识去了并非这里的某处…
常盘七香: 虽然这不过是我的推测…\n不，直觉…
江利爱实: 那个…你们是和夏希\n同一所学校的…小七香和小晶？
志伸晶: “小”太羞耻了，\n可以的话希望你直接叫名字…
江利爱实: 啊，嗯…
江利爱实: 你们俩为什么在这里…？
江利爱实: 话说，我应该在椿小姐家里才对…
江利爱实: 大家去哪了…？
常盘七香: …在那里
江利爱实: ――！？
江利爱实: 那是啥啊！？
空穗夏希: 直到刚才，爱实也是那个样子…
江利爱实: 真的吗…？
志伸晶: 就算叫名字\n你也只是偶尔有反应…
常盘七香: 能告诉我们发生什么了吗？
江利爱实: …………
江利爱实: 直到刚才…\n我们都普通地过着平稳的日常生活
江利爱实: 我本以为是这样
空穗夏希: …本以为？\n什么意思…？
江利爱实: 这个…
志伸晶: 和本不应该在神滨的魔法少女们\n度过的日常吗…
空穗夏希: 但是，我的声音\n让你感受到了违和…
空穗夏希: 你循着花香
空穗夏希: 找到像铃兰一样的“花”\n并触摸之后…
空穗夏希: 我们的声音和模样\n就渐渐看得清楚了吗
常盘七香: …能正确地“认知”到
常盘七香: 在视觉和听觉上被歪曲的东西了
常盘七香: …是这么一回事吗？
江利爱实: 嗯嗯，就是那种感觉！
