
--- [Section 1] (Source: 512440-1.json) ---
绘本的一页: <black>附录</black>\n<black>「渚的巧克力派对」</black>
麻美: …好了，请用吧
杏子: 噢，这杯红茶\n闻上去有苹果的香气哦？
渚: 是苹果茶的说！
麻美: 回答正确
麻美: 在大家到齐之前\n好好享用苹果茶的香味吧
杏子: 啊，沙耶香她们…好慢啊\n去干什么了啊？
旁白: 叮咚
麻美: 啊，来了来了！
圆: 对不起！
圆: 我们三个人去买东西了
圆: 结果所花的时间…\n比想象中的多…
渚: 都买了些什么呢？
圆: 巧克力冰淇淋\n巧克力糖浆…
圆: 香蕉和鲜奶油\n还有麦片！
焰: …还有\n这些小块的巧克力与可可粉
麻美: 这是打算做什么？
渚: 这一定是…
渚: 用来做巧克力芭菲的材料的说！
沙耶香: 现在知道了吧？
麻美: 小渚啊\n真不愧是小小的巧克力匠人呢
渚: 是的说！
圆: 其实原本是想\n带点什么自己做好的东西过来的
圆: 但是一想到现在做巧克力蛋糕\n也来不及…就这样在苦恼的时候
圆: 想到是芭菲的话，只要装进盘子\n很快就能做好
圆: 爸爸他在菜谱上这么给我写过
沙耶香: 小圆的爸爸可是很擅长做菜的呢！
焰: 所以…
焰: 巴学姐，能借用一下厨房吗？\n就一小会
麻美: 当然可以！\n一起来准备吧？
圆: …这样就，完成了！
焰: 做的很好呢
渚: 这个芭菲看起来很好吃的说
杏子: 那个是什么？
麻美: 是巧克力锅哦
麻美: 用水果\n蘸着巧克力吃
杏子: 哦，不错啊！
杏子: 我拿来的
杏子: “糖之屋”的巧克力蛋糕\n也是一绝哦？
渚: 渚也买了！\n还有这些巧克力奖牌的说！
沙耶香: 看起来都很诱人啊…
圆: 嘿嘿嘿\n好期待啊！
杏子: …啊呀，吃好了吃好了！
圆: 吃了这么多巧克力\n大概是出生以来第一次吧…
麻美: 稍微休息一下吧？我去泡茶
圆: 啊！\n我来帮忙！
焰: 我也来…！
圆: …这个红茶\n有玫瑰的香味呢
焰: 嗯，但是\n也有很清爽的感觉呢
焰: 很适合配巧克力…
麻美: 太好了
麻美: 配巧克力的话
麻美: 香味浓一点才刚刚好呢

--- [Section 2] (Source: 512440-2.json) ---
圆: 哈啊…\n茶真好喝啊！
沙耶香: 总觉得过的有些悠哉呢
渚: …不过，巧克力派对的重头戏\n现在才要开始的说
焰: 宇宙第一的巧克力蛋糕…\n没错吧？
圆: 已经作为礼物\n送给麻美学姐了吗？
渚: 是的说!
杏子: 那个魔法巧克力蛋糕啊…\n是什么味道呢？
沙耶香: 喂，你啊！
沙耶香: 那是麻美学姐的蛋糕啊
沙耶香: 你这家伙\n不会想把它抢过来吧？
杏子: 倒也不是那个意思\n你看，这蛋糕很大吧？
杏子: 麻美一个人，能吃得完？
麻美: 本来让我也不打算一个人吃的
沙耶香: 不行不行！
沙耶香: 因为这是渚送给麻美学姐的礼物啊…
沙耶香: 所以必须由麻美学姐来吃！\n小圆也是这么想的吧？
圆: …诶，我？
圆: 我…那个…
圆: 毕竟是麻美学姐和小渚\n一起做的蛋糕…
圆: 我在想，麻美学姐是不是\n想要分一半给小渚的呢
圆: 不知怎么就这样想了…
焰: 我也是这个想法…
杏子: 问题是，这蛋糕也不是渚做给自己吃的吧？
渚: 确实是这样的说，但是…
渚: 不是作为巧克力匠人\n而是作为巧克力爱好者来讲
渚: 宇宙第一的巧克力蛋糕\n怎么也想品尝一下…
杏子: …对自己的欲望倒是很诚实啊
沙耶香: …给人感觉，意见不太统一啊
麻美: 那，要不要这样？
麻美: 不管怎么说，这是小渚好不容易送给我的礼物
麻美: 所以蛋糕的一半归我
麻美: 剩下的一半，现在开始作为游戏的奖品！
焰: 奖品…？
麻美: 是的，在游戏中获胜的人
麻美: 有资格决定剩下这一半蛋糕的去向
圆: 游戏…是怎样的游戏？
麻美: 嗯…\n打扑克牌怎么样？
圆: 啊…也许不错！
沙耶香: 要说扑克牌的游戏的话\n那就憋七或者神经衰弱之类的？
杏子: …那样就是，\n第一个出完的是赢家吧？
焰: 有点无趣吧…
麻美: 难得有这种机会，\n我想让气氛更活跃点
杏子: …那，把渚带来的巧克力奖牌
杏子: 当作筹码打梭哈怎么样？
杏子: 收集到最多奖牌的人就是冠军！
焰: 用巧克力奖牌来代替筹码…
焰: 冠军的奖品\n就是巴学姐的另一半蛋糕吗？
杏子: 对的对的！
沙耶香: 原来如此…
渚: 渚对这个游戏的规则\n不太清楚的说…
麻美: 毕竟是派对的余兴嘛
麻美: 一起来弄懂规则\n然后开心地玩吧？
渚: 明白了的说！
渚: 所以…
渚: 围绕着宇宙第一的巧克力蛋糕\n派对游戏开始了

--- [Section 3] (Source: 512440-3.json) ---
麻美: …都确认好手牌了吗？\n来，赌上筹码吧
圆: 我的牌…\n不太好呢…
焰: 我也…
麻美: 哎呀，两个人都\n弃权了呢
麻美: …我的手牌也不太好啊\n就不硬上了
麻美: 下一个轮到小渚
渚: （这、这是…）
渚: （拿到了非常强的\n手牌了的说！）
渚: 嘿嘿嘿嘿…
渚: 将手中所有筹码\n全部移至场上的说！
沙耶香: 那我还是弃权好了
杏子: …我也一样\n这把是渚赢了！
渚: ——诶!?
渚: 为什么大家都\n这么爽快地就跳车了呢——！
渚: 明明要是你们进来拼胜负的话\n渚就可以得到更多的巧克力的！
杏子: 不是…因为呢\n你一脸自信满满的表情啊
渚: 正是这样的说！\n三个9两个7的说
沙耶香: 这不是满堂红吗！
杏子: 看起来跳车跳的很正确啊
渚: 呜呜…\n不甘心的说
麻美: 人们都说，下注的时候\n要保持扑克脸呢
麻美: 不要让你的心思\n全部表现在脸上
麻美: 早知道就该为小渚
麻美: 准备更简单一些的游戏的…
渚: 没问题的说！\n渚乐在其中的说！
渚: 下次会努力不暴露\n狡猾地玩的说！
沙耶香: 总觉得…\n好像产生了些奇怪的兴致…？

--- [Section 4] (Source: 512440-4.json) ---
沙耶香: …这里我就果断地赌一把！
杏子: 哦？
杏子: 那我就…\n把筹码数抬高好了！
沙耶香: 啊…？
麻美: 佐仓同学也不输于人啊
圆: 是凑到好牌了吗？
渚: 我觉得是虚张声势的说！
杏子: 呵呵呵\n沙耶香，你要怎么办？
沙耶香: 我…还是跳车吧
杏子: 什么鬼啊，这种车都不上的吗
沙耶香: 如果赌下去的话\n可能会输的啥都不剩
麻美: 好的，那么\n这是该归佐仓同学的筹码
杏子: 可恶啊，我的手牌\n本来准备好烟雾弹了！
杏子: 只要对沙耶香挑衅成功\n就能搞到她的筹码啊！
沙耶香: …非常可怕…\n果然跳车是很明智的选择
渚: 渚还以为杏子在虚张声势的说
焰: 美树同学\n你是怎么看出来的…？
沙耶香: …因为总觉得杏子的嘴角\n刚才笑了一下
杏子: 哈…？
圆: 好厉害，真是敏锐呢！
麻美: 变的有趣起来了啊
圆: …这次不跳车了，一决胜负！
沙耶香: 诶…小圆突然强势？
焰: 我也…增加筹码！
麻美: 晓美同学也…？
圆: 我也，不会输的！
沙耶香: 诶？还要增加筹码吗？
杏子: 这样的话，失败的一方就要破产了啊！
焰: …啊…
沙耶香: 那么\n焰你要怎么办？
焰: …………
焰: 怎么办呢…果然还是…\n弃权…吧…
沙耶香: …都到这一步了？
杏子: 搞啥啊\n刚才还是非常自信的样子
焰: 那…那是…
旁白: 偷偷看去…
圆: …………？
渚: …嗯？\n难道说
渚: 为了让小圆获胜\n故意这么做？
沙耶香: 啊，因为杏子说\n输了的话就会破产
沙耶香: 担心自己赢了会让小圆伤心\n是这样吗？
渚: 这是很严肃的比赛的说！\n不能手下留情的说！
焰: 但…但是…
沙耶香: 不…这只是余兴下的娱乐而已…\n输了也没啥大不了的
杏子: 是啊是啊\n输了也不会恨你的！
焰: 那…那好吧…
焰: 既然这样，增加我的赌注…
杏子: 还要增加!?
渚: 焰是认真的说！
圆: 好啊，就这个赌注！
沙耶香: 突然就站起来了！
麻美: 那么，下注结束\n晓美同学，亮牌吧
焰: 嗯
旁白: 刷…
沙耶香: 四张Queen！
杏子: 强啊，这是四条啊！\n也难怪会这么强势啊
渚: 小圆的牌是什么样呢…？
圆: 我的话…
旁白: 啪…
沙耶香: 嗯…？
杏子: 四张Ace！
沙耶香: 小圆也是四条!?
杏子: 真是强强对决啊
渚: …这个结果怎么算呢？
麻美: 因为Ace是更强的卡…\n是鹿目同学赢了！
麻美: 晓美同学可惜了\n实在是对手太强了
圆: 对、对不起啊…\n小焰
杏子: 道什么歉啊？
沙耶香: 嗯
沙耶香: 必须给焰道歉的\n是在一边煽风点火的我们吧
沙耶香: …总觉得是在教唆别人呢\n对不起了
焰: 没事的…毕竟决定要一决胜负的\n是我自己啊…

--- [Section 5] (Source: 512440-5.json) ---
渚: 就像这样\n晚会的余兴持续高涨着
渚: 最后，获得最终胜利的是…
麻美: …对不起啊\n我没想到到最后还是自己赢了
沙耶香: 在我们的注意力全放在\n夸张的大筹码局的期间…
沙耶香: 一回神\n麻美学姐已经是第一了
杏子: 或许赌输赢就是这么回事吧…
圆: 到头来，这块巧克力蛋糕\n还是全归麻美学姐了吗？
沙耶香: 肯定的吧？
沙耶香: 我们说好的\n会遵从胜者的安排！
焰: 巴学姐…这块蛋糕\n你打算怎么办呢？
麻美: 嗯…毕竟是再也没法吃到的\n魔法的蛋糕…
麻美: 分成六块\n大家一起吃吧？
麻美: 那，我开切了哦…
所有人: …………
所有人: …………
渚: 终于到了品尝宇宙第一的\n巧克力蛋糕的时候的说…
圆: 第一口的话\n还是麻美学姐来尝比较好吧？
麻美: 一起来就好了\n一块放到嘴里吧？
圆: …这样好吗？
杏子: 作为胜者的麻美都这么说了\n也只有这样了吧？
沙耶香: 那就，大家一起…
所有人: 啊——！
旁白: 吧唧
所有人: ――诶!?
所有人: …………
所有人: …………\n…………
焰＆沙耶香: 好…好吃…！
圆: …怎么办\n感动得都快哭出来了！
渚: 那一瞬间\n仿佛见到了宇宙的说…
杏子: 这种时候就会想\n活着真好啊…
麻美: …果然是\n宇宙第一的巧克力蛋糕呢
渚: 这都是…
渚: 和我一起做出蛋糕的\n麻美的功劳的说！
所有人: 哈哈哈
麻美: …小渚
渚: 是、是的说
麻美: 情人节快乐哦\n谢谢你
麻美: 还有…
麻美: 欢迎你！\n小小的巧克力匠人！
麻美: 可爱的同伴增加了真是让人高兴呢\n以后也请多多关照了！
渚: …………
渚: 彼此彼此，的说！
旁白: <black>END</black>
