
--- [Section 1] (Source: 101405-1_XyQZg.json) ---
忧的幻影: 想改变命运就到神滨市来，\n在这座城市里魔法少女能得到救赎。
彩羽: 那些自称<red>玛吉斯之翼</red>的人，\n跟我见到的忧说了一样的话。
彩羽: 拯救魔法少女是什么意思？\n在神滨市就能实现又是什么意思？\n守护<blue>传闻</blue>就能拯救魔法少女吗？
彩羽: 忧可能被卷入了<blue>传闻</blue>之中……
彩羽: <red>玛吉斯之翼</red>与\n<blue>传闻</blue>之间有某种联系……
彩羽: 忧和<red>玛吉斯之翼</red>……\n是不是有什么关系呢……
菲莉希亚: 总算把那些什么翼打倒了，\n接下来就直奔目标吧！
菲莉希亚: 1小时的时间绰绰有余！
八千代: 但我们对传闻的能力还一无所知，
八千代: 言灵神社的时候，\n可是陷入了一番苦战呢……
菲莉希亚: 那只是因为你们太弱了吧？\n我的话嘭地一发就能解决了！
鹤乃: 啊哈哈，菲莉希亚总是说拟声词啊。
菲莉希亚: 干嘛啦，能听懂就行了吧！
菲莉希亚: 是吧，彩羽！
彩羽: 诶！？啊，嗯，没错！\n我们必须打倒传闻！
彩羽: （有机会再问问吧……）
彩羽: （问问她们认不认识忧……）
杏子: 喂，里面的门是打开着的。
杏子: 作为始作俑者的传闻\n说不定就在里面。
八千代: 佐仓！
八千代: 一个人冲出去会有危险的，\n太莽撞了！
杏子: …………
菲莉希亚: 咦，怎么停下了？
杏子: 没怎么，呵呵……
杏子: 多贴心啊，\n还给我们安排了守关BOSS。
菲莉希亚: BOSS……？
鹤乃: 哈！\n彩羽看那边！
鹤乃: 在里面！
彩羽: 诶？什么……？
彩羽: 啊……
彩羽: <red>白色玛吉斯之翼</red>……

--- [Section 2] (Source: 101405-2_XyQZg.json) ---
白翼: 我听到了哦，\n你们说只剩1小时了。
白翼: 我听到了，\n你们只剩1小时了。
白翼: 没错——
白翼: 但是这跟我们没关系，\n我们会在这里拦住你们的。
白翼: 就这样亲眼目睹不幸的降临\n自舔伤口品味辛酸吧。
白翼: 没错——
彩羽: 是为了达成你们的目的……是吗？
白翼: 不如说是为了玛吉斯，\n为了全体魔法少女。
鹤乃: 我不知道什么解放不解放的，
鹤乃: 建立在他人不幸之上的解放，\n我才不要！
白翼: 这个问题不是无知之人能理解的，
白翼: 闭上嘴乖乖守护我们完成它就是了。
白翼: 没错——
杏子: 谁要守护你们啊。
杏子: 反正跟她们也说不通，
杏子: 直接动手收拾掉吧。
菲莉希亚: 嘿嘿，正好我也这么想。
菲莉希亚: 毕竟没什么时间了呢！
彩羽: （我其实……\n很想打听一下忧的事……）
彩羽: 但，眼下还是先抓紧时间……
八千代: 反正都是些偷偷摸摸不敢见人的家伙，
八千代: 算不上什么厉害角色。
白翼: 哎呀，就让你们见见又有何妨？
白翼: 可别把我们跟那些黑翼混为一谈。
白翼: 没错——
月夜: 我是玛吉斯之翼的<red>白翼</red>\n“<red>天音月夜</red>”。
月咲: 我是玛吉斯之翼的<red>白翼</red>\n“<red>天音月咲</red>”。
月咲: 接下来，就请尽情欣赏我们的演奏——
月夜: 沉浸在这音色中，醉生梦死吧——

--- [Section 3] (Source: 101405-3_XyQZg.json) ---
八千代: 用笛子当武器……？
八千代: 各位多加小心！
八千代: 这个空间对她们非常有利！
月夜: 亏你能发现呢。
月咲: 演奏开始！

--- [Section 4] (Source: 101405-4_XyQZg.json) ---
彩羽: 呀，啊啊！
八千代: 唔呜！
月咲: 看到你们那感动得扭曲的脸，\n我们的演奏真是值得呢。
月夜: 嗯嗯，就算不说出来，\n那份感动也会在体内回响呢。
八千代: 虽然我们人多，\n不过要往深处走实在太难了……
彩羽: 没错……不知道回音\n会从什么方向反射回来……
彩羽: 如果能想办法消除这声音……
选项: 【呜啾呜啾！@（把回声反射回去就行了）】→ group_2
选项: 【呜啾呜啾@（把声音堵住就行了）】→ group_3

--- [Section 4 - Branch 2] (Source: 101405-4_XyQZg.json) ---
userName: 呜啾呜啾！
旁白: 可是，我不知道声音\n会从哪里传来……

--- [Section 4 - Branch 3] (Source: 101405-4_XyQZg.json) ---
userName: 呜啾呜啾
旁白: 只要堵住耳朵……
旁白: 就算可行，也要用两只手堵住啊……

--- [Section 4 - Branch 4] (Source: 101405-4_XyQZg.json) ---
月咲: 那么，月夜，
月咲: 是时候演奏第二首曲子了。
月夜: 好的月咲。
月夜: 接下来，就在这首曲子中\n感受身体的颤栗吧！

--- [Section 5] (Source: 101405-5_XyQZg.json) ---
鹤乃: 得想办法解决这个声音……
鹤乃: 唔——嗯……
菲莉希亚: ……
鹤乃: 哎呀……菲莉希亚……？
鹤乃: ——！？
鹤乃: 她打算独自深入！
