
--- [Section 1] (Source: 101806-1_CBbvi.json) ---
旁白: ―荣区―
桃子: 呃……唔……
桃子: 哈……呼……
桃子: 总算甩掉了……
桃子: （那个羽翼怎么回事……）
桃子: （无法用语言交流，\n已经完全没有理智了……）
桃子: （嘴里一直说着歼灭什么的，\n看来是认真的啊……）
桃子: 这次又是哪个魔法少女？
白翼: 呜……
桃子: 什么！\n可恶，怎么又是她们！
桃子: 每次都趁我一个人行动的时候\n来找我麻烦。
桃子: 也太不为别人着想了吧？
白翼: 呜呜呜啊啊啊啊！
桃子: 呃！\n一个接一个，没完没了……
桃子: 不好意思，\n看来我得先离开才行。
桃子: 喂喂，连个退路都不留给我……\n这可真够刺激的……
？？？: 我看到你被她们带进来了，\n没事吧？
桃子: （普通人！？）
桃子: 别过来！你会被牵扯进来的！
江利爱实: 呃，可是这种情况\n我实在没法坐视不理呀……
江利爱实: 嗯，时间还早……
江利 爱实: 我来帮个忙吧！
桃子: 什么，魔法少女！？

--- [Section 2] (Source: 101806-2_CBbvi.json) ---
桃子: 别小看我啊！
桃子: 我和你们不同，\n还有后辈要保护呢！
桃子: 我才不会那么容易被干掉！
白翼: ……呃……呜……
桃子: 哈……哈……想上就上吧！
桃子: 我会奉陪到底的！
白翼: …………
桃子: 呼……
江利爱实: 呜哇……好强的气势……\n你刚刚表现得还挺帅的。
桃子: 谢谢……
桃子: 不过不好意思啊，\n麻烦你帮我……
江利爱实: 别客气别客气，\n谁叫我没法坐视不理呢。
江利爱实: 那就有缘再见咯。\n我接下来还有事。
桃子: 等、等等！\n一个人行动很危险的！
桃子: 说不定会被那些家伙袭击的！
江利爱实: 啊？但我跟那些家伙无冤无仇的……
桃子: 那些家伙是在无差别地\n攻击魔法少女。
江利爱实: 什么！？
江利爱实: 但、但我还要去卡拉OK，\n参加班里的聚会……
江利爱实: 那个，其实是因为\n我喜欢的人也会去……所以……
桃子: 唔。
桃子: （我不擅长聊这种话题啊！）
桃子: （但是……）
桃子: 但要是死了\n不就什么都没了吗……
江利爱实: 有那么……糟糕吗……
桃子: 你看我都这么狼狈了，\n居然还能说出这种话……
桃子: 某种意义上\n你也挺厉害的……
桃子: 而且你想想，\n你刚才不是被她们看到了吗……
江利爱实: 的确……
江利爱实: 呃……\n还是要面对现实才行啊！
桃子: 电话……是八千代吗……
桃子: 怎么回事，怎么又挂了……
桃子: 算了，反正枫好像\n也去调整专家那儿了。
桃子: 我们也过去吧。
江利爱实: 等等，\n里面有魔法少女的反应……
桃子: ……而且数量还不少。
江利爱实: 心和真良也在吗？
桃子: 你认识她们？
江利爱实: 嗯，我们同校！
江利爱实: …………
江利爱实: 对不起，伊势崎同学。\n今天请允许我选择友情！
