
---[Section 1] (Source: 207601-1_IXGlf.json) ---
电视的声音: 下周也要来看哦！
莎奈: 呜…呜…
莎奈的弟弟: 嗯？\n莎奈姐姐，你怎么哭了？
莎奈: 啊，那个…\n因为米克喵死了…
莎奈的弟弟: 米克喵…？
莎奈的弟弟: 诶，等等\n难不成，莎奈姐姐…
莎奈的弟弟: 是因为动画的角色死掉\n而哭的吗!?
莎奈: 啊…
莎奈的弟弟: 喂，哥哥听我说\n真是杰作
莎奈的弟弟: 莎奈姐姐因为动画的角色死掉\n而流泪了耶
莎奈的哥哥: 真是的…\n无可救药啊
莎奈的哥哥: 你听好了？
莎奈的哥哥: 动画和漫画，\n还有游戏和绘本…
莎奈的哥哥: 这些东西全是「创作物」
莎奈的哥哥: 你眼前的图画和文章\n都是无聊的非现实
莎奈: …………
莎奈的哥哥: 为了那些东西的生死\n搞得忽喜忽忧的这怎么行？
莎奈的哥哥: 制作这种东西的家伙们\n和喜欢这些东西的家伙全都是
莎奈的哥哥: 只是想从现实中逃离罢了
莎奈的哥哥: 是为了安慰自己的\n逃避现实
莎奈的哥哥: 你快点变得成熟\n看看现实吧
莎奈的哥哥: 若你还想当二叶家的人的话
旁白: （睁眼）
莎奈: …………是梦…？\n我睡着了…？
莎奈: （对了，我想要画绘本\n可是后来越来越想睡…）
莎奈: …………
莎奈: （…真是讨厌的梦啊…）
莎奈: （可是…米克喵…？\n我又不认识这样的角色…）
莎奈: （再说我印象中也没有跟\n那对兄弟有过那样的对话…）
旁白: 「只是想从现实中逃离罢了」
莎奈: （既然如此\n那句话是谁说的…？）
莎奈: …………
莎奈: （这样啊…\n是我的…）
音梦: 我早就放弃留下<blue>传言</blue>了
莎奈: 啊…
音梦: 所以，听见莎奈想把Ai留下来\n让我觉得很高兴
音梦: 谢谢你
莎奈: （创作绘本\n是我好不容易找到的梦想…）
莎奈: （小音梦为此感到高兴\n让我感觉到创作的意义…）
莎奈: （但是…如果看绘本和创作绘本\n都是逃避现实的话…）
莎奈: （那就无法产生任何力量…\n毫无意义…）
莎奈: （我注意到了这一点）
莎奈: （所以，在那以后…\n连一行字都写不出来…）
旁白: 叮咚——
莎奈: …！\n来、来了——…

---[Section 2] (Source: 207601-2_IXGlf.json) ---
莎奈: 诶…\n你在四处去大家那儿看看吗…？
笼目: 是的…因为郁美小姐去世…\n那个…发生了很多事…
笼目: 而取材现在的魔法少女的状况
笼目: 传达真实的姿态\n对我而言就是其中一个使命
笼目: 因此，首先我想从\n三日月庄的各位开始…
莎奈: …………
莎奈: （真实…现实…）
笼目: …我也觉得…这样有些不太慎重…
莎奈: 诶…\n不，怎么会…
笼目: 没关系的，如果我处在你们的立场\n心情应该也不会很好…
笼目: 不过，既然我多亏了小莉\n知道了应该传达的事
笼目: 那么就算会被各位魔法少女讨厌\n也该下定决心往前迈进
笼目: …小阿鲁也是这么说的…
小阿鲁: ＜这时就不要感到害羞\n好好地靠自己把话说到最后啊＞
莎奈: 说的也是呢…
笼目: 话说回来请问…\n三日月庄的各位呢…？
莎奈: 啊，我想想…
莎奈: 记得…伊吕波小姐是去\n治疗受伤的人们…
莎奈: 八千代小姐是去龙真馆\n参加作战会议…
莎奈: 其他人们也好像都有事…
笼目: 是这样吗\n我来的时机太差了呢…
莎奈: …只有我什么都没有\n所以才弄绘本…
笼目: …？
莎奈: …………
笼目: …我之后再来\n可能会比较好呢…
莎奈: 那个，若是那样的话…\n你现在要去什么地方呢…？
莎奈: 因为你说过\n要去大家的地方看看…
笼目: 是啊…再怎么说我也不好意思\n去打扰人家治疗
笼目: 或是在作战会议中露面…
笼目: 那就暂且先去一些\n不会造成困扰的地方
笼目: 虽然有点担心\n不过小莉也会保护我
笼目: 所以也可以去追踪在结界里\n讨伐魔女的魔法少女之类的…
莎奈: 结界…！
笼目: 要说有其他魔法少女在的\n地方的话…让我想想…
莎奈: 那个，既然如此\n我跟你一起去不行吗…？
笼目: 咦…？
莎奈: 我的武器是盾牌\n可以保护笼目小姐…
莎奈: 就算结界中有魔女在也没问题…
莎奈: 而且我经常跟伊吕波小姐她们\n一起行动…
莎奈: 有我在的话，\n应该能让被取材的人们放松戒心…
莎奈: 虽然只限定于神滨的魔法少女…
笼目: …啊，是想要…\n当保镖这样吗…？
笼目: 确实如果有小莉和莎奈小姐的盾\n保护的话，肯定很安全
笼目: 虽然对我而言是很高兴\n但真的可以吗…？
莎奈: 是的，没问题\n请多指教…
笼目: 我才是，这帮了我很大的忙\n请多指教了
莎奈: 好的…！
莎奈: （不能一直逃避现实下去）
莎奈: （必须面对现实\n做出行动才行…！）
莎奈: （而且现在，\n笼目小姐正使用谣的力量）
莎奈: （努力地想拯救魔法少女…）
莎奈: （守护这样的笼目小姐）
莎奈: （正是如今的我能做到的\n现实的行动…！）
