
---[Section 1] (Source: 207803-1_69ea8.json) ---
青: —青—\n因此，我们才能不被他人支配\n而是去支配他人
静香: —静香—\n因此，我们引导人们\n也是合情合理
十七夜: —十七夜—\n因此，就算惩罚人类\n也能够被容许
御魂: —御魂—\n若是得不到道歉\n我甚至不惜毁灭
４人: 我们会作为Neo-Magius的一员\n掌握神滨市
御魂: 我们俩\n真的做了呢
十七夜: 啊啊，做得很彻底…
御魂: 呵呵，感觉有点神清气爽
十七夜: 是吗…
姬奈: 姬君
姬奈: 嗯？
十七夜: 接下来我们的行动是什么？\n该做什么才好？
姬奈: 呵呵，不用着急哦\n七夜儿
姬奈: 接下来是「等待」的时间
姬奈: 已经不用在暗地里\n偷偷摸摸的了
姬奈: 接下来的计画和准备\n我打算在台面上进行
十七夜: 那就是说要跟其他团体的人们\n正面冲突吗…
十七夜: 既然准备不充分\n那岂不是匆促行事…
姬奈: 嗯～…该怎么说呢
姬奈: 彦君好像觉得\n现在正是竞争之时
姬奈: 比起事后才知道\n是因为怎么样而输的
姬奈: 还是即时进行冲突\n比较能让人感受到败北的实感
姬奈: 比较能让人受挫吧？
姬奈: 所以我想跟其他团体的人\n尽量认真地战斗
姬奈: 让她们打从心底尝到败北的滋味\n削减掉反抗的意愿
十七夜: …………
姬奈: 有什么反对意见吗？
十七夜: 不，一点都没有
十七夜: 即使是对敌人\n也贯彻着魔法少女至上主义呢
灿: 差不多要到宝崎市了
姬奈: 啊，真的呢\n说太久了
美由利: 非常感谢你们送行
姬奈: 那就再见了\n拜拜
御魂: 嗯
十七夜: 失陪了
十七夜: …如果将神滨毁灭了\n之后你打算做什么
御魂: …这个嘛
御魂: 大概会擅自感到绝望而死吧
十七夜: …嘛，我想也是
御魂: 你会阻止吗？
十七夜: 不好说啊
十七夜: 这次我也无法保证\n自己不会绝望…
御魂: 是啊
御魂: 毕竟因为我们的关系\n大家都会死
十七夜: …………
御魂: 什么？
十七夜: 真是淡定呢\n是平常的八云
御魂: 都做到如此地步了，\n已经没什么好怕的了
十七夜: 想通了的话这也许是当然的
御魂: 那么十七夜\n我要在这里告辞了
十七夜: 嗯，怎么？\n要先去调整屋吗？
御魂: 怎么可能，我不会去的\n说不定咪会在那边
御魂: …………我呢，\n已经连家都不回去了
十七夜: …！\n嘛，说的也是
十七夜: 那么在这附近\n有你暂时的住处吗
御魂: 就是这样
御魂: 如何？\n你也要来吗？
十七夜: 不了
御魂: …十七夜还没想通呢
十七夜: 是啊，\n我的决心似乎还不足
十七夜: …那正是，情感的问题吧…
十七夜: …我要回到\n家人在等待的家
御魂: 那样就好\n明天见
御魂: …………我说十七夜
十七夜: 怎么了
御魂: …无论是东西的争斗\n还有Magius的计画等等
御魂: 我们不是克服了很多困难吗？
十七夜: 是啊
御魂: 然后现在，我们面对着\n不仅限这个城市
御魂: 还连接着各种时代和空间的\n无尽镜界
十七夜: 你想说什么
御魂: …说不定，招致毁灭的力量\n为了让愿望必定能实现
御魂: 当我越是抵抗时\n便因要克服抵抗
御魂: 危险性越来越高
御魂: 那样的话也许毁灭神滨市\n才能让未来变得幸福呢
十七夜: 这就是你选择乘上之前所谓的\n『毁灭的潮流』的原因吗…

---[Section 2] (Source: 207803-2_69ea8.json) ---
十七夜: …………
旁白: ～～♪～～♪
十七夜: 姆…？
十七夜: 是爸爸啊\n怎么了
十七夜的父亲: 十七夜！\n大事不妙了！
十七夜的父亲: 你现在在哪里!!
十七夜: 怎、怎了…！\n现在在新西区…！
十七夜的父亲: 这样啊…！\n正、正好
十七夜的父亲: 你赶快去医院！
十七夜的弟弟: …………\n…………
十七夜: …听说爸爸和妈妈\n正急着赶来…
十七夜的弟弟: 呜…
十七夜: 到底发生什么事了…！
十七夜: 看起来是骨折\n是被车撞到了吗…！
十七夜的弟弟: …果然\n就跟爸爸和姐姐说的一样…
十七夜的弟弟: 无论如何\n出手就是不行…
十七夜: 什么意思…
十七夜的弟弟: 之前不是说过\n我跟西边的家伙打架了吗…
十七夜的弟弟: 是受到那些家伙的报复
十七夜: 是人造成的吗\n那、那伤势…！
十七夜的弟弟: 我可不是单挑输的哦\n是、是被包围…
十七夜: 怎样都好！
十七夜: 警察…警察呢…！
十七夜的弟弟: 刚才是有谈过但是很奇怪
十七夜的弟弟: 警方好像没有要理会我的意思…
十七夜: ――!?
十七夜: 为什么!!
十七夜的弟弟: 我不知道啊…
十七夜的弟弟: 一开始跟我谈的警官\n是有认真地听我说…
十七夜的弟弟: 但有位穿西装的刑警来了以后\n突然就变得很冷淡…！
十七夜: 唔…！
十七夜: …………
十七夜的弟弟: 虽然不知道有没有关系…
十七夜的弟弟: …跟我打架的那家伙…\n背后好像有什么人在…
