
---[Section 1] (Source: 400006-1.json) ---
旁白: 回到结界后\n我们一边往镜层更深处前进\n一边寻找桃子和玲奈
枫: 桃子！\n玲奈！
彩羽: 找不到啊……\n出现的也都是冒牌货……
八千代: 虽然我也知道……\n事情不会那么顺利……
枫: 桃子！\n玲奈！
彩羽: 我也一起喊……！\n桃子！玲奈！
八千代: 至少找到个人影也行啊……
八千代: 人影……
八千代: 人影……！？
枫: 哎！
彩羽: 在、在、在哪里！？
彩羽: 啊！\n是那边吗！
八千代: 对！\n就站在镜子前……
八千代: 嗯？
枫: 好像既不是桃子\n也不是玲奈……
八千代: 又是某个人的冒牌货吗……！？
阿见莉爱: 嗯～今天我也是……
阿见莉爱: 最美的呢！
阿见莉爱: （我果然觉得……\n成为魔法少女，真是太棒了！）
八千代: 那女孩是……
阿见莉爱: 啊！\n我感应到的这份魔力……！
阿见莉爱: 噢噢！……果然是你！\n七、七、七海八千代～！！
八千代: 好久不见。\n那个……
八千代: …………\n好久不见。
阿见莉爱: 我叫阿见莉爱啦！阿见莉爱啊！\n你没记住我的名字吧！
彩羽: 八千代！\n这个人……是冒牌货吗？
阿见莉爱: 啊？看到我的外貌，\n居然还会产生怀疑？
阿见莉爱: 你难道就感觉不到吗！\n我这种无与伦比的美丽气质！
彩羽: 那个……\n不太明白……
阿见莉爱: 那么我就告诉你吧。
阿见莉爱: 我是阿见莉爱！\n是七海八千代的劲敌！
阿见莉爱: 而且！我才不是冒牌货，\n是如假包换的正品！
彩羽: 八千代的劲敌……？\n是这样吗？
八千代: 之前她单方面做出了宣言……
八千代: 好像是这样来着。
阿见莉爱: 你为什么全都不记得了！
枫: 呜呜……八千代……\n她从刚才开始就好可怕啊……！
八千代: 没事的，她不会咬人的。\n大概。
阿见莉爱: 什……！\n说得人家像只野兽似的……！
阿见莉爱: 话、话说回来，\n你也来这里了啊。
八千代: 嗯……\n倒是你，一个人来的吗？
阿见莉爱: 啊，是啊……在这里，\n一个人的力量就足够应付了吧？
阿见莉爱: （其实只是所有人的时间安排\n都和我对不上而已……）
枫: 八千代……\n她真的是本人吗……？
阿见莉爱: 你要怀疑我！？\n我都说了自己是真的啊！
枫: 但、但是！
阿见莉爱: 说到底！\n我可不会轻饶那个冒牌货！
阿见莉爱: 我可是受邀而来的，\n不知为何却被造出了冒牌货……
阿见莉爱: 哎，虽然我也理解别人想要模仿\n我的美貌的那种心情。
阿见莉爱: 可就算如此！我也不允许\n居然真的把仿造品制造出来！
阿见莉爱: 所以，我就来讨伐所有冒牌货了！
枫: 是、是吗……？
阿见莉爱: 啊，真是的！\n你看这个！
阿见莉爱: 你看这面镜子！\n尤其是这个角度！从这个角度看！
阿见莉爱: 这么美丽的容貌……\n冒牌货是展现不出来的吧！
彩羽: 我不知道该怎么比较……
阿见莉爱: 快看！怎么样？\n尤其是这个角度！
八千代: （嗯？）
八千代: （有东西在发光……）
八千代: ！
八千代: 我说你！\n不要举着镜子对着别人！
阿见莉爱: 什么嘛！呵呵呵……既然如此……\n我就让你也欣赏一下吧！
阿见莉爱: 快看快看！\n这个角度！这个角度！
八千代: 都说了快住手！
八千代: 在这里乱用镜子的话，\n不知道会发生什么事……
八千代: 啊！
阿见莉爱: 咦？
枫: 哎……
枫: 哎哎哎哎哎哎哎哎哎哎！
彩羽: 八、八千代她……！
彩羽: 消失了……！！
阿见莉爱: …………
阿见莉爱: 哎……
阿见莉爱: 这件事要怪我吗？
