
--- [Section 1] (Source: 310263-1.json) ---
ちはるの母＆静香の母: 観光ぉ？
ちはる: うんっ！
ちはる: 外の人を観光で呼び込んで\n集落の魅力を知ってもらうの！
ちはる: で、どんどん人を呼んじゃおう！
ちはるの母: …それが、この村を助ける\n一手になるって…？
ちはる: うんっ！
ちはる: 将軍がここに居たら、\n絶対賛成してくれるよ！
静香の母: 将軍…ってあの徳川の…？
静香の母: あら…？\nまだ続いてるんだったかしら…
ちはるの母: あぁ、時女さん
ちはるの母: 将軍は、ちゃるの好きな\n時代劇の主人公のことで…
静香の母: 時代劇…\nあぁ、テレビで見るアレね？
静香: …おばさま、母様
静香: ちゃるのおかげで、私たちは\n集落の魅力を見つけられたのよ
静香: 私とすなおだけじゃ\n絶対に気付けなかったわ
ちはる: 静香ちゃん…っ
すなお: はい…
すなお: この魅力で集落を助けられるなら\n観光でも何でも挑戦したいんです
ちはる: すなおちゃんも…っ
すなお: でも、私たち３人だけじゃ\n難しいから…
すなお: おふたりのお力を借りたいんです\nお願いします…！
静香: お願い、母様…！
ちはる: お願いっ！お母さん！
ちはるの母: うーん…
静香の母: いいんじゃない？\n広江さん
静香の母: 私も、新しいことに挑戦するのは\nワクワクするから好きよ
ちはるの母: 時女さんは、わりとすぐに\nはしゃぐタイプですよね…
静香の母: え？そうかしら
ちはるの母: ３人とも、真剣なのね…\n…わかったわ
ちはる: お母さん…っ！
ちはるの母: でも、いきなり観光業を始める\nって言ってもうまくいかないわよ
ちはる: えー
ちはるの母: だから、まずは試してみて\n検証しなくちゃ
ちはる: 試す…？
ちはるの母: …ほら、都会に住んでるおばさん\nいるでしょ？
ちはる: あぁ、お父さんの妹の！
ちはるの母: そうそう
ちはるの母: あの人、田舎暮らしに憧れてる\nってお正月に話してたのよ
ちはるの母: うまく誘えば、この集落に憧れて\n観光に来てくれるかもね
ちはる: おぉーっ！
静香の母: さっすが広江さん\n顔が広いわねっ！
ちはるの母: …ただ普通に現代社会を\n生きてきただけなんですけどね
ちはるの母: それに、ちゃるだけじゃなく
ちはるの母: 静香ちゃんやすなおちゃんの\n頼みでもありますから
すなお: おばさま…！
ちはる: む…!?
ちはる: （…わたしの説得だけじゃ、\n納得できなかったってこと？）
ちはる: …………
ちはる: （そりゃそうだよね…）
ちはる: （ふたりの方が頼られてるし\nこの村の役にも立ってるから…）
ちはる: ふんぬぅっ
ちはる: はいっ！\nはいはいはーいっ！
ちはるの母: な、何？
ちはる: おばさんの観光ガイドは\nわたしがやる！絶対やるっ！
ちはるの母: えぇ…？
ちはるの母: まぁ、まだ来てくれるって\n決まったわけじゃないけど…
ちはる: いい!?お母さん！\nわたしがやるからねっ！
ちはる: 企画もぜーんぶ\nわたしがやるからっ！
ちはるの母: 本当に大丈夫…？
静香: …あ、\n私たちも一緒に考えますから！
静香: ね、すなおっ
すなお: はい
静香の母: …とは言え、集落で新しいことを\n始めるとなると
静香の母: 不安に思う人もいるだろうし
静香の母: その辺は、私の方から\nうまく説明しておきますね
ちはるの母: ありがとうございます、時女さん
ちはる: よぉし…！\n今夜は徹夜で考えるぞーっ！
ちはるの母: 徹夜で考えたって\n明日突然来たりしないわよ
ちはる: ぐぬぅ…

--- [Section 2] (Source: 310263-2.json) ---
ちはるの叔母: 呼んでくれてありがとう、ちゃる
ちはる: おばさんの方こそ、\n来てくれてありがとう！
ちはる: 今日はおばさんたちに、\n集落の中を案内するね
静香: この神楽舞台の他にも、\n大昔に建てられた屋敷の紹介や
静香: 馬牧場や工芸品を\n紹介させてもらいます
静香: 集落の文化にどんどん触れて\n楽しんでいってください！
ちはるの叔母: よろしくお願いします
ちはる: では、ここでひとつ！\nこの舞台で舞わせてもらうよ！
ちはる: 集落伝統の舞もあるんだけど…\n今日は特別に…３人のための舞！
ちはる: 「喜びの舞～歓迎編～」だよー！
ちはる: みんな、お願いっ！
みんな: は、はい…！
旁白: ドン、ドン\nシャン、シャン\nドン、ドン\nシャン、シャン
旁白: プォ～、プォオォ～\nドン、ドン\nシャン、シャン
ちはるの従兄弟: お、おぉ…
ちはるの叔母: ご丁寧に、どうもね…
ちはる: じゃ、舞も終わったところで\n集落観光にしゅっぱーつ！
ちはるの叔母: ふぅ…
すなお: 大丈夫ですか…？
ちはるの叔母: あぁ、うん…
ちはるの叔母: 神楽舞台に、古くて立派なお屋敷\nそれから大きな水車…
ちはるの叔母: 色々と見せてもらえて\n楽しいんだけど、疲れちゃって…
ちはるの叔父: 集落の土地に起伏があって\n移動だけで体力が削られるなぁ…
ちはるの従兄弟: オレはまだまだ平気だけどなぁ
ちはるの従兄弟: …あ、あの木の実、ウマそう～\nちょっと見てくる！
旁白: ガチャンッ！
ちはるの従兄弟: うわぁぁっ!?
ちはる: どうしたの!?
ちはるの従兄弟: こ、こ、これ…\n足元で…！
静香: あ…これは害獣用の罠ですね…
静香: すみません…大丈夫ですか？\nケガは…
ちはるの従兄弟: い、いや、ないよ…\n大丈夫…
ちはるの叔母: ちょっと！\n本当に大丈夫なの!?
ちはるの叔父: あ、うかつに動かない方が…
旁白: ジャキッ
ちはるの叔父＆ちはるの叔母: …え？
旁白: ん？誰だ？
ちはるの叔父: か…かかか、鎌っ!?
ちはるの叔母: ひぃぃ…！
ちはる: おばさん!?\n今度は何が…!?
ちはるの叔母: あ…腰が、抜けた…
ちはる: えぇぇっ？大丈夫？\nちょっと休もうか…
ちはる: …あ、せっかく休憩するなら\n癒しのあの子を連れて来るね
ちはる: ちょっと待ってて！
ちはるの叔母: えっ？\nちょっと…！
すなお: すみません、驚かせてしまって…
すなお: 支えますから、\nゆっくり立ち上がってください
ちはるの叔母: あ…えぇ、ありがとう…\nよいしょ、っと…
すなお: ちゃるが戻ってくるまで\nこちらの木陰で休憩しましょう
ちはるの叔父: あぁ…\nそうさせてもらうよ…
ちはるの従兄弟: ハァ…オレもなんか疲れたよ…
静香: …………
ちはる: お待たせーっ
ちはる: この集落の天然アイドル…\nお馬さんを連れて来たよ～！
旁白: ブルル…
ちはるの従兄弟: あっ！\nさっき言ってた馬牧場の？
ちはるの叔母: へぇ…！\n馬って意外と可愛いかも…
ちはるの叔父: 馬ってこんなに大きいのか…
ちはる: （おぉ…高評価っ！）
ちはる: それじゃあ３人とも、\nこの馬に乗っちゃおーう！
すなお: え…？\nちゃる、それは…
旁白: ブルル…ッ
ちはる: …こらっ！静かに…！\nちょっとくらい乗せてよっ
静香: わっ!?\n待ちなさい、ちゃる！
静香: 馬が怯えてるわ\n急に乗ろうとしてもダメ…
旁白: ヒヒヒーンッ!!
静香＆ちはる: きゃぁああっ!?
旁白: パカラッ
旁白: パカラッ
旁白: パカラッ…
ちはるの叔母: …………
ちはる: （まずい…\nせっかくいい流れだったのに…）
ちはる: 次、次！\nどんどん回るよーっ！
静香: ちゃる…!?\nどこに行くのよーっ？

--- [Section 3] (Source: 310263-3.json) ---
ちはる: はい！\nじゃー次は釣り！
ちはる: 昼食用の魚は、ここで調達するよ
ちはるの従兄弟: えぇ…!?\nオレ、釣りなんかしたことないよ
静香: 待って、ちゃる\nここは観光の予定に入ってないわ
ちはる: だって、村の魅力を感じるには
ちはる: 集落の中の案内だけじゃ\nやっぱり足りないと思って…
すなお: そうは言っても…急なことで\n釣りの用意もないですし…
ちはる: こうなったら、静香ちゃんに\nバンバン釣ってもらって…
静香: もう…仕方ないわね\nちょっと待ってて
ちはる: …え？
静香: はいっ！\n３人分の竿、作って来たわ
ちはるの従兄弟: これが、竿…？
静香: 持ちやすい枝に\n釣り糸を付けただけなので
静香: 見た目はイマイチですけど\nちゃんと釣れますよ
静香: …それっ！
静香: …………よっと！
ちはるの従兄弟: えっ!?もう釣れたの!?
静香: はい
ちはるの叔父: すごい…！
ちはるの叔母: 私にもやらせてっ
静香: どうぞ
ちはる: 静香ちゃん…！
ちはるの叔父: ははっ！\n結構釣れたなぁ
ちはるの従兄弟: 父さん、自力じゃないだろ\nずっと教わりながらだったし
ちはるの叔父: ん…んん…まぁな…
ちはるの叔母: 新鮮な川魚って食べたことないわ\n楽しみねぇ
ちはる: ふふっ
ちはる: あっ！\n見てみて、すなおちゃん！
ちはる: この間すなおちゃんに教わった\n山菜、これだよねっ？
すなお: あ…それは…
ちはる: これもそうだし…\nあと、これもっ！
ちはる: …ふっふっふ
ちはる: コツを掴んだら、どの山菜が\n食べられるか結構わかってきた～
ちはる: …はいっ、みんなも摘んで！
ちはるの叔母: えっ？\n急に言われても…
ちはる: いいからいいから！
すなお: あの…ちゃる\nその山菜、私が預かりますよ
すなお: それに私でよければ\n皆さんにお教えしますし
ちはる: ありがと、すなおちゃんっ！\nよーし、いっぱい採るぞ～！
すなお: …………
静香: …すなお、それ…\n毒のあるやつだね…
すなお: はい…危ないところでした…
ちはる: はーい、集落に到着ーっ！
ちはるの叔母: はぁ…楽しかったけど\n集落に戻ったら、どっと疲れが…
ちはるの従兄弟: オレも…
ちはるの叔父: ふぅ…腰が限界だ…
ちはる: ３人とも、\n次は美味しいお昼ご飯だよ
ちはる: ねっ、すなおちゃん！
すなお: はい\n皆さんの疲れが癒えるように
すなお: 採れたての食材で、\n昼食をご馳走します
静香: 手伝うわ、すなお
ちはる: うん…！
ちはる: このまま、この間の金脈ルートで\n駆け抜けよう！
みんな: いただきまーすっ！
ちはるの叔母: …………
ちはるの叔母: う～ん、美味しーいっ！
ちはるの叔父: ウマいなぁ…この魚…！
ちはるの叔母: この山菜のおひたし、\n苦味が効いてて良い味してるわぁ
すなお: ふふ…ありがとうございます
ちはるの従兄弟: この卵かけご飯、超ウマい！
静香: その卵、今朝採れたてなんです
ちはるの叔母: それに…この柿！\n本当に甘くて美味しいわぁ…
ちはる: あ、それは“だいだいっこ”って\n言うらしいよ
ちはる: 形は柿っぽくなかったけど…\n柿の親戚なのかなぁ？
ちはるの叔母: ふぅん…？
ちはるの叔父: この集落は、他の村と\nあまり交流がなかったんだっけ？
静香: はい
ちはるの叔父: なら、この“だいだいっこ”は
ちはるの叔父: この村の気候に合わせて進化した\n果物かもしれないね
ちはる: この集落にしかない果物\nってこと…？
すなお: 集落の新しい魅力になるかも\nしれませんね
ちはる: うん…！

--- [Section 4] (Source: 310263-4.json) ---
ちはるの叔母: 今日は呼んでくれてありがとう
ちはるの叔母: 色んな体験をさせてもらえて\nとっても楽しかったわ
すなお: また来てくださいね
静香: 次は温泉にも入ってもらわなきゃ
ちはる: えっ？\n温泉あるんだ!?
静香: ちゃる…知らなかったの？
ちはるの従兄弟: 温泉かぁ…！\n今日入って行きたいなぁ
すなお: あぁ…それはちょっと…\nまだ整備が済んでいないので…
ちはるの叔父: はは、\n次に来た時の楽しみにしておこう
ちはる: ――っ!?
ちはる: あの…この集落に、\nまた遊びに来てくれる…？
ちはるの従兄弟: うん、もちろん！
ちはる: …やったーぁっ！
ちはる: ふぅ～…
静香: 予定からずれた時は、\nどうなることかと思ったけど…
静香: 楽しんでもらえて良かったわね
ちはる: うんっ！
旁白: この村で観光だなんて、最初は\nうまくいかないと思ってたが…
旁白: なんとかやれるもんだなぁ
旁白: 色々大変な場面もあったけど
旁白: 村のみんなで団結すれば\nできないことなんてないわねぇ
旁白: ちはるちゃんも、\nよーく頑張ったねぇ
旁白: そうだね、元を辿れば\nちはるちゃんのおかげだ
旁白: ありがとう
ちはるの母: よくやり切ったわね
ちはる: ふふんっ！
ちはる: わたし、\nこれからももっと頑張るよ！
ちはる: みんなを助けて、役に立って\n集落をピンチから救いたいから！
ちはるの母: 良い意気込みね
ちはるの母: じゃ、今回の観光の検証結果を\n皆さんで振り返りましょうか
ちはる: え？
ちはるの母: 結果的にはお客の３人に\n満足してもらえましたが…
ちはるの母: 問題点はいくつもあったはずです
静香: この集落に来るための\nもっと簡便な手段が欲しいですね
旁白: 観光地らしい場所を\n他にも作らないといけないよねぇ
ちはる: …………
すなお: 口コミだけでは限界がありますし
すなお: インターネットを使った集客にも\n挑戦すべきだと思います…
ちはるの母: 村おこし、という建前で、役所を\n活用するのもいいかもしれません
静香の母: あぁ…広江さんが前に言っていた\n“観光課”のことね？
ちはるの母: えぇ、観光課に掛け合ってみて\n補助金を申請してみるのも…
ちはる: …………
ちはる: …………ぷしゅぅ…
すなお: ちゃるっ？
静香: 大丈夫!?
ちはる: うん…いや、ううん…\n大丈夫じゃなかったよね…
ちはる: わたし…\n全部うまくいったんだと思ってた
ちはる: でも、違ったんだ…
静香: ちゃる…
ちはる: 問題は色々あって…みんなに\nたくさん支えてもらってた…
ちはる: だから、うまくいったように\n見えてただけなんだ…
ちはるの母: 気付いただけでも偉いよ、ちゃる
ちはる: むぅ…
ちはる: わたし…今度こそみんなの役に\n立てたって思ってたけど
ちはる: また思い過ごしだったみたい…
ちはるの母: そんなことはないわよ
ちはるの母: この村を救えるかもしれない\nきっかけを作ったのは
ちはるの母: 間違いなく、あなたよ
ちはる: お母さん…！
ちはる: じゃあわたし…\nこの村を救うヒーローに…!?
ちはるの母: いいえ、なれてないわ
ちはる: おぅふ…
ちはるの母: もっと勉強して、視野の広い\n良識ある大人になって
ちはるの母: ちゃるを支えてくれるみんなを\n支えてあげる側になりなさい
ちはる: うぇぇ…
ちはるの母: それがあなたの目指す\nヒーロー像でしょ？
ちはる: うぅ…がんばるぅ…
旁白: 観光でこの集落を維持できれば
旁白: 外で新しい仕事を覚える必要も\nないよな…？
旁白: 助かった…
旁白: この年齢で新しい仕事を、なんて\n言われて困ってたとこだ…
静香の母: 観光業の資金だけじゃ、\n村の維持には全然足りませんよ
旁白: えっ
静香の母: 弱音を吐いてないで、\nみんなで頑張って行きましょう！
旁白: …はぁ～い…
ちはる: みんなと仲良くなれたし、\n来てよかった！
