
--- [Section 1] (Source: 311011-1.json) ---
旁白: 恭喜你中了特等奖！
彩羽: 真的！？\n太、太棒了！
彩羽: 我在商业街的抽奖活动里中了特等奖\n得到了一张七天六夜的住宿券
彩羽: 旅馆所在地是……
彩羽: 哇，今天天气真好！
彩羽: 是大海！
彩羽: 于是我正在跟八千代她们一起旅游！\n今天是第四天！
鹤乃: 看好了……
鹤乃: 嘿！
菲莉希亚: 哇……
鹤乃: 咕哈！
鹤乃: 我游得怎么样！
菲莉希亚: 唔……你的动作好奇怪。
八千代: 嗯，特别奇怪。
鹤乃: 咦？有吗？
鹤乃: 我想象中的泳姿可是很帅的……
莎奈: 刚才那是什么游法呀？
鹤乃: 呵呵……我那是……
鹤乃: 自由泳和蝶泳的结合版……\n其名为「自蝶泳」！
玲奈: 你之前还自创了\n仰泳和蝶泳结合的游法吧！？
鹤乃: 啊……你说的是「蝶仰泳」吧！
玲奈: 真是的……\n你干嘛非把两种游法结合在一起啊！
鹤乃: 哼哼……这你就不懂了……
鹤乃: 1加1等于几？
玲奈: 2啊……
鹤乃: 也就是说……
鹤乃: 只要两种东西相加就会变多！
鹤乃: 变多……就等于变强！
玲奈: 哈？
枫: 这个思维好像有些跳跃呢……
桃子: 把“好像”去掉，\n她的思维确实很跳跃……
鹤乃: 这就是我的最强公式！
菲莉希亚: 算了，先不说这个……\n我们来比赛谁先游到那里吧！
鹤乃: 喂！
菲莉希亚: 冲啊！
鹤乃: 我才不会输给你！\n看我的自蝶泳！
桃子: 我们就慢慢游吧。
玲奈: 赞成～
枫: 况且我们也追不上她们俩呢……
八千代: 那我们走吧。
彩羽: 啊，大家不用管我，\n你们先去游吧。
彩羽: 我要用泳圈，\n而且我还只会打腿……
八千代: …………
八千代: 没关系，\n我们慢慢来就好。
彩羽: 好、好的！

--- [Section 2] (Source: 311011-2.json) ---
八千代: 呼……\n在这里稍作休息吧。
彩羽: 好……\n啊，鹤乃人呢？
桃子: 她还在那边游呢，
枫: 说是想再提升一下自蝶泳的速度。
玲奈: 好像菲莉希亚陪着她呢。
莎奈: 游了这么久居然还在游吗……\n真是惊人的体力呢……
彩羽: …………
彩羽: 真好啊……
桃子: 嗯？
彩羽: 咦？
彩羽: 啊……我那是……
桃子: 你是不是不小心把心声说出来了？
彩羽: 唔……那个……
彩羽: 嗯……
八千代: 也就是说……
八千代: 你想学自蝶泳？
玲奈: 原来你想的是那个吗！？
彩羽: 诶！？不、不是的……\n先不说学会自蝶泳……
彩羽: 我只是想，\n要是能摆脱泳圈该多好啊……
八千代: 摆脱泳圈……
彩羽: 是的……
彩羽: 看着鹤乃她们，\n不自觉就羡慕起来了呢……
彩羽: 只是随便想了想！嗯！\n哈哈……
八千代: …………
八千代: 那你练习不就好了吗？
彩羽: 诶？
桃子: 你指的是……\n不用泳圈练习游泳？
八千代: 没错。
八千代: 万一在海上出了什么事，\n还是会游泳比较好吧？
彩羽: 这倒也是……
彩羽: 但要我摘掉泳圈……我……
八千代: 环……
彩羽: 是……
八千代: 这种时候就要\n「不管三七二十一先行动」！
八千代: 我会帮你的，\n你就试试看吧！
彩羽: 好、好的！

--- [Section 3] (Source: 311011-3.json) ---
彩羽: 我不经意间说出的那一句话\n让我开启了摆脱泳圈的游泳练习……
彩羽: 呜……呜……呜……！
八千代: 别怕，我握着你的手呢……\n继续打腿。
彩羽: 嚎！
彩羽: （呜……脱离泳圈进到海里了！\n好可怕！）
八千代: 很好……那我放手啦。
彩羽: 八、八千代！\n求求你别放手～！
八千代: 不行！\n你要靠自己游，一下下就好！
八千代: 你必须得习惯不用泳圈游泳！
彩羽: 呜呜！
八千代: 那我放手咯，\n准备……
八千代: 嗯！
彩羽: 哇——！哇哇哇哇！
彩羽: 我、我做不到，咕噜咕噜咕噜……
八千代: 环！
彩羽: 呼……呼……呼……
八千代: 都没撑过五秒……
彩羽: 我真的……好害怕……\n呼……呼……
八千代: 你就是太害怕了，\n所以才会动不了。
彩羽: 嗯……我好怕……
八千代: 这样啊……\n那就没办法了……
彩羽: 嗯……
八千代: 那就改变练习方案吧。
彩羽: 改变方案？
八千代: 我去喊特邀教练过来。
彩羽: 特邀教练！？\n那是谁？
八千代: 那个人你也认识。
彩羽: 难道说……
彩羽: 是在练习自蝶泳的那个人吗？
八千代: 没错。\n鹤乃！你能来一下吗？
鹤乃: 啊？\n找我什么事？

--- [Section 4] (Source: 311011-4.json) ---
鹤乃: 啊？\n找我什么事？
八千代: 我想让你来教环游泳。
鹤乃: 我教彩羽游泳？
彩羽: 我、我觉得，\n还是算了吧……
八千代: 环。
彩羽: 是、是！
八千代: 从另一个角度进行挑战，\n也是十分重要的哦。
彩羽: 是、是这样啊……
八千代: 鹤乃说不定能帮你打开一个突破口……
八千代: 鹤乃，能交给你吗？
鹤乃: 唔……\n虽然我不是很懂……
鹤乃: 总之教彩羽游泳就行了对吧！
八千代: 没错。
鹤乃: 交给我吧！
鹤乃: 我会把我的鹤乃式泳法\n一个不漏都传授给彩羽的！
彩羽: 唔，教我普通的游法就可以了……
鹤乃: 不用跟我客气啦！
彩羽: 不是、那个……我、我基础很差，\n还是从头学起比较好……
鹤乃: 唔……也对。\n毕竟基础很重要呢……没错……
鹤乃: 好！\n那就从自由泳开始学吧！
彩羽: 好、好的……
八千代: 拜托你了，鹤乃。
鹤乃: 交给我吧！
彩羽: 唉……\n不知道会是怎样的教学呢……
