
---[Section 1] (Source: 311011-1.json) ---
旁白: 特賞！\nおめでとうございますー！
いろは: 嘘!?\nや、やったー！
いろは: 商店街の福引で特賞の６泊７日分の\n宿泊券を当てた私…
いろは: その宿があるのは…
いろは: わー、今日もいい天気！
いろは: 海！
いろは: というわけで\n私はやちよさんたちと一緒に旅行中！\n今日で４日目！
鶴乃: じゃあ見ててよ…
鶴乃: ほっ！
フェリシア: うわぁ…
鶴乃: …ぷはーっ！
鶴乃: どうどう？
フェリシア: ん～…なんか変テコな動きだった
やちよ: そうね、かなり
鶴乃: え？そう？
鶴乃: わたしのイメージでは\n超カッコいいのになぁ…
さな: 今のはなんていう\n泳ぎ方なんですか？
鶴乃: ふふふ…これはね…
鶴乃: …クロールとバタフライの融合…\n名付けて「クロフライ」だよ！
レナ: あんた、背泳ぎとバタフライも\nくっつけてたでしょ!?
鶴乃: ああ…「バタ泳ぎ」ね！
レナ: たく…なんで融合させるのよ！
鶴乃: …ふふ…分かってないな…
鶴乃: １足す１は？
レナ: …２よ
鶴乃: つまり…
鶴乃: 足すと増える！
鶴乃: 増える…つまり強くなる！
レナ: …はぁ？
かえで: 何か…飛躍しているような…
ももこ: いや、してるよ\n確実に…
鶴乃: これこそ、わたしの\n最強の方程式だーっ！
フェリシア: …ま、それはいーから\nあっちまで泳ごうぜー！
鶴乃: ちょっとちょっとー！
フェリシア: 行くぞー！
鶴乃: …負けるか！\nクロフライ～！
ももこ: アタシらはのんびり行こう
レナ: 賛成～
かえで: あのふたりには\n追い付けないしね…
やちよ: じゃあ、行きましょうか
いろは: あ、私のことは気にしないで\n先に行ってください
いろは: …私、浮き輪だし\nバタ足しかできないんで…
やちよ: …………
やちよ: …気にしなくていいわ\nゆっくり行きましょう
いろは: …は、はい！

---[Section 2] (Source: 311011-2.json) ---
やちよ: ふぅ…\nここらで少し休憩しましょうか
いろは: はい…\nあ、鶴乃ちゃんは…？
ももこ: まだあっちで泳いでるよ
かえで: クロフライのスピードを\nもっと上げたいんだって
レナ: フェリシアも\n付き合ってるみたいよ
さな: あれだけ泳いでたのに…\nすごいスタミナですね…！
いろは: …………
いろは: …いいなぁ…
ももこ: ん…？
いろは: …え？
いろは: あ…私…！
ももこ: もしかして…思わず心の声が\n口に出ちゃった…みたいな？
いろは: …あの…えと…
いろは: …はい…
やちよ: …それって、つまり…
やちよ: …クロフライを\nマスターしたい…と？
レナ: そっち!?
いろは: え!?そ、そうじゃなくて…\nクロフライ以前の問題ですね…
いろは: 浮き輪なしで\n泳げたら楽しいだろうなぁって…
やちよ: 浮き輪なしで…
いろは: はい…
いろは: 鶴乃ちゃんたちを見てたら\n何だか羨ましくなっちゃって…
いろは: …ただそれだけです！はい！\nあはは…
やちよ: …………
やちよ: …じゃあ、練習をすれば\nいいんじゃないの？
いろは: え…？
ももこ: 練習って…\n浮き輪なしで泳ぐ練習ってこと？
