
---[Section 1] (Source: 324022-1.json) ---
丘比: 请和我签订契约\n成为魔法少女吧
沙耶香: …………\n…………
沙耶香: 什么奇迹啊魔法少女的\n就算突然跟我说这些…
沙耶香: 想要实现的愿望…吗
沙耶香: …………
沙耶香: 脑子稍微有点混乱
沙耶香: 完全没心情做蛋糕了…
沙耶香: 但是，我都跟咲笑小姐约好了！
旁白: <Recompense>
咲笑: 那就赶紧开始吧
咲笑: 小沙耶香想做什么样的蛋糕？
沙耶香: 我想想…\n恭介姑且是在住院
沙耶香: 比起加了很多生奶油的甜蛋糕\n还是水果挞那种会比较好吧
咲笑: 看店里摆的蛋糕的话\n哪种感觉的会更好？
沙耶香: 嗯…\n啊…这个心形的好可爱！
咲笑: 那是客人专门定制的
咲笑: 用来告白的蛋糕哦
沙耶香: …告、告白…
咲笑: 但也不是专门用来告白的\n正常吃也很好吃哦
咲笑: 加了很多水果，也很健康
咲笑: 这个不就挺好的吗？
沙耶香: 也是啊…那就这个吧！
咲笑: 做点心、蛋糕的时候\n开头是最重要的
沙耶香: 是…！
咲笑: 重要的步骤\n就从制作派皮的面团开始！
咲笑: …虽然很想这么说
咲笑: 但冰箱里已经放了\n处理好的面团材料
咲笑: 所以今天就用这个吧
沙耶香: 真不愧是蛋糕店…
咲笑: 毕竟要是从零开始做面团\n就赶不上探望了嘛
沙耶香: （树莓和…蓝莓）
沙耶香: （红加仑和…\n黑莓…和）
咲笑: 哎呀，平衡感不错嘛\n肯定能做出很美味的蛋糕
沙耶香: 是的…但是\n外观好像稍微有点朴素
咲笑: 要不要把草莓对半切开\n装饰在上面？
沙耶香: 啊，听起来不错\n我试试！
咲笑: 可食用花\n也能添加几分情调哦
咲笑: 马上就完成了呢！\n加油！
沙耶香: 是！
沙耶香: 在这里放上马卡龙…
沙耶香: …完成了！！
咲笑: 辛苦了！\n做得很可爱呢！
咲笑: 我会把蛋糕放进冰箱里\n冷藏一段时间
咲笑: 在此期间，小沙耶香\n就用巧克力做张留言牌吧
沙耶香: 对哦，还没做那个来着…！\n要写点什么呢
咲笑: 要不要先试着做几个？
咲笑: 小眩会把没用上的留言牌\n通通吃掉的
沙耶香: 啊，谢谢！

---[Section 2] (Source: 324022-2.json) ---
沙耶香: （巧克力留言牌吗…）
沙耶香: （牌子也不是很大\n应该写不了很长的文字吧）
沙耶香: （要把字母形状的巧克力\n组合起来）
沙耶香: （组成字母数比较少的\n简单的单词吗…？）
沙耶香: （好，完成了！\n感觉好像不错！）
沙耶香: （l・o・v・e\n「<red>love</red>」…）
沙耶香: 哈…！
沙耶香: （不不不！\n这哪能行啊！）
沙耶香: （不就像爱的告白一样了吗！\n恭介肯定会吓一跳的）
沙耶香: （重来重来…）
咲笑: 留言牌差不多做好了吧？
沙耶香: 是的，总算做好了…！
咲笑: 做了好几种呢\n你打算用哪个？
沙耶香: 就用最后做的这个…
旁白: 铛啷铛啷
咲笑: 啊，欢迎光临
沙耶香: 我去带客人入座！
咲笑: 谢谢\n帮大忙了
沙耶香: 我把客人带到座位了！
咲笑: 谢谢，小沙耶香\n接下来就交给我吧
咲笑: 带上这个\n赶紧去医院探望吧！
沙耶香: 诶，这个盒子是…
咲笑: 我把留言牌插在了\n完成的蛋糕上
咲笑: 装进盒子里了
