
---[Section 1] (Source: 324022-1.json) ---
キュゥべえ: ボクと契約して\n魔法少女になってよ
さやか: …………\n…………
さやか: 奇跡とか、魔法少女だとか\n急にそんなこと言われても…
さやか: 叶えたい願い…かぁ
さやか: …………
さやか: ちょっと頭が混乱しちゃってて
さやか: ケーキ作りなんて\n気分じゃないけど…
さやか: でも、咲笑さんとの約束だしね！
旁白: ＜レコンパンス＞
咲笑: それじゃ、さっそく始めるわよ
咲笑: さやかちゃんは\nどんなケーキがいい？
さやか: そうですね…\n恭介、いちおう入院中だし
さやか: 生クリームたっぷりの甘いのより\nフルーツタルトとかがよさそう
咲笑: お店にあるケーキだと\nどんな感じのがいい？
さやか: えっと…\nあ…このハート型の、可愛い！
咲笑: それは、お客さんの\nリクエストで作った
咲笑: 告白用のケーキね
さやか: …こ、告白用…
咲笑: 別に告白専用ってわけじゃないし\n普通に食べても美味しいわよぉ
咲笑: フルーツもたっぷりで\nヘルシーだし
咲笑: いいんじゃないかしら？
さやか: そうですね…じゃあ、これで！
咲笑: お菓子、ケーキ作りは\n最初が肝心よ
さやか: はい…！
咲笑: 大切なのは、丁寧な\nパイ生地作りから！
咲笑: …と言いたいところだけど
咲笑: 仕込みの終わった生地の材料が\n冷蔵庫にしまってあるから
咲笑: 今日はこれを使うわ
さやか: さすがケーキ屋さんですね…
咲笑: ゼロから生地を作ってたら\nお見舞いに間に合わないもの
さやか: （ラズベリーと…ブルーベリー）
さやか: （レッドカラントと…\nブラックベリー…と）
咲笑: あら、いいバランスね\n美味しいケーキになりそう
さやか: はい…でも\nちょっと見た目が寂しいなあって
咲笑: イチゴを半分に切って\n乗せてみるとか？
さやか: あ、いいかも\nそうします！
咲笑: エディブルフラワーも\nいいアクセントになるわよぉ
咲笑: もうすぐ完成ね！\nがんばって！
さやか: はいっ！
さやか: ここにマカロンを置いて…
さやか: …できたぁ!!
咲笑: お疲れ様！\n可愛くできたわね！
咲笑: ケーキは冷蔵庫に入れて\n冷やしておくから
咲笑: その間に、チョコレートで\nメッセージプレートを作りましょ
さやか: そうだ、それが残ってた…！\n何を書こうかなぁ
咲笑: 試しにいくつか作ってみたら？
咲笑: 余ったメッセージプレートは\nまばゆちゃんと食べちゃうから
さやか: あ、ありがとうございます！

---[Section 2] (Source: 324022-2.json) ---
さやか: （チョコレートの\nメッセージプレートかあ…）
さやか: （大きなプレートじゃないし\n長い文章は無理だよね）
さやか: （アルファベットのチョコを\n組み合わせて）
さやか: （文字数の少ない\nシンプルな単語にする…？）
さやか: （よし、できた！\nいい感じかも！）
さやか: （l・o・v・eで\n「<red>love</red>」…）
さやか: はっ…！
さやか: （いやいやいや！\nこれはナシでしょ！）
さやか: （まるで愛の告白じゃない！\n恭介がびっくりしちゃうよ）
さやか: （やりなおし、やりなおし…）
咲笑: メッセージプレート\nそろそろできたかしら？
さやか: はい、なんとか…！
咲笑: 何枚か作ったのね\nどれにするつもり？
さやか: 最後に作ったこれにしようかと…
旁白: カランカラン
咲笑: あ、いらっしゃいませ
さやか: 席の案内\nあたしが行ってきます！
咲笑: ありがとう\n助かるわぁ
さやか: お客さん、ご案内してきました！
咲笑: ありがとう、さやかちゃん\nあとは私がやるから
咲笑: これを持って、急いで\nお見舞いにいってらっしゃい！
さやか: あれっ、この箱って…
咲笑: 完成したケーキに\nメッセージプレートを乗せて
咲笑: 箱に詰めておいたわ
さやか: そんな急がなくても…って\nもうこんな時間!?
咲笑: そうよ、早くしないと
咲笑: お見舞いに\n行けなくなっちゃうでしょ？
咲笑: さあ、制服に着替えて\nいってらっしゃい！
さやか: は、はいっ！
咲笑: それから、さやかちゃん…
さやか: はい…？
咲笑: がんばってね！\n私、応援してるから！
さやか: へっ…？\n…何をですか？

---[Section 3] (Source: 324022-3.json) ---
さやか: えっ
さやか: 恭介の検査\nまだ終わってないんですか？
看護師: そうなんですよ、順番が押して\n開始時間が遅れちゃって
看護師: なので、ここでもう少し\n待っていてくださいね
さやか: はい、そうします
さやか: （ケーキとCDは\nテーブルの上に置いて…）
看護師: あら、綺麗な箱ですね\nお見舞いのケーキですか？
さやか: はい…もしかして\nケーキはダメでした？
さやか: 退院も近いし、食事制限は\n特にないって聞いたんですけど…
看護師: 食べても問題ないですけど
看護師: 上条さん、左手が使えなくて\n食事がしにくそうだから
看護師: あーん、して食べさせてあげると\nいいかもしれないですね
さやか: …えええっ!?
看護師: あっ、もう行かないと！
看護師: お茶が欲しかったら\n給湯室を使っていいですから
看護師: 可愛い彼女さんが\nケーキを持って待ってるって
看護師: 上条さんに伝えておきますね！
さやか: えっ、か…彼女!?
看護師: それじゃ、ごゆっくり
さやか: あっ…ちょっと…！\n…行っちゃった
さやか: どうしよう…？\nあんな言い方されたら
さやか: 凄いケーキを持ってきたと\n勘違いされそう…
さやか: 確かにレコンパンスのケーキは\nすごく美味しいけど
さやか: 今日持ってきたのは\nあたしが作ったやつだし…
さやか: …………\n…………
さやか: ちょっと不安になってきた…
さやか: 咲笑さんは、可愛くできたって\n言ってくれてたけど
さやか: …不格好だったりしないよね？
さやか: 恭介に渡す前に\nもう１回、確認しておこうかな
さやか: （ケーキの箱を…\nそっと開けて…）
旁白: パカッ
さやか: ―さやか―\nあっ…！
さやか: ―さやか―\n…「love」って書いてある？\nなんで!?
さやか: ―さやか―\nどうしよう!?\nメッセージプレートが間違ってる！

---[Section 4] (Source: 324022-4.json) ---
さやか: ―さやか―\nどうしよう!?\nメッセージプレートが間違ってる！
さやか: これじゃ完全に\n告白ケーキじゃない！
さやか: （どうしてこのプレートに\nなっちゃったんだろ…？）
咲笑: メッセージプレート\nそろそろできたかしら？
さやか: はい、なんとか…！
咲笑: 何枚か作ったのね\nどれにするつもり？
さやか: 最後に作ったこれにしようかと…
旁白: カランカラン
咲笑: あ、いらっしゃいませ
さやか: 席の案内\nあたしが行ってきます！
さやか: （ちょうどお客さんが来て）
さやか: （どのプレートを使うか\nうまく伝わらなかったみたい…）
さやか: そういえば店を出る前に\n咲笑さんが変なこと言ってたよね
咲笑: それから、さやかちゃん…
さやか: はい…？
咲笑: がんばってね！\n私、応援してるから！
さやか: へっ…？\n…何をですか？
さやか: あれは、あたしが「love」の\nメッセージつきのケーキを
さやか: 渡すつもりだと\n勘違いしちゃったから…？
さやか: …いやいや、今は\n原因を考えてる場合じゃない
さやか: 恭介が戻ってくる前に\nなんとかしないと…！
さやか: ケーキを持ってきたことは\n恭介に伝わっちゃってるから
さやか: 渡さないわけにはいかないし
さやか: メッセージプレートを\n外してみる…？
さやか: あー、ダメだ\n外した跡が残っちゃいそう
旁白: コツ、コツ…
さやか: （あれ…\n廊下の方から足音が）
看護師の声: 上条さんの検査\nもうすぐ終わりですね
看護師の声: あ、じゃあ私\n次の方をお呼びしてきます
さやか: ――っ!?
さやか: （まずいよまずいよ！\n恭介、戻ってきちゃう！）
さやか: （うぅ…絶体絶命！）
さやか: どうしよう\nなんとか切り抜ける方法は…？
さやか: （メッセージプレートを作り直す\n材料も時間もないし…）
さやか: …………\n…………
さやか: …そうだ！
さやか: うまくいくかわかんないけど…\nとりあえず、給湯室へ！
さやか: 咲笑さん、妙にはりきってると\n思ったんだよね…
