
--- [Section 1] (Source: 330243-1.json) ---
旁白: ごちそうさまでしたー
若菜 つむぎ: ありがとう、ございましたぁ…
若菜 つむぎ: （結局私のレビューや告知を\n読んで来てくれた人…）
若菜 つむぎ: （ほとんどいなかった\n気がする…）
胡桃 まなか: …今ので最後のお客様ですね
胡桃 まなか: それでは\nこれにてイベント終了です！
阿見 莉愛: ふぅ…やっと終わったわ\nもう、くたくたよ
胡桃 まなか: 先輩、ほとんど\nサボってたじゃないですか
阿見 莉愛: あら、この美しい阿見莉愛は\nそこにいるだけで
阿見 莉愛: 集客効果が\nあるというものですわ！
胡桃 まなか: はいはい、そうですね
胡桃 まなか: あれ…つむぎさん\nそんな隅っこで何してるんです？
若菜 つむぎ: あっ、ごめんね…お客様？\nすぐ注文とるから…
胡桃 まなか: いえ、何言ってるんですか\nもう閉店の時間ですよ
若菜 つむぎ: …ホントだ\n気づかなかった…
胡桃 まなか: まったく\nそんなになるまで働かなくても…
胡桃 まなか: ほら、つむぎさん\nエネルギー補給しましょう
胡桃 まなか: はい、オムライスですよー
若菜 つむぎ: あっ…お、オム…オム…
胡桃 まなか: ほら、口開けてください
旁白: …あむ…もぐ…もぐ…\n…もぐ…もぐ…もぐ…もぐ…\nもぐもぐもぐもぐもぐもぐもぐ
若菜 つむぎ: …おーいしー!!\nやっぱまなかのオムライスだー！
若菜 つむぎ: あっ…
胡桃 まなか: ん、おかわりですか？\n材料はまだありますよ
若菜 つむぎ: 私…
若菜 つむぎ: 合わせる顔がないよー!!
胡桃 まなか: …えっ？
若菜 つむぎ: はぁ…はぁ…\nはぁー
若菜 つむぎ: …お腹減った…
阿見 莉愛: あなた…
阿見 莉愛: 本気で逃げるつもりなら\nもっと遠くに行きなさい
若菜 つむぎ: り、莉愛先輩！\nどうしてここが…
阿見 莉愛: お店の出口からでも\nあなたの背中、見えてたわよ！
若菜 つむぎ: だって…１日中おやつぬきで\n働いてたから、気力がなくて…
阿見 莉愛: はぁ…どうして\n飛び出したりなんかしたの？
若菜 つむぎ: 自信満々でイベント企画したのに\n全然お客さん来なかったし…
若菜 つむぎ: やっと来てくれたお客さんも\n莉愛先輩目当てだったし…
若菜 つむぎ: 結局私はただの、食べることしか\n取り柄のない中学生なんだなって
若菜 つむぎ: 思い知ったというか…
阿見 莉愛: …………あなた、\n何を言ってるの？
阿見 莉愛: あなたには\n取り柄があるじゃない
若菜 つむぎ: えっ、私に…？
阿見 莉愛: 食べることが好きで\n食べることに情熱があって
阿見 莉愛: それで十分じゃない\n何が不満なの？
若菜 つむぎ: えっと…\nまなかの役に立てなくて…
阿見 莉愛: 聞きなさい！\n本当の凡人ってのはね
阿見 莉愛: いくら努力しても\n『普通』から抜け出せない…！
阿見 莉愛: そんな人のことを言うのよ!!
若菜 つむぎ: え、あ、あの…先輩…？
阿見 莉愛: もし私があなただったら一度の\n失敗で落ち込んだりしない！
阿見 莉愛: 求めるものを手に入れるのに\n手段なんて選ばないわ！
若菜 つむぎ: 手段を、選ばず…
阿見 莉愛: …失礼\n取り乱しましたわ
阿見 莉愛: 若菜さん\n私は先にお店に戻るから
阿見 莉愛: 遅くならないうちに\n帰ってきなさい
若菜 つむぎ: …………
若菜 つむぎ: （そうだよね…\n落ち込んでなんかいられない！）
若菜 つむぎ: キューゥべえー！
キュゥべえ: やぁ、つむぎ
キュゥべえ: もしかして…キミ、契約する気に\nなってボクを呼んだのかい？
若菜 つむぎ: うん、キュゥべえ\n私と契約して、願いを叶えて…！

--- [Section 2] (Source: 330243-2.json) ---
胡桃 まなか: はああああああああっ！
阿見 莉愛: …イベントの翌日だっていうのに\n胡桃さん、ずいぶん元気ね
阿見 莉愛: この阿見莉愛を差し置いて\n目立とうなんて片腹痛いわ！
胡桃 まなか: はぁ…はぁ…
胡桃 まなか: （…昨日のまなかの料理…80点、\nいや75点といったところ）
胡桃 まなか: （不慣れなつむぎさんと先輩を\n気遣いながらだったとはいえ）
胡桃 まなか: （その程度で味付けが\nぶれるなんて…）
阿見 莉愛: ねえ、ちょっと\n無視しないでもらえます？
胡桃 まなか: （せっかくつむぎさんが\n企画してくれたイベント…）
胡桃 まなか: （満点の料理を\n提供したかったんですが…）
阿見 莉愛: ちょっと、胡桃さん
胡桃 まなか: （…いえ、反省は後です\n今は魔女退治に集中しましょう）
阿見 莉愛: ――っ!?\n胡桃さん…！
胡桃 まなか: えっ？
胡桃 まなか: くっ…！
胡桃 まなか: （全然集中できて\nないじゃないですか…！）
胡桃 まなか: （このままじゃ…！）
つむぎの声: まなか！\n下がって…！
若菜 つむぎ: 魔法少女つむぎ…参上！
胡桃 まなか: …つ、つむぎさん…!?\nえっ、な、なんで…あなたが…
若菜 つむぎ: 話はあとだよ！\nまなかは、私が守る！
胡桃 まなか: ど、どいてください…！\nそこにいたらあなたに攻撃が…！
若菜 つむぎ: 大丈夫！
若菜 つむぎ: 攻撃なんて\n私が食いとめちゃうから！
旁白: ☆ポポッ※◎▽シュッ！
旁白: ぱくっ
