
--- [Section 1] (Source: 330533-1.json) ---
？？？: 「くみちゃん！伏せて！」
牧野 郁美: …えっ…\nこの声って…
旁白: …………！？！？
？？？: 「大丈夫？ケガない？\n今、そっちに行くからちょっと待ってね」
牧野 郁美: えっ…ウソでしょ…\nゆみなの!?
友杞 ゆみ: まさか、くみちゃんも\n魔法少女になってたなんてねー
友杞 ゆみ: びっくりしちゃったっ！
牧野 郁美: それは私のセリフだよ\nいつから魔法少女やってるの？
友杞 ゆみ: うーんと…結構前だよ
友杞 ゆみ: くみちゃんが高校生になるか\nならないかの頃だから…
友杞 ゆみ: えっと…何年前かな…\nこういう計算苦手なんだよね
牧野 郁美: ふぇっ!?\nそ、そんなに前なの!?
友杞 ゆみ: うん
牧野 郁美: （魔法少女になったってことは）
牧野 郁美: （叶えたい願いが\nあったってことだよね…）
牧野 郁美: （ゆみが悩んでたなんて\n全然知らなかった…）
牧野 郁美: （あの頃は、自分のことで\n精一杯で…）
牧野 郁美: （…あれ？）
牧野 郁美: （あの頃、オーディションに\n受からなくて悩んでて…）
牧野 郁美: （ゆみに励ましてもらって）
牧野 郁美: （すぐにメイドカフェの\nバイトが決まった…）
牧野 郁美: （まるで、計ったかのように…）
牧野 郁美: （それに…あの頃から\nゆみの帰りが遅くなって…）
牧野 郁美: （部活だと思ってたけど\nまさか…！）
牧野 郁美: …………
牧野 郁美: …ねぇ、ゆみ\n私のために魔法少女になったの？
友杞 ゆみ: えっ？
牧野 郁美: 私が悩んでたから
牧野 郁美: オーディション受かるようにって\n願って魔法少女になったの…？
友杞 ゆみ: …………
牧野 郁美: ゆみ…！
友杞 ゆみ: …ううん、そうじゃないよ
友杞 ゆみ: あたしは、あたしが悔しいと\n思ったから魔法少女になったの…
牧野 郁美: どういうこと…？
友杞 ゆみ: …………前に…
友杞 ゆみ: 『くみちゃんの素敵なところ\nわかってくれる人がいれば』
友杞 ゆみ: 『くみちゃんも絶対に輝ける』
友杞 ゆみ: って言ったの覚えてる？
牧野 郁美: …うん、私、その言葉で\nまだ頑張ろうって思えた
友杞 ゆみ: あたしは、くみちゃんに\n才能があるって知ってる
友杞 ゆみ: なのに、他の人たちは\n気付いてくれなくて悔しかったの
友杞 ゆみ: だから…
友杞 ゆみ: 「くみちゃんの素敵なところを理解して\nアイドルになるきっかけをくれる人と\nくみちゃんが出会えますように」
友杞 ゆみ: そう願ったの
牧野 郁美: 私がアイドルになれるように\n…とは、願わなかったんだね
友杞 ゆみ: うんっ
友杞 ゆみ: だって、きっかけさえあれば\n絶対アイドルになれるもん
牧野 郁美: ゆみ…
牧野 郁美: …私もね\nちょっとだけ思ったの
牧野 郁美: キュゥべえに頼めば\nアイドルになれるって
牧野 郁美: でも、それは違うって思った\n私は…ううん
牧野 郁美: くみは、くみの力でアイドルに\nならなきゃダメだって思ったの
友杞 ゆみ: うーん…やっぱり\nあたしの願いも余計だったかな？
牧野 郁美: そんなことないっ！
牧野 郁美: だって、ゆみのおかげで\nくみは輝ける場所を手に入れた
牧野 郁美: それでね、くみはくみの願いで\nその場所を守ったんだよ
牧野 郁美: この時、思ったんだ
牧野 郁美: ゆみが憧れた夢…\nそして、今はくみが追いかけてる夢
牧野 郁美: それは、ゆみとくみ\nふたつの願いでつないだ\nとてもとても大切なものなんだって！
牧野 郁美: ゆみ、きっかけをくれて\nありがとう
牧野 郁美: くみたちは、夢のために\n魔法少女になったんだね
友杞 ゆみ: うんっ！\nおそろいだね
牧野 郁美: 夢のために魔法少女になった\nおそろいの私たち…
牧野 郁美: この時は\nそれがとても幸せなことに思えた
牧野 郁美: 一緒に夢を追いかけて\n魔女退治の苦悩を分け合える\nそれがとても尊いもののように思えていた
牧野 郁美: でも…\n現実はそんなに優しくなかったの…

--- [Section 2] (Source: 330533-2.json) ---
牧野 郁美: ゆーみっ！
友杞 ゆみ: わっ！くみちゃん！\n今帰り？
牧野 郁美: そうだよぉ～、今日は、お仕事も\nお休みだから一緒に帰ろっ！
牧野 郁美: くみが契約して\n１年くらい経った頃…
牧野 郁美: くみは、専門生\nゆみは、高校３年生になっていた
友杞 ゆみ: どう？
牧野 郁美: 学校のことぉ？…ん～\nあんまり変わらないかなぁ～
牧野 郁美: くみ、元々芸能科だったしぃ…\nレッスンとかはおんなじだよぉ～
牧野 郁美: ゆみはぁ、どう？\n大学の推薦大丈夫そう？
友杞 ゆみ: うん！\nスポーツ推薦はもらえた！
牧野 郁美: わぁ～！すごいっ！\nよかったぁ～
友杞 ゆみ: 試験もあるけど、\n実技がメインだって
牧野 郁美: じゃあ、大丈夫だねっ！
友杞 ゆみ: 気を抜くのはダメだけどね
牧野 郁美: ――っ!?
牧野 郁美: ゆみ！
友杞 ゆみ: うん、行こう！
牧野 郁美: ゆみと組んだくみは\n魔女との戦いで苦戦したことがなかった
牧野 郁美: 幼馴染だからかな？\n息はぴったりで負けなしだったんだよ
牧野 郁美: でも、この日は…
牧野 郁美: うぐっ…
牧野 郁美: （この魔女…\n今まで戦ってきた魔女より強い）
牧野 郁美: くみたちは\nいつになく苦戦していた
牧野 郁美: そして…消耗してきたところで\n不意を突かれて…
旁白: …………
牧野 郁美: （や、やられるっ…!?\n違うっ！狙いは…！）
牧野 郁美: ゆみっ!!\n危ないっ!!
友杞 ゆみ: 「きゃあぁああっ…！」
牧野 郁美: ゆみっ！ゆみっー！\nい、今そっちに…
旁白: …………
牧野 郁美: くっ…このぉ…\n邪魔しないでぇ!!
牧野 郁美: スポーツ推薦の実技テストを控えていたのに\nゆみは酷いケガを負ってしまった…
牧野 郁美: ゆみっ！\nしっかり、しっかりして！
友杞 ゆみ: …あっ…ぁあ…\n足が…どうしよう…
友杞 ゆみ: くみちゃん…あたし…\nあたし…もうバレーできない…
牧野 郁美: お、落ち着いてっ…\n大丈夫…絶対、大丈夫だから…！
牧野 郁美: このまま撤退して\nすぐ病院に行こう、そうすれば…
友杞 ゆみ: ムリ…だよ…このケガじゃ…\n試験に間に合わない…
牧野 郁美: そんなことない！
牧野 郁美: 何か方法が…そうだ！\n他の魔法少女の力を借りれば…
友杞 ゆみ: あたし…夢…もう…
友杞 ゆみ: あぁ…あたしたちのゆめがぁ…\nお、わっ…ちゃう…………
友杞 ゆみ: ぁああああああああっ…！
牧野 郁美: …えっ…ぇ？\nな、に…これ…
牧野 郁美: （なんで…なんで…？\nなんでゆみからバケモノが…？）
牧野 郁美: ここからは\n令ちゃんも知っているよね
観鳥 令: キミ！
牧野 郁美: …えっ…だ、誰？
観鳥 令: 自己紹介は後！\n結界が崩れる前に出るよ！
観鳥 令: その子は観鳥さんが担ぐから\n走れる!?
牧野 郁美: …あ、う、うん！\nごめんねっ、ありがとう…
牧野 郁美: 初めて見るドッペルを前に\n呆然とすることしかできなかった私を\n助けてくれたのは令ちゃんなんだから
観鳥 令: …はぁ…\nぎりぎりセーフ…
牧野 郁美: ゆみ！ゆみっ!!\nしっかりして！起きてよ！
観鳥 令: 気絶してるだけだよ\nケガは…酷いけど…
牧野 郁美: （ゆみ…大丈夫…\n大丈夫だからね…）
牧野 郁美: （治癒が得意な魔法少女もいる\nって聞いたことがあるの…）
牧野 郁美: （私が、絶対に見つけ出して\n試験までに治してもらうから…）
観鳥 令: …こんな時に悪いんけどさ…
観鳥 令: さっきの…何？
牧野 郁美: さっきの…？\nゆみから出た奴？
観鳥 令: そう
牧野 郁美: …わからない\nどうしよう…悪いものだったら…
牧野 郁美: ゆみに何かあったら…\n私…どうしたら…
観鳥 令: …………
観鳥 令: 調整屋に行こう
観鳥 令: 八雲さんなら\n何か知ってるかもしれないし
牧野 郁美: あの時…\n令ちゃんがいてくれてホントによかった\nきっと、くみだけじゃ何もできなかったから
牧野 郁美: 令ちゃん…\n改めてありがとう

--- [Section 3] (Source: 330533-3.json) ---
観鳥 令: じゃあ、観鳥さんはこれで
牧野 郁美: あのっ！\nホントにありがとうございました
牧野 郁美: みたまさんからドッペルの話を聞いて\nすぐに令ちゃんは帰っちゃったから\nこの後、何があったか知らないよね？
牧野 郁美: この後ね…\n白羽根を連れたみふゆさんが来たの
みふゆ: 失礼します
白羽根: …………
みたま: あら、いらっしゃ～い
牧野 郁美: （…誰だろう…見たことが\nあるようなないような…）
みふゆ: はじめまして、牧野郁美さん
牧野 郁美: えっ…？\n私のこと知ってるんですか…？
みふゆ: はい、自己紹介がまだでしたね\nワタシは梓みふゆと申します
牧野 郁美: （梓、みふゆ…\nどこかで聞いたような…）
牧野 郁美: あっ！\nベテラン魔法少女の！
みふゆ: そう言われることもありますね
みふゆ: さて、自己紹介はこの辺にして\n先にケガの治療を行いましょうか
白羽根: …………
白羽根: 終わりました
友杞 ゆみ: …ぅ…うぅ～ん…\nあ、れ…あたし…？
牧野 郁美: ゆみ…よかった…！\nもうどこも痛くない？
友杞 ゆみ: …あ、うん…\n全部、治ってる…
友杞 ゆみ: 治ってるよ！\nくみちゃんっ…！
みふゆ: 大丈夫なようですね
白羽根: では、これで
みふゆ: はい、ありがとうございました
牧野 郁美: あのっ！\nありがとうございます！
友杞 ゆみ: あ、ありがとうございますっ
白羽根: …いえ\nでは…
牧野 郁美: みふゆさんが連れてきてくれた\n白羽根ちゃんは\nゆみのケガを治してくれた
牧野 郁美: そのおかげで、試験にも無事間に合って\nゆみは大学に合格\n大学でもバレーができることになったんだよ
牧野 郁美: …でも、もちろん\nみふゆさんは、ゆみを治すためだけに\n来てくれたわけじゃない
牧野 郁美: みふゆさんも\nありがとうございます！
牧野 郁美: なんてお礼を言っていいか…
みふゆ: …そこまで感謝されると\n居心地が悪いですね…
みふゆ: ワタシは善意だけで\nここに来たわけではないので…
牧野 郁美: それでも、ゆみのケガを\n治してくれたことは変わりません
友杞 ゆみ: おかげで夢を\n諦めないでいられます
