
--- [Section 1] (Source: 335031-1.json) ---
みんな: いただきます！
三栗 あやめ: んん～、おいしい！
遊佐 葉月: それはよかった
静海 このは: また腕をあげたわね…
静海 このは: たまには代わるわよ？\nいつもいつもだと大変でしょう？
三栗 あやめ: げっ…！
遊佐 葉月: い、いやぁ…アタシの場合\n趣味みたいなところもあるから！
三栗 あやめ: そ、それよりさ！\nコレ、見てよ！
静海 このは: …指人形？
遊佐 葉月: わっ、３体も！\nまた面白いものを拾ってきたね
三栗 あやめ: かっこいいでしょ！
静海 このは: そうね…この子、\nキリっとしててかっこいいわ
三栗 あやめ: へっへーん！\nこのは、わかってる！
三栗 あやめ: それ、一番かっけぇから\nアヤメって名前にしたんだ
静海 このは: へぇ、他の子は？
三栗 あやめ: カコとふぇりしあ！
静海 このは: …そうなの
遊佐 葉月: かこちゃんたちと\n遊んでる時に見つけたから？
三栗 あやめ: そうそう！\n河川敷に落ちてたんだよ
静海 このは: 河川敷…
静海 このは: 川に入ってないわよね？\nもし流されでもしたら…
三栗 あやめ: ダイジョーブ！\n危ないことはしないから！
三栗 あやめ: かこもそういうの\nちょっとうるさいし…
遊佐 葉月: しっかりしてるもんねぇ
静海 このは: なら、いいけど…
三栗 あやめ: あっ、そうだ！
三栗 あやめ: 来週、かこん家で合宿する\nって話になったんだけど
静海 このは: ――っ!?
三栗 あやめ: 行ってもいい？
静海 このは: それって\nお泊まりするってことよね…
静海 このは: よそのお家でお泊まりは\n初めてだけどちゃんと眠れるの？
三栗 あやめ: 大丈夫だと思うよ
静海 このは: それにお泊まりの準備も…
静海 このは: いえ、準備は手伝えるけど
静海 このは: 帰って来る時に自分で\n荷物をまとめられる？
三栗 あやめ: た、たぶん…
静海 このは: たぶんじゃダメよ
三栗 あやめ: …行っちゃダメ？
静海 このは: ダメとは言わないけど\n心配で…
三栗 あやめ: …そうだよね
遊佐 葉月: 来週まで時間あるし
遊佐 葉月: 今日から荷物を詰める\n練習をするのはどうかな？
三栗 あやめ: 練習…
遊佐 葉月: 頑張れそう？
三栗 あやめ: うんっ、あちし頑張るよ！
静海 このは: …………
遊佐 葉月: あやめもやる気だし…
遊佐 葉月: 何よりもう中学生なんだから\n一度くらい、いいんじゃない？
遊佐 葉月: マギウスの騒動も終わって\n神浜の町も落ち着いて来たし
静海 このは: …そうね
静海 このは: お世話になりますってご挨拶して\n食事の片づけを手伝ったりして…
静海 このは: かこさんのお家の人に\nご迷惑をかけないようにできる？
三栗 あやめ: できる！
静海 このは: あと、夜更かしはしないように\n歯磨きもちゃんとして…
静海 このは: あっ、お菓子の食べ過ぎもダメよ\nもちろんジュースもね
三栗 あやめ: うん！\n約束するよ
遊佐 葉月: つまり、お泊まり\n行ってもいいってことだね？
静海 このは: …ええ
三栗 あやめ: やった！\nありがと、このは！葉月！
三栗 あやめ: おやすみなさーい！
遊佐 葉月: はい、おやすみ
静海 このは: おやすみなさい
遊佐 葉月: …ねぇ、このは
静海 このは: なに？
