
---[Section 1] (Source: 710061-1.json) ---
旁白: カリカリ…
アリナ: …………
みふゆ: …………
みふゆ: …あの…アリナ…？
みふゆ: 確かに、モデルになるとは\n言いましたけど…
みふゆ: なんで…制服なんですか…？
アリナ: …………
みふゆ: …あの…聞いてます？
アリナ: …………
みふゆ: …聞いてませんね
みふゆ: …はぁ…
みふゆ: （…今更、制服なんて…）
みふゆ: （…制服、かぁ…）
みふゆ: まだ制服を着ていた頃は…
みふゆ: …………
やちよの声: みふゆ！
みふゆ: あっ！やっちゃーん！\nよかった！こっちです
やちよ: ごめんなさい！\n撮影が長引いちゃって…
みふゆ: 気にしてませんよ
みふゆ: それより、見てください！\n夕焼けがすごくきれいです
やちよ: …本当ね\nすごくきれい…
みふゆ: はい！
みふゆ: やっちゃんと一緒に\n見れてよかった
やちよ: みふゆ…
みふゆ: 隣には\nやっちゃんがいた
みふゆ: か～な～え～さーん！
かなえ: ――っ!?
かなえ: み、みふゆ…\nびっくりした…
みふゆ: えへへ、すみません
みふゆ: ギターの練習ですか？
かなえ: うん…\n早く上手くなりたくて
みふゆ: かなえさんがいた
ももこ: …………
ももこ: あー、ハズレだ…
みふゆ: そして…\nももこさんが
メル: だから、ボクの占いに\n任せてくださいって言ったのに…
ももこ: 占いは禁止だろ\nで、メルはどうだった？
メル: …ボクもハズレです
みふゆ: メルさんが
鶴乃: 完食！\nどうだ!!
鶴乃: アタリ！
鶴乃: 幸運の力は伊達じゃないね！\nふんふん！
みふゆ: 鶴乃さんが
みふゆ: 何やってるんですか？
やちよ: それは…\nアイスの棒？
鶴乃: あっ！\nやちよとみふゆだ！
メル: 皆で当たり付きアイスを買って\n誰が当てられるか競ってたんです
ももこ: 鶴乃以外、ハズレだったけどね…
鶴乃: ふたりも買っておいでよ！
メル: なんなら、ボクが当たりかどうか\n占ってあげますよ！
みふゆ: 皆がいた
アリナ: …アハッ
みふゆ: （思えば…\nあの頃が一番幸せで…）
アリナ: ～～～～～っ!!
みふゆ: （自由だったかもしれない）
アリナ: サイッコーーーなんですケド!!
みふゆ: ――っ!?\nな、なんですか…!?
アリナ: あっ！ちょっと！\nフリーズ！
みふゆ: えっ…？えぇ…？
アリナ: ハァアアアアッー！\nエクセレントだったヨネ
アリナ: 制服だけじゃ物足りなかったケド\nさっきの表情は悪くないカラ
みふゆ: …すみませんが\nよくわかりません…
アリナ: 大人と子どもの間で\n揺れ動くのって
アリナ: 死と生の狭間でもがくのに\n通じるものがあるワケ！
みふゆ: …………
みふゆ: （大人と子どもの間で\n揺れ動く、か…）
みふゆ: （大切な人たちと離れて）
みふゆ: （大人に近づけば近づく程…\n自由が遠ざかっていく）
みふゆ: …ままならないものです
アリナ: ソレ！そのアンニュイな顔！\nそのまま動かないでヨネ
みふゆ: えっ…む、無理ですよ…
