
--- [Section 1] (Source: 730163-1.json) ---
心的声音: 真良～
粟根心: 早上好！
加贺见真良: 早上好……
粟根心: 抱歉让你久等了……
加贺见真良: 你居然会迟到，真难得。
粟根心: 嗯……\n我来的路上把手套丢了。
粟根心: 找了一圈没找到……
加贺见真良: 我也来帮你找吧？
粟根心: 啊，不用了！\n没关系的！
粟根心: 我回去路上再找找……
粟根心: 如果找不到，\n再织一对就行了。
加贺见真良: 这样啊……
粟根心: 唉……
粟根心: 不过……没有手套的话，\n今天实在有点冷啊……
加贺见真良: 要牵手吗？
粟根心: 咦？！\n为什么？！
加贺见真良: 因为我的手很暖。
粟根心: 是吗？\n我可以摸一下吗？
粟根心: ……
粟根心: 不会吧……\n为什么这么暖和？！
粟根心: 真良你是体温偏高的那类人吗？\n还是说你发烧了……
加贺见真良: 不，是多亏了这个。
粟根心: 这个是……暖宝宝？
加贺见真良: 我放到口袋里了。
粟根心: 原来是这样啊，吓我一跳……
加贺见真良: 要用吗？
粟根心: 谢谢，不过没关系的。
粟根心: 让你冻着就不好了……
加贺见真良: 不用在意。\n我有两个暖宝宝。
粟根心: 咦？！这样啊？
加贺见真良: 你不要吗？
粟根心: ……\n那……我就不客气了……
粟根心: 好暖和～
加贺见真良: 这下没有手套也没关系了吧。
粟根心: 今天是没问题了……
粟根心: 但比起暖宝宝，\n我果然还是比较喜欢手套。
加贺见真良: 手套就那么好吗？
粟根心: 滑雪的时候你不也戴了吗？
加贺见真良: 那是因为在雪山里，\n而且是租来的。
加贺见真良: 平常有暖宝宝就够了，\n再说我也没有手套。
粟根心: 咦？\n这样啊……
粟根心: ……
粟根心: 好……我决定了！
粟根心: 真良，我们去手工艺品店吧？！
加贺见真良: 去做什么？
粟根心: 你没有手套吧？\n我想给你织一对！
加贺见真良: 不用那么费心……
粟根心: 我就是想这么做嘛！
粟根心: 好不好，一起去吧？\n找一款适合你的毛线！
加贺见真良: 嗯……
