
--- [Section 1] (Source: 730251-1.json) ---
れんの日記: ○月×日\n今日は休校日\n町で偶然、梨花ちゃんと会った
五十鈴 れん: …ぁ…
綾野 梨花: あれっ…？\nれんちゃん!?
綾野 梨花: こんなトコで会うなんて\nすごい偶然！
綾野 梨花: 運命感じちゃうね、うん!!
五十鈴 れん: ぇっ…と、その
綾野 梨花: あはは、冗談じょーだん！
綾野 梨花: 今日は制服じゃないんだね\n家で着替えてきたの？
五十鈴 れん: ぁっ…これは…
綾野 梨花: …ん、何？
綾野 梨花: そのカッコに、特別な理由が？
綾野 梨花: ドキッ
綾野 梨花: ――っ!?
五十鈴 れん: …ぇ…？
綾野 梨花: …………\n…………
五十鈴 れん: （…急に、黙っちゃった\nどうしたのかな…）
五十鈴 れん: ぁ…えっと、このカッコ…\n今日は学校…お休み、だから
五十鈴 れん: …大学の、推薦入試で\n校舎…使うから、って
綾野 梨花: そ…そうなんだ…
綾野 梨花: あー…れんちゃん\n市立大附属だもんね
五十鈴 れん: ぅ…うん…
綾野 梨花: あたしは普通に放課後だよ\nうらやましーな
綾野 梨花: …………
五十鈴 れん: （梨花ちゃん…いつもと違う？）
五十鈴 れん: …ぁ…あの、梨花ちゃんは\nお買い物…？
綾野 梨花: うん、いつものプチプラコスメ…\nれんちゃんは？
五十鈴 れん: ぁ…本屋さん…
五十鈴 れん: 好きな、エッセイストさんの…\n新刊を…買いに
綾野 梨花: そーなんだ…
綾野 梨花: …………
綾野 梨花: あのさ…れんちゃん
五十鈴 れん: ぇ…なに？
綾野 梨花: その服…
五十鈴 れん: この…服…？
綾野 梨花: え、えっと…\n可愛いよね！
五十鈴 れん: ぅ…うん\n…あ、ありがと
五十鈴 れん: （やっぱり…なんか変…？）
五十鈴 れん: （この服…着て会うの…\n初めてじゃない、はずなのに…）
五十鈴 れん: 梨花ちゃん
綾野 梨花: えっ…\nあ…なに!?
五十鈴 れん: …もしかして…私\n何か…悪いこと、言った…？
綾野 梨花: そ、そんなんじゃないよ！\nれんちゃんは何も悪くない！
綾野 梨花: ただ…いざとなると\nやっぱり言い出しにくくて…
綾野 梨花: …………
綾野 梨花: …れんちゃん
五十鈴 れん: は…はぃっ！
綾野 梨花: じー
五十鈴 れん: （す、すごく真剣な目…！）
綾野 梨花: うん…間違いない\n絶対、勘違いなんかじゃない
綾野 梨花: …これまで言えなくて、ごめん
綾野 梨花: れんちゃん、あたしね
五十鈴 れん: は…………はぃ？
綾野 梨花: その襟、裏返しだと思う
五十鈴 れん: …はい？
五十鈴 れん: ぁ…
五十鈴 れん: ぁああぁあー!!
綾野 梨花: たぶんさ、それ…\n取り外しできるヤツなんだよね？
五十鈴 れん: ぅん…こないだ…\nクリーニングに、出して
五十鈴 れん: 今日、家を出るとき…\n逆に…つけちゃったんだと思う
五十鈴 れん: …恥ずかし…
綾野 梨花: お手洗いで直せばいいよ\nそこに1090あるし！
五十鈴 れん: …ありがと\n梨花ちゃん…やっぱり、優しい
綾野 梨花: そ、そ～かな？
五十鈴 れん: 傷つけちゃ、いけない…と思って\n言い出せなかったんだよね…？
綾野 梨花: そ～言われればそ～だね
綾野 梨花: うん、秒で指摘しなかった\n梨花ちゃんはマジ優しい！
五十鈴 れん: ふ…ふふっ…
五十鈴 れん: そう\n梨花ちゃんは\nとっても優しい
木崎 衣美里: おぉー、偶然!!\nりかっぺ、れんぱすー!!!
綾野 梨花: おっ、えみりん！
綾野 梨花: ん…んんん？
木崎 衣美里: どーかした？
綾野 梨花: えみりん、その袖…\nシャツ裏返しじゃね？
五十鈴 れん: 梨花ちゃんは\nとっても優しい…（？）
