
--- [Section 1] (Source: 501009-1_afTl5.json) ---
？？？: 怎么了？
麻美: 那边的两位……
菲莉希亚: 唔！
菲莉希亚: 好花哨的打扮……
莎奈: 那、那个……
麻美: 我是巴麻美……
麻美: 为悲伤的人们送来幸福！
菲莉希亚: 啊～？
麻美: 就是要让你们幸福！
菲莉希亚: 喂，完全不懂你在说什么……
菲莉希亚: 你听明白了吗？
莎奈: 啊，呃……那个……
莎奈: 我不明白……
麻美: 你们是否理解并不重要。
麻美: 只要感受就行了！
菲莉希亚: 越发听不懂了……
麻美: 如果因为悲伤低下了头……
麻美: 那么只要抬起头，\n眼前的景色就会完全不同！
麻美: 如何呢……\n把头抬起来吧？
菲莉希亚: 哎～为什么啊……！
麻美: 来吧！
菲莉希亚: 喂，到底为什么……
麻美: 来吧！
菲莉希亚: 为什么！
麻美: 来吧！
菲莉希亚: 为什么！
麻美: 来吧！来吧！来吧！
菲莉希亚: 唔！太强硬了……
莎奈: （菲莉希亚被她的气势压倒了！）
麻美: 抬起头看看天空！\n你能看到新的风景！
麻美: 来吧！
菲莉希亚: 我、我明白了！\n只要抬头看就行了吧？
菲莉希亚: 来，莎奈也抬起头吧！
莎奈: 啊，好、好的……！
菲莉希亚: 来吧！
麻美: 当悲伤之人抬头仰望时，\n愿天空闪烁光芒……
麻美: 然后……向星星许下愿望！
菲莉希亚: 哇！\n天空在闪闪发光！
莎奈: 好漂亮！
菲莉希亚: 这是什么！\n魔法吗？
菲莉希亚: 喂，你！\n难道你会魔法……
菲莉希亚: 咦？\n不见了？
莎奈: 哈！\n没、没人影了！
菲莉希亚: 她、她到底是什么人？
旁白: ＜还有一个人看到了\n在夜空中散开的点点光芒……＞
彩羽: 哈啊、哈啊……
彩羽: （刚才的光确实在这附近！）

--- [Section 2] (Source: 501009-2_afTl5.json) ---
彩羽: （刚才的光确实在这附近！）
莎奈: 啊，彩羽！
彩羽: 莎奈！
彩羽: 还、还有菲莉希亚！
莎奈: 彩羽！
菲莉希亚: 唷……
彩羽: 莎奈向我说明了来龙去脉……
彩羽: 然后……
彩羽: 拜托了，也说给我听吧……
彩羽: 菲莉希亚讨厌圣诞节的理由……
菲莉希亚: …………
菲莉希亚: 唉……
菲莉希亚: 为什么都想让我说啊～
莎奈: 菲莉希亚！
菲莉希亚: 好吧！
菲莉希亚: 为了不谈这件事而四处逃避，\n我也觉得很火大！
菲莉希亚: 对我自己火大……
彩羽: 然后，菲莉希亚告诉了我们……
菲莉希亚: 我并不是讨厌圣诞这个节日……
菲莉希亚: 只是会想起很多事……
菲莉希亚: 以前，我父母还活着的时候……
菲莉希亚: 我们一起准备圣诞节的派对……
菲莉希亚的母亲: 来，菲莉希亚！\n把房间装饰成圣诞风格吧！
菲莉希亚的父亲: 我买了蛋糕～！\n还有鸡肉！
菲莉希亚的母亲: 嗯，太好了！菲莉希亚！
菲莉希亚的母亲: 来吧！那就开动吧！
菲莉希亚: 我看着街上闪耀的灯光……
菲莉希亚: 就会想起圣诞蜡烛
菲莉希亚: 我家每年都会准备，\n蜡烛很漂亮的～
菲莉希亚: 但是，一想到烛火……
菲莉希亚: 就会逐渐想起那些家伙的事……
莎奈: 那些家伙？
菲莉希亚: 就是魔女！
旁白: liжx哇亦试绪！！
菲莉希亚: 总之，圣诞节会让我\n想起父母亲的事……
菲莉希亚: 同时也会想起杀死父母的魔女……
彩羽: 是啊……菲莉希亚的双亲\n被魔女杀害了……
彩羽: 所以，菲莉希亚对魔女\n有着强烈的愤怒和憎恨……
菲莉希亚: 这样不断重复，我已经累了……
菲莉希亚: 所以我讨厌圣诞节……
莎奈: 原来是这样……
彩羽: 菲莉希亚……
彩羽: 抱歉……
彩羽: 我什么都不知道，还……
菲莉希亚: 没关系……
彩羽: 可我还是要拜托你……
彩羽: 一起……参加圣诞派对吧？
