
--- [Section 30] (Source: 509930-30_ztalD.json) ---
旁白: …………ジュー…
若菜 つむぎ: 焼けてきた…！\nそろそろいいかな？
七瀬 ゆきか: コホッコホッ…
若菜 つむぎ: 先輩、大丈夫？\n風邪ひいた？
七瀬 ゆきか: いえ…\nこの煙…なんだか刺激が…
若菜 つむぎ: 串焼きから出た煙…？
七瀬 ゆきか: …うっ…\n眩暈も…少し、座ります…
若菜 つむぎ: コホッ…\n確かに刺激が…
胡桃 まなか: あっ、みつけましたよ！\nこんなところにいたんですね
胡桃 まなか: …何をやってるんですか？\nふたりとも顔色悪いですよ？
若菜 つむぎ: 木の枝を串の代わりにしようと…
若菜 つむぎ: あ、れ…？\nなんかぐるぐるする…
胡桃 まなか: ――っ!?
胡桃 まなか: この枝はまさか…！
胡桃 まなか: すぐに火を消して\n救急車と先生を呼びます…！
若菜 つむぎ: えっ…？\n大げさだよ…
胡桃 まなか: 大げさじゃありません！
胡桃 まなか: とりあえず座って！\n大人しくしていてください！
若菜 つむぎ: まなか…？
胡桃 まなか: この枝は毒を持ってます！\n最悪死にますよ！
若菜 つむぎ: えっ…！\nそ、そんな…
胡桃 まなか: まったく七瀬先輩まで巻き込んで\n何をやってるんですか！
若菜 つむぎ: …ごめん、なさい…
若菜 つむぎ: 私が、串代わりにした枝は\n煙を吸っただけでも\n死に至る危険性があるらしいキョウチクトウ\nっていう植物だったらしい…
若菜 つむぎ: 実際にキャンプで串代わりにして\n死んじゃった人もいるとか…
若菜 つむぎ: 直接串焼きを食べなかったのと\n魔法少女だったおかげで\nゆきか先輩と私は無事だったけど…
若菜 つむぎ: 私たちが入院したことを重く見た学校は\n学園祭の開催を中止…
若菜 つむぎ: 私のせいで…\nごめんなさい…
若菜 つむぎ: ゆきか先輩…\nごめんなさい…！
七瀬 ゆきか: もう泣かないでください
七瀬 ゆきか: わたしもつむぎちゃんも\n無事退院できましたし…
七瀬 ゆきか: 今回はそれでよかった\nってことにしましょう
若菜 つむぎ: 先輩っ…！\n本当にごめんなさい…
七瀬 ゆきか: はい\n次は気を付けましょうね
若菜 つむぎ: うんっ…！

--- [Section 31] (Source: 509931-31_ztalD.json) ---
若菜 つむぎ: えっと…\nまだまだヘルプは来てるね
胡桃 まなか: ひとつずつ\n確実に対応していきましょう
若菜 つむぎ: うんっ！
若菜 つむぎ: 学園祭を無事開催させるために\nどんどんトラブル解決だー！

--- [Section 32] (Source: 509932-32_ztalD.json) ---
旁白: ありがとう、実行委員さん
若菜 つむぎ: どういたしまして！
胡桃 まなか: では、まなかたちはこれで
若菜 つむぎ: 他にヘルプは…
若菜 つむぎ: …うんっ\nひと段落みたい…！
胡桃 まなか: お疲れさまです
若菜 つむぎ: まなかも、\n付き合ってくれてありがとう
若菜 つむぎ: まなかがいてくれたから\n全部のトラブルを阻止できたよ
胡桃 まなか: 大げさでは？\n頑張ったのはつむぎさんです
若菜 つむぎ: そんなことないよ～…
胡桃 まなか: …ヘロヘロじゃないですか
胡桃 まなか: そうだ\nうちに寄っていきませんか？
若菜 つむぎ: ふぇ…？
胡桃 まなか: オムライス、\nごちそうしますよ
若菜 つむぎ: 行く！
若菜 つむぎ: あ～、おいしかった！\n生き返ったよ！
胡桃 まなか: いつもながら、見ていて\n気持ちのいい食べっぷりですね
胡桃 まなか: まなかも作った甲斐があります
若菜 つむぎ: えへへ～、また作ってね！
胡桃 まなか: もちろん！
胡桃 まなか: それにしても\n忙しい１日でしたね…
若菜 つむぎ: うん…
旁白: 学園祭を中止しろ\nこれは、警告だ\nもし、中止しなければ…\n次々にトラブルが起こり\n恐ろしい事態になるぞ
若菜 つむぎ: っていう、脅迫状から始まって…
若菜 つむぎ: 『まなかのクラスと麻友先輩のクラスで起こった\n発注したはずの物とは違う物が届くトラブル…\nなんで、犯人が中等部と高等部の発注書を\n書き換えたのかは不明だし…』
若菜 つむぎ: 『そして、一晩で教室中に繁殖した\nかのこ先輩のクラスのキノコ…\nそういえば、原因は不明だし\n犯人がどうやったのかも不明…』
若菜 つむぎ: そういえば、透明人間が\nどうとか…？
胡桃 まなか: 防犯カメラに映ってなかった\nっていう噂ですか？
胡桃 まなか: 校内に詳しい内部犯という方が\n現実的では？
若菜 つむぎ: うーん、そうだよね
若菜 つむぎ: そういえば…
若菜 つむぎ: 『さなと莉愛先輩のクラスが使ってた\n教室で起こった火災感知器の誤作動は\n感知器が古くなってたのが原因』
若菜 つむぎ: 『沙優希先輩を取り合ってるって\n月夜先輩からの連絡が来た件は\nそもそも文化部と運動部の不仲が原因…』
若菜 つむぎ: 結局、これって\nどうやって起こしたんだろう？
胡桃 まなか: …機械に詳しく\n心理学に詳しい犯人だったとか？
若菜 つむぎ: 明日香先輩が“複数犯かも”って\n言ってたのがホントなら…
若菜 つむぎ: 詳しい人で分担した\nってことかな…？
胡桃 まなか: まだ、複数犯かはわかりませんが\nその可能性もありますね…
若菜 つむぎ: それにしても\n犯人の真意がわからないよ…
若菜 つむぎ: 『学園祭を中止したいはずなのに\n学園祭の顔ともいえるアーチは\n土台が少し壊れただけだったし…』
若菜 つむぎ: 『学園祭の大トリである後夜祭の\n串焼きバーベキューは串がダメになっただけ\n食材だったらもっと大変だったのに…』
若菜 つむぎ: 邪魔したいのはわかるけど\nちょっと惜しいカンジだよね
胡桃 まなか: 状況を制御できていないか…\n実は臆病なのかもしれません
若菜 つむぎ: 臆病？
