
--- [Section 1] (Source: 512307-1_oSzyU.json) ---
？？？: ―？？？―\n…………くっ…
美琴 椿: ―椿―\nもう、動けないようですね…
美琴 椿: ―椿―\n本物のスズネをどうしたのか\n喋らないというのなら…
美琴 椿: ―椿―\nとどめです…！
日向 茉莉: くっ…
美琴 椿: マツリ…!?\n何故です!?
日向 茉莉: 何故って…
日向 茉莉: ツバキとスズネちゃんが\nケンカしてたら
日向 茉莉: 止めるに決まってるよ…！
粟根 こころ: …大丈夫？
？？？: …ええ、なんとか…
美琴 椿: 騙されないでください…
美琴 椿: それはスズネのフリをした\n偽者です…！
日向 茉莉: 違う…！
日向 茉莉: ここにいるのは\n本物のスズネちゃん…
日向 茉莉: よく見てよ、ツバキ…！
美琴 椿: …っ…
美琴 椿: …また…
天乃 鈴音: ―鈴音―\n…ツバキ…
美琴 椿: ―椿―\n…えっ…？\nスズ、ネ…？
美琴 椿: ―椿―\n（さっきまで確かに\n影…だったのに…）
美琴 椿: ―椿―\n（いったい…これは…？）
日向 茉莉: ―茉莉―\nスズネちゃん、でしょ…？
美琴 椿: ―椿―\n…………
美琴 椿: ―椿―\n…そんな…じゃあ…私は…\nスズネを…この手で…？
美琴 椿: …っ…
日向 茉莉: ツバキ!?\nどこにいくの…!?
美琴 椿: 今は…\nひとりにしてください…！
日向 華々莉: …………
日向 華々莉: あーぁ、もう少しだったのに\n魔法、切れちゃったかぁ…

--- [Section 2] (Source: 512307-2_oSzyU.json) ---
天乃 鈴音: …………
日向 茉莉: スズネちゃん、\n何があったの…？
こころ＆まさら: …………
日向 華々莉: スズネちゃん…！
天乃 鈴音: …カガリ…
日向 華々莉: 大丈夫…？
天乃 鈴音: …私、\nツバキを説得できなかった…
天乃 鈴音: ツバキを守りたいのに\nわかってもらえなくて…
天乃 鈴音: 話しているうちに
天乃 鈴音: ツバキは私のことを偽者だと\n思い込んだみたいで…
日向 華々莉: …大丈夫だよ\nスズネちゃんは間違ってない
天乃 鈴音: でも…
日向 華々莉: きっとツバキは魔女に\n悪い幻でも見せられてたんだよ
日向 華々莉: 魔女は私達から\nツバキを取り上げようとしたんだ
天乃 鈴音: …………
日向 華々莉: スズネちゃんは\n悪い幻からツバキを守った
日向 華々莉: スズネちゃんは間違ってないよ\n大丈夫…ね？
天乃 鈴音: …うん
天乃 鈴音: （でも…もしもツバキが\n幻に囚われなくて）
天乃 鈴音: （それでも、調べるのを\nやめようとしなかったら…）
天乃 鈴音: （私は…力づくで止めようと\nしなかったって言いきれる…？）
天乃 鈴音: （私は…\nツバキを諦められるの…？）
日向 華々莉: スズネちゃん、一緒に…\n私達でツバキを助けよう
天乃 鈴音: …………
天乃 鈴音: …うん
日向 茉莉: …………
日向 茉莉: …ねぇ、カガリとスズネちゃんは
日向 茉莉: 何が起こっているか\n知ってるの…？
天乃 鈴音: …………
天乃 鈴音: 大丈夫よ\nマツリは何も心配しないで
日向 華々莉: そうそう
日向 華々莉: 私とスズネちゃんで\nなんとかするから大人しくして
日向 茉莉: でも…！
日向 華々莉: 言ったよね？
日向 華々莉: 邪魔しないでって
日向 茉莉: …………
日向 華々莉: 行こう、スズネちゃん
天乃 鈴音: ごめんなさい、マツリ…
日向 茉莉: …やだよ…
日向 茉莉: 絶対に何かが…\nよくないことが起こってるのに…
日向 茉莉: マツリだけ、\n何も知らないままなんて…
日向 茉莉: そんなの…やだ…
粟根 こころ: …………マツリ…
日向 茉莉: ふたりは、どうしてこんなことに\nなっているのか…
日向 茉莉: マツリより、知ってるよね…？
加賀見 まさら: 知ったら後悔するかもしれない
日向 茉莉: それでも知りたい
日向 茉莉: マツリは\n何も知らないでいて…
日向 茉莉: 全部終わった後に\n聞かされるなんて嫌だよ
日向 茉莉: だから、ちゃんと知って…\nどうするかは自分で決めたい
粟根 こころ: …………
日向 茉莉: 何があっても\n受け止めるから…
日向 茉莉: お願い\n教えて
粟根 こころ: 私は…\n話してもいいと思う…
加賀見 まさら: …わかった\n話せることは話すわ
加賀見 まさら: “あちら”で起きてることも\n含めてね…
日向 茉莉: あちら…？
