
--- [Section 10] (Source: 513210-10_N0dw3.json) ---
旁白: ピロン♪
三栗 あやめ: きたきたっ！
三栗 あやめ: このは！葉月！\n今日も依頼いっぱいだぞーっ！
静海 このは: ええ、そうね
遊佐 葉月: 那由他さんの依頼を機に\n用心棒を始めたわけだけど…
遊佐 葉月: みたまさんとリヴィアさんに\n宣伝をお願いして正解だったね
遊佐 葉月: お代は高くついたけど…
遊佐 葉月: 思ったより早く情報が広まって\n連日、こうして依頼がくるしね
静海 このは: それに、最初の依頼主が\n那由他さんだったおかげか
静海 このは: ユニオン以外の魔法少女からも\n依頼がきてる
遊佐 葉月: アタシらが中立な立場で活動する\n用心棒って認識されてる証だね
三栗 あやめ: ねぇねぇ葉月！\nこの依頼どうかな!?
三栗 あやめ: 「やる」って返信していい？
遊佐 葉月: こらこら、焦らない
遊佐 葉月: 依頼を引き受ける前に\n３人で決めた条件を確認しないと
三栗 あやめ: あ、そうだった…
遊佐 葉月: それじゃ…
遊佐 葉月: 「条件その１\n依頼主は神浜で活動する魔法少女に限り\n所属するグループは問わない」
三栗 あやめ: 「条件その２\n専守防衛が基本\n他の魔法少女を傷つけるような依頼と\nの石に絡む依頼は断る」
静海 このは: 「条件その３\n報酬はグリーフシード\n依頼に魔女退治が含まれる場合は\n獲得したグリーフシードを依頼主と共有する」
静海 このは: …今、届いている依頼は…
静海 このは: 条件１と条件２は\n問題なさそうに見えるわ
静海 このは: 報酬としてのグリーフシードも\n提供可能と書いてあるし
静海 このは: どの依頼を受けても\n大丈夫そうね
遊佐 葉月: うん
三栗 あやめ: よっしゃー！\nじゃあこの依頼から受けようよ！
静海 このは: いいわ\nあやめから返信してあげて？
三栗 あやめ: はーい！
遊佐 葉月: …用心棒、\nやっぱり始めて正解だったよね
静海 このは: ええ…気持ちや考え方も\n前向きになってきた気がする
遊佐 葉月: と言うと？
静海 このは: 何て言えばいいのかしら…
静海 このは: …前は“変わらないこと”が\n最善だと思ってたから
静海 このは: 私たちが周りに合わせて変化を\n迫られるのは理不尽だと思ってた
静海 このは: でも今は…周りに合わせて\n変わらないといけないとしても
静海 このは: その変化が自分たちのためになる\nってわかるし
静海 このは: 行動が変わっても、私たちの軸は\n変わってないって自信を持てるの
遊佐 葉月: …そっか
遊佐 葉月: アタシもさ、最近３人の雰囲気が\n明るくなってきた気がしてたんだ
遊佐 葉月: なんでかなって考えてたけど…\nこのはと同じだってわかったよ
静海 このは: 同じ…
遊佐 葉月: アタシたちが自分たちらしく\nいられるから、ってこと！
静海 このは: …そうね…
三栗 あやめ: ほい！返信終わりー！
三栗 あやめ: このは！葉月！\n次の依頼はこれだよー！

--- [Section 11] (Source: 513211-11_N0dw3.json) ---
旁白: 依頼者：柚希ほとり\n依頼内容：魔女を相手に特訓するので\nコーチングしてもらえませんか？
柚希 ほとり: よ、よろしくお願いしみゃ…！
柚希 ほとり: うぅ…噛んじゃった…
静海 このは: こちらこそよろしくね
三栗 あやめ: 魔女なんか相手にしなくても\nあちしが特訓してやるのに！
三栗 あやめ: ほらほらっ！
柚希 ほとり: わわっ…!?\nぼ、暴力反対～！
遊佐 葉月: こらこらあやめ
遊佐 葉月: アタシらはほとりちゃんに\n雇われた用心棒なんだよ？
遊佐 葉月: ほとりちゃんを困らせて\nどうするの
三栗 あやめ: うぅ…ごめん、ほとり…
静海 このは: ふふ…驚いたでしょ
静海 このは: あやめの前のめりな姿勢は\nとても魅力的よね
柚希 ほとり: は、はぁ…？
静海 このは: それで…私たちは用心棒だけど\n依頼はコーチングでいいの？
静海 このは: 見たところ…魔法少女になりたて\nというわけでもないわよね
柚希 ほとり: あ…うん…
柚希 ほとり: ユニオンの女の子がさらわれた\nって話も聞いたし…
柚希 ほとり: 妹や友だちが危険なときに
柚希 ほとり: ボクひとりでも\n守れるようになりたくて…
三栗 あやめ: その気持ち、あちしもわかるぞ！
柚希 ほとり: あ、う、うん…！
遊佐 葉月: いつもは誰かと一緒に\n行動してるの？
柚希 ほとり: はい…妹や友だちと一緒です
柚希 ほとり: でも、いつも一緒にいられるとは\n限らないし…
柚希 ほとり: ひとりでも魔女を倒せるように\n強くなりたいんです…！
遊佐 葉月: なるほどね～\nほとりちゃんは努力家だね！
柚希 ほとり: えっ、えっ!?\nそんな…ボクなんか全然ダメで…
