
--- [Section 51] (Source: 513251-51_wFvmE.json) ---
院長: いいかしら、皆さん…
院長: しっかりと手をつないで\n支え合って生きていきましょうね
静海 このは: 信じられるのは私たちだけ…\n他人なんか信用できない…\n３人が生き抜くために、支え合って…\n誰よりも３人の命を優先しないと…
静海 このは: そう思っていたけど、私たちが神浜に来てから\nあやめには友だちができて\n私と葉月は、信頼できる魔法少女に出会って\n色んなことが動き始めた…
静海 このは: でも、私たちの事情とは関係なく\n自動浄化システムが発生した神浜には\n様々な信条の魔法少女たちがやって来て\n私たちの想いもすれ違うようになっていた…
遊佐 葉月: アタシらは３人の命を優先して\n今まで中立に生きてきた
遊佐 葉月: だけど、あやめが友だちを\n助けようとすれば
遊佐 葉月: ３人の命を優先できない可能性が\n出てくる…
遊佐 葉月: つまり…今のアタシらは\n命の優先度がブレているうえに
遊佐 葉月: 中立も保ててないんだ
遊佐 葉月: 報酬をもらって魔法少女を守る\n“用心棒”になろう
遊佐 葉月: ３人が中立に生き抜くための\n新しい手段になると思わない？
静海 このは: でも…本当にうまくいくの…？
遊佐 葉月: やってみないとわからないけど
遊佐 葉月: アタシらは変わる時なんだよ\n３人の将来のために…
三栗 あやめ: ねぇ、このは！\nよーじんぼーをやってみようよ！
静海 このは: …やりましょう
三栗 あやめ: このは…！
静海 このは: これからも３人で生きるために\n私たちは変わる必要があって…
静海 このは: そして、葉月とあやめが\nもう覚悟を決めているなら…
静海 このは: 私も、覚悟を決める…
静海 このは: …魔法少女としての生き方を\n変えるって約束するわ
三栗 あやめ: あちしも！
遊佐 葉月: アタシも
静海 このは: ３人で生き抜くために\n魔法少女としての生き方を変えたい…
静海 このは: 私たちは、那由他さんの依頼をきっかけに\n本格的に用心棒としての活動を始めて\n様々なグループの魔法少女たちから依頼を受けた
静海 このは: 依頼をこなす中で、私たちは知っていった…\n私たちと同じ境遇を生きる魔法少女たちは\nそれぞれに夢があって\nみんなが前を向いて生きてるんだって…
静海 このは: 用心棒としての活動はいつの間にか\n私たちが自分の将来と向き合う\nきっかけにもなっていて\nひとりの人間としてこれから何をしたいのか\n少しずつ考えるようになっていた
静海 このは: あの時までは…
遊佐 葉月: ―葉月―\n紗枝さん…！
静海 このは: ―このは―\n…まさか…死んで…？
遊佐 葉月: ―葉月―\nさっきの攻撃が\nソウルジェムに当たったんだ…
三栗 あやめ: ―あやめ―\nおーい、何かあったのか!?\n葉月の声が聞こえて…
三栗 あやめ: ―あやめ―\n…うそ…………\n紗枝…………？
静海 このは: ―このは―\nあやめ、これ以上は見ないで！
静海 このは: 私たちは…依頼主の桐野紗枝さんを\n死なせてしまった…
紗枝の妹: ん…
遊佐 葉月: 大丈夫…？
紗枝の妹: …お姉ちゃん…？
三栗 あやめ: ――っ!?
三栗 あやめ: …………
静海 このは: 大丈夫…？
静海 このは: あなた、このぬいぐるみを\n探してる途中に
静海 このは: 崩れてきたコンテナに\n巻き込まれそうになったのよ
紗枝の妹: え…!?
遊佐 葉月: この辺は人気もないし危ないから\nもう遊んじゃダメだからね？
紗枝の妹: ご、ごめんなさい…
遊佐 葉月: うん…いい子だね
紗枝の妹: あの…お姉ちゃんはどこ…？
遊佐 葉月: …アタシらは見かけなかったな
三栗 あやめ: …………
遊佐 葉月: …暗いし、家まで送るよ\n場所はわかる？
紗枝の妹: うん、こっちだよ
静海 このは: …………
遊佐 葉月: さて、妹さんは無事に帰せたけど\nこれからどうする？
静海 このは: この時間ならまだ、\nみたまさんがいると思うし…
静海 このは: 私は調整屋に行って\n紗枝さんのことを話してくるわ…
遊佐 葉月: …それがいいね
遊佐 葉月: みたまさんの宣伝のおかげで\n用心棒の依頼が増えたわけだし…
遊佐 葉月: …ってなると、リヴィアさんにも\n事情を伝えたほうがいいね
静海 このは: そっちは葉月とあやめに\n頼めるかしら…？
遊佐 葉月: うん、わかった
三栗 あやめ: ねぇ、このは、葉月…
静海 このは: 何？
三栗 あやめ: よーじんぼーの活動は\n続けるの…？
静海 このは: …正直、私は色々と考えたいわね\nこの先のこともあるし…
遊佐 葉月: それに、この状態でいつも通り\n依頼を受けるわけにもね…
三栗 あやめ: だよね…
静海 このは: みたまさんとリヴィアさんには\n活動休止もあわせて伝えましょう
遊佐 葉月: うん…
三栗 あやめ: …………

--- [Section 52] (Source: 513252-52_wFvmE.json) ---
みたま: そう…そんなことが…
静海 このは: なので私たち、用心棒の活動は\nしばらく休みます…
みたま: わかったわ…
みたま: うちに問い合わせがあっても\n休止してるって伝えておくわね
静海 このは: すみません…お願いします
静海 このは: それじゃ…
みたま: …………
みたま: …このはさんたち、\n大丈夫かしら…
静海 このは: …………
静海 このは: （用心棒としての\n活動を始めた以上…）
静海 このは: （いつか失敗することもある\nって想定はしてたのに…）
静海 このは: （こんなに堪えるなんて…）
静海 このは: …………
静海 このは: …それなら、用心棒を始めて\n正解だったわね
静海 このは: あやめが将来を考える\nきっかけにもなったんだもの
遊佐 葉月: このはにとっても\n良かったでしょ？
遊佐 葉月: 変わっていくことを前向きに\n捉えられるようになったんだし
静海 このは: ええ、まぁ…ね
静海 このは: …………
静海 このは: （私たちのことを変えてくれた\n活動だったけど…）
静海 このは: （このまま続けることは\nできない…）
静海 このは: ただいま…
三栗 あやめ: …おかえり…
