
---[Section 1] (Source: 101804-1_CBbvi.json) ---
旁白: ―新西区―
枫: （从这个地方，\n到木乃美的花店应该很近吧。）
枫: （要赶快通知她！）
枫: 可是，说不定她已经……\n被杀掉了……
枫: 呜……
枫: …………
枫: ……啊！
枫: （不可以这么畏畏缩缩的！）
枫: （我已经从桃子和玲奈那儿\n得到了很多力量！）
枫: 附近有魔法少女的反应……
枫: 好像是不认识的人。\n是感知到了魔女而现身的吗？
枫: （咦，不对……这附近……）
枫: 呜呀！
枫: 什、什什什什、什么！？
黑翼: 呜呜……
枫: 黑、黑翼！
枫: 呃、那个！
枫: 听说你们要消灭大家……
黑翼: 呜啊啊！
枫: 哇！这、这是怎么了！？
黑翼: 呜……
枫: 啊、啊呜啊呜……
桃子: 好啦，振作一点，枫。
玲奈: 又不停地啊呜啊呜了吗？
枫: 要、要加油才行！
黑翼: 呜呜……
枫: 诶，这边也有……
枫: 连这边也有！？
枫: 啊呜啊呜……\n这么多，我一个人……
春名木乃美: 枫！
枫: 木、木乃美！
春名木乃美: 这是怎么一回事啊！？
枫: 之、之后再跟你解释，\n那个，拜托了！跟我一起战斗！

---[Section 2] (Source: 101804-2_CBbvi.json) ---
枫: 呼……呼……\n谢谢你，木乃美……
春名木乃美: 嗯……不、不用谢……
春名木乃美: 她们真的太强了，\n吓了我一跳……
春名木乃美: 不过刚刚那些穿黑斗篷的人……
春名木乃美: …………
枫: 怎么了，木乃美？
春名木乃美: 难道……\n佳子也是被这些人给……
枫: 佳子！？\n她怎么了！？
春名木乃美: 她刚才……
春名木乃美: 浑身是伤地跑到花店来，\n然后就昏过去了……
枫: 怎么会这样！？
春名木乃美: 她在昏过去之前，\n告诉我要小心黑衣人……
春名木乃美: 所以我就在想她指的\n是不是刚才那些穿着斗篷的人。
枫: 应该……就是她们吧……
枫: 呜……刚才那些人，\n说是要歼灭神滨的魔法少女……
春名木乃美: 歼灭！？
春名木乃美: ……这是怎么回事？
春名木乃美: 算了，稍后再说……
春名木乃美: 现在得尽快\n拿到悲叹之种才行。
枫: 佳子的情况……\n这么糟糕吗？
春名木乃美: 嗯……她的魔力消耗很大。
春名木乃美: 所以我现在\n才会在寻找魔女。
枫: 那我也来帮忙！
枫: 等找到之后\n我再来跟你说明情况！
春名木乃美: 嗯，谢谢你。
枫: 不用这么客气。
枫: 你们两个\n都是我重要的朋友！

---[Section 3] (Source: 101804-3_CBbvi.json) ---
夏目佳子: 呜呜……嗯……
夏目佳子: 木乃美……\n还有，枫……
春名木乃美: 呼～太好了～
枫: 是啊，\n能赶上真是太好了……
夏目佳子: 麻烦你们了……
枫: 你现在能起来了吗？
夏目佳子: 嗯……
夏目佳子: 先前动不了好像是因为魔力\n耗尽了，不是伤势的问题……
春名木乃美: 真的吗？
夏目佳子: 真的，我现在就算\n这样活动一下都没事……
春名木乃美: 哦……
春名木乃美: 那我去煮些\n可以安神的甘菊茶过来。
春名木乃美: 好了，枫。\n跟我们说说吧？
春名木乃美: 刚才的那些人到底是谁？
夏目佳子: 刚才的？
枫: 我们也被\n身穿黑斗篷的人袭击了。
夏目佳子: ——！？
夏目佳子: 她们说的歼灭……是要把\n这座城市的魔法少女都消灭掉吗？
枫: 是、是的……
枫: 出现在我们面前的人是这么说的，\n要把我们歼灭……
枫: 我一点实感都没有。
枫: 结果发现刚刚的那些人\n的确是认真的……
春名木乃美: 那些穿着黑斗篷的人……
春名木乃美: 你之前也见到过吗？
枫: 嗯……见过……
枫: 但之前\n她们不是这个样子的。
枫: 那时候她们给人的感觉\n要平静得多。
夏目佳子: 可是她们袭击我的时候……
夏目佳子: 好像完全没有\n听到我说的话……
夏目佳子: 只是一个劲地在呻吟着……
枫: 我也不明白……
枫: 她们为什么会变成现在这样……
夏目佳子: 嗯……说来也是……
夏目佳子: 可是……\n她们为什么想杀掉我们呢……
枫: 因为我们……
枫: 妨碍了魔法少女的解放……
夏目佳子: 魔法少女的……解放？
枫: 就是……那个……
枫: （如果要跟她们解释的话……）
枫: （就得把变成魔女的事\n说出来了……）
夏目佳子: 枫？
枫: （该、该怎么办呀……）
枫: 总、总之解放确实是件好事啦。
枫: 但她们的做法却很糟……
枫: 她们制造了神滨的<blue>传闻</blue>，\n还培育了魔女。
夏目佳子: 培育魔女！？
春名木乃美: 制造传闻……\n是指她们在散播什么传闻吗？
枫: 啊呜啊呜……
枫: 总、总总总、总之\n先去调整专家那儿吧！
枫: 我有点解释不清楚。
枫: 不过只要去了那儿，\n应该就能了解整件事情的原委了！
春名木乃美: 好、好的！
春名木乃美: 那枫你呢？
枫: 我还要去找其他的魔法少女。
黑翼: 呜啊啊！
枫: （颤抖……）
枫: （玲、玲奈和桃子\n应该也在附近。）
枫: （她们两个都会\n去找调整专家的吧。）
枫: 我、我……\n我也一起去调整专家那儿！
枫: 咦？
枫: 啊，是八千代的电话。
