
---[Section 1] (Source: 207601-1_IXGlf.json) ---
テレビの声: 来週もまた見てネ！
さな: すん…すん…
さなの弟: ん？\nさな姉さん、何泣いてるの？
さな: あ、えっと…\nミクにゃんが死んじゃって…
さなの弟: ミクにゃん…？
さなの弟: えっ、待って\nまさか、さな姉さん…
さなの弟: アニメのキャラが死んで\n泣いてるの!?
さな: あ…
さなの弟: ねえ、兄さん聞いてよ\nケッサクだ
さなの弟: さな姉さんはアニメのキャラが\n死んで涙を流してるんだよ
さなの兄: まったく…\nどうしようもないな
さなの兄: いいか？
さなの兄: アニメや漫画、\nそれからゲームに絵本…
さなの兄: こんなのは全部\n「作り物」なんだ
さなの兄: 目の前にある絵や文章なんてのは\nくだらない非現実なんだ
さな: …………
さなの兄: それを死んだとか生きているとか\n一喜一憂してどうする？
さなの兄: こんなのは作ってる奴らも\n喜んでる奴らも全員
さなの兄: ただ現実から\n逃げようとしてるだけ
さなの兄: 自分を慰めるための\n現実逃避なんだ
さなの兄: 早く大人になって\n現実を見ろ
さなの兄: 二葉家の人間でいたいなら
旁白: バッ
さな: …………夢…？\n寝ちゃってた…？
さな: （そうだ、絵本を描こうとして\nでも、だんだん眠くなって…）
さな: …………
さな: （…イヤな夢だったな…）
さな: （でも…ミクにゃん…？\nそんなキャラは知らないし…）
さな: （そもそもあんな会話も\nあの兄弟とした記憶はない…）
旁白: 「ただ現実から逃げようとしてるだけ」
さな: （それなら\nあれは誰の言葉…？）
さな: …………
さな: （そっか…\n私の言葉だ…）
ねむ: <blue>うわさ</blue>を残すのは諦めていたんだ
さな: あ…
ねむ: だから、さながアイを残したい\nと思ってくれたことが嬉しいんだ
ねむ: ありがとう
さな: （絵本を作ることは\nやっと見つけた私の夢で…）
さな: （ねむちゃんが喜んでくれて\n作ることの意味を感じられた…）
さな: （だけど…絵本を読むことも\n描くことも現実逃避なら…）
さな: （なんの力も持たない…\n意味のないこと…）
さな: （私はそれに気づいて）
さな: （だから、あれ以来…\n１行も書けなくなったんだ…）
旁白: ピンポーン
さな: …！\nは、はーい…

---[Section 2] (Source: 207601-2_IXGlf.json) ---
さな: えっ…みんなのところを\n見て回ってるんですか…？
かごめ: はい…郁美さんが亡くなったり…\nその…色々ありましたから…
かごめ: 今の魔法少女の様子を取材して
かごめ: ありのままの姿を伝えるのが\n私にとっての使命のひとつ
かごめ: なので、まずは\nみかづき荘のみなさんからと…
さな: …………
さな: （リアル…現実…）
かごめ: …不謹慎…だとは思います…
さな: えっ…\nいや、そんな…
かごめ: いいんです、私も逆の立場なら\n良い気分じゃないと思います…
かごめ: でも、リィちゃんのおかげで\n伝えるべきことがわかるなら
かごめ: 魔法少女のみんなから嫌われても\n覚悟を持って進むべき
かごめ: …ってアルちゃんも言ってて…
アルちゃん: ＜そこは恥ずかしがらず\n最後まで自分の言葉で言おうよ＞
さな: そうなんですね…
かごめ: ところであの…\nみかづき荘のみなさんは…？
さな: あ、ええと…
さな: たしか…いろはさんは\nケガをした人たちの治療に…
さな: やちよさんは竜真館で\n作戦会議をしてるかと…
さな: 他のみんなも\n用事があるみたいで…
かごめ: そうでしたか\nタイミングが悪かったですね…
さな: …私だけ何もなくて\nだから絵本を…
かごめ: …？
さな: …………
かごめ: …またあとで来た方が\n良さそうですね…
さな: あの、その場合…\n今からどこに向かうんですか…？
さな: みんなを見て回ると\n言っていたので…
かごめ: そうですね…\nさすがに治療してるところや
かごめ: 作戦会議に顔を出すのは\n気が引けるので…
かごめ: ひとまず迷惑のかからない\nところを順に当たります
かごめ: ちょっと心配ですが\nリィちゃんも守ってくれるので
かごめ: 結界で魔女退治をする\n魔法少女なんかも追いかけたり…
さな: 結界…！
かごめ: 他に魔法少女がいる\n場所となると…ええと…
さな: あの、だったら私が\n付いていっちゃダメですか…？
かごめ: えっ…？
さな: 私、盾が武器なので\nかごめさんを守れます…
さな: 結界で魔女がいても平気ですし…
さな: それに私、いろはさんたちと\nよく一緒にいるので…
さな: 私がいれば、取材先のみなさんの\n警戒心も薄まるかと…
さな: 神浜の魔法少女限定ですが…
かごめ: …あ、ボディガード…\nということでしょうか…？
かごめ: 確かにリィちゃんとさなさんの\n盾があれば、確実に安全です
かごめ: 私としては嬉しいですけど\n本当にいいんですか…？
さな: はい、大丈夫です\nよろしくお願いします…
かごめ: こちらこそ、とても助かります\nよろしくお願いします
さな: はい…！
さな: （いつまでも現実逃避なんて\nしてちゃいけない）
さな: （現実と向き合って\n行動しないと…！）
さな: （そして今、かごめさんは\nウワサの力を使って）
さな: （魔法少女を\n救おうと頑張ってる…）
さな: （そんなかごめさんを\n守ることが）
さな: （今、私にできる\n現実での行動…！）
