
---[Section 1] (Source: 207803-1_69ea8.json) ---
アオ: ―アオ―\nだからこそ人に支配されずに支配する
静香: ―静香―\n故に人を導くことが道理であり
十七夜: ―十七夜―\n人を罰することが許される
みたま: ―みたま―\n謝罪がなければ滅びも辞さない
４人: 私たちはネオマギウスの一員として\nこの神浜市を掌握する
みたま: わたしたち\nやったのよね
十七夜: ああ、やりきったな…
みたま: ふふ、ちょっと清々しい気分
十七夜: そうか…
ひめな: 姫君
ひめな: ん？
十七夜: 次の自分たちの行動はなんだ？\n何をすればいい？
ひめな: ふふ、焦んなくていーよ\nなぎりん
ひめな: ここからは「待ち」の時間
ひめな: 裏でコソコソするのは\nもうやんなくていいの
ひめな: これからの計画と準備は\n見えるように進めるつもりだから
十七夜: それは、他のグループの連中と\n正面からぶつかるということか…
十七夜: 準備が不十分な状態である以上\n見切り発車だと思うが…
ひめな: ん～…なんていうかね
ひめな: ヒコ君的には、\n今こそ競争するときみたい
ひめな: 実はこうでしたって\nあとから言われて負けを知るより
ひめな: リアルタイムで衝突した方が\n負けたことを実感できるし
ひめな: 心が折れるでしょ？
ひめな: だから、他のグループの人とは\nなるべくしっかり戦って
ひめな: 心の底から敗北感を味わわせて\n抵抗する気を削ぎたいんだよね
十七夜: …………
ひめな: 反対意見でもある？
十七夜: いや、微塵もない
十七夜: あくまで敵に対しても\n魔法少女至上主義なのだな
燦: そろそろ宝崎市ね
ひめな: あ、ほんとだ\n話しすぎちゃった
ミユリ: お見送りありがとうございました
ひめな: それじゃーまたね\nバイバイ
みたま: ええ
十七夜: 失礼する
十七夜: …神浜を滅ぼしたら\nその後はどうするつもりだ
みたま: …そうねぇ
みたま: たぶん身勝手に絶望して\n死ぬのかしら
十七夜: …まあ、だろうな
みたま: 止めてくれる？
十七夜: どうだろうな
十七夜: 今回ばかりは自分も\n絶望しないという保証はない…
みたま: そうよね
みたま: わたしたちのせいで\nみんないなくなるんだもの
十七夜: …………
みたま: なに？
十七夜: 淡々としているな\nいつも通りの八雲だ
みたま: ここまで足を突っ込めば、\nもう怖いものなんてないもの
十七夜: 吹っ切れて当然かもしれんな
みたま: じゃあ十七夜\nわたしはこの辺りで失礼するわ
十七夜: ん、なんだ？\n調整屋でも寄るのか？
みたま: まさか、寄らないわよ\nミィが居るかもしれないし
みたま: …………わたしね、\nもう家にも帰ってないの
十七夜: …！\nまあ、そうだろうな
十七夜: ではこの辺りに、\n仮の住まいがあるということか
みたま: そういうこと
みたま: どう？\n十七夜も寄ってく？
十七夜: 遠慮する
みたま: …十七夜はまだ吹っ切れないのね
十七夜: そうだな、自分はまだ\n思い切りが足りていないようだ
十七夜: …それこそ、情の問題だろう…
十七夜: …家族の待つ\n我が家に帰るとする
みたま: それがいいわ\nまた明日
みたま: …………ねえ十七夜
十七夜: どうした
みたま: …わたしたちって東西の争いや\nマギウスの計画とか
みたま: たくさんの\n困難を乗り越えてきたでしょう？
十七夜: そうだな
みたま: そして今は、この町に留まらず\n色んな時代や空間に繋がる
みたま: 果てなしのミラーズを\n前にしている
十七夜: 何が言いたい
みたま: …滅びをもたらす力ってね\n実はわたしが抗えば抗うほど
みたま: それを乗り越えようとして\n危険性が増すのかもしれない
みたま: 必ず願いを成就させるために
みたま: それなら神浜市を滅ぼした方が\n未来は幸せかもしれないわ
十七夜: それが八雲の言う\n『滅びの潮流』に乗った理由か…

---[Section 2] (Source: 207803-2_69ea8.json) ---
十七夜: …………
旁白: ～～♪～～♪
十七夜: む…？
十七夜: 父さんか\nどうした
十七夜の父: 十七夜！\n大変なんだ！
十七夜の父: 今どこにいる!!
十七夜: な、なんだ…！\n今は新西区だが…！
十七夜の父: そうか…！\nちょ、ちょうどよかった
十七夜の父: 急いで病院に行ってくれ！
十七夜の弟: …………\n…………
十七夜: …父さんと母さんは\n今急いで向かってるらしい…
十七夜の弟: うぅ…
十七夜: いったい何があったんだ…！
十七夜: 骨折しているらしいが\n車にでもハネられたのか…！
十七夜の弟: …やっぱり\n父さんや姉さんの言う通り…
十七夜の弟: どんなことがあっても\n手を出しちゃダメだった…
十七夜: どういうことだ…
十七夜の弟: この間、西のヤツと\nケンカしたって言ったろ…
十七夜の弟: そいつらに報復されたんだよ
十七夜: 人にやられたのか\nそ、そのケガ…！
十七夜の弟: タイマンで負けたわけじゃないぞ\nか、囲まれて…
十七夜: どうでもいいっ！
十七夜: 警察…警察は…！
十七夜の弟: さっき話したけど変だった
十七夜の弟: まともに取り合うつもりが\nないみたいで…
十七夜: ――っ!?
十七夜: なんでだっ!!
十七夜の弟: わかんないよ…
十七夜の弟: 最初に話した警官は\nしっかり聞いてくれたんだけど…
十七夜の弟: スーツの刑事さんが来たら\n急に冷めてあっさりして…！
十七夜: っ…！
十七夜: …………
十七夜の弟: 関係あるかわかんないけど…
十七夜の弟: …ケンカしたアイツ…\nバックになんかいやがった…
十七夜: どういうことだ
十七夜の弟: 囲ってきた奴らの中にひとり、\n見たことのあるヤツがいた
十七夜: 誰だ
十七夜の弟: …ってグループのヤツで…
十七夜: …………！
十七夜: 間違いないのか…
十七夜の弟: うん、それは間違いない…
十七夜: （そのグループの名前は\n八雲から聞かされていた…）
十七夜: （以前の選挙で、西の候補を\n妨害していたグループだ…）
十七夜: （この病院の院長に\n投石したのもそのグループ…）
十七夜: （それも西側の自作自演で…）
十七夜: （自分たちも東を貶める\nエサにされるぐらいなら…）
十七夜: …そのグループの拠点を教えろ
十七夜の弟: え…？
十七夜の弟: ね、姉さんやめろ…！\n何をするつもりだ…！
十七夜: 次に何かあるようなら、\nこちらから食らいにいく
十七夜: 言わないなら覗かせてもらうぞ

---[Section 3] (Source: 207803-3_69ea8.json) ---
十七夜: 裏口から失礼する
店長: あら、なぎたん\n今日は非番よね？
十七夜: シフトについて相談しにきた
十七夜: 少々、家の事情で\n立て込んでいて
十七夜: 今日から数日間、\nまたシフトに入れそうにない…
十七夜: 迷惑をかけて申し訳ない…
店長: まあ、そんなのメールで\n言ってくれればいいのに…
十七夜: …………
店長: …どうしたの？
十七夜: 気のせいかもしれないが\n今、おネェさま…
十七夜: 少し、ホッとしなかったか？
店長: ――っ!?
店長: そ、そんなことないわ
店長: なぎたんという戦力に\n助けてもらえないんだもの
十七夜: そうだな…隣のお店も\n休業との張り紙があったし…
十七夜: うちの店も\nしばらく忙しくなりそうだ
十七夜: にもかかわらず\n力添えできないのは申し訳ない
店長: 気にしないで
十七夜: …………
旁白: まって、なぎたん
十七夜: む…？
旁白: …あのね、このお店…\n少し前から、脅されてるの…！
十七夜: なにっ…！
十七夜: どういうことだ\n誰の仕業だ
旁白: おネェさまは\n隠してたみたいだけど…
十七夜: （またその集団の名前か…！）
十七夜: （八雲から聞かされ…\n昨日弟を襲った…！）
旁白: …………
十七夜: だが、どうして\nうちの店が標的に…
旁白: …………！
十七夜: おネェさまも\nおネェさまだ
十七夜: こんな大変な目に遭っているなら\n相談すればいいものを…
旁白: …………
十七夜: …………ああ、そうか\n襲撃された原因は…
十七夜の弟: 違う、この前の選挙だ\nアレで東の印象が悪くなったんだ
十七夜の父: その会社から連絡があってな
十七夜の父: 採用がなかったことになった…
店長: とはいえ、あまりお家の事情を\n明け透けに話すモノじゃないわ
十七夜: …自分か…！
十七夜: 自分が大東区の出身だから…！
旁白: 違う、まだ\nなぎたんのせいじゃない
十七夜: まだ…？
旁白: 選挙の後からちょくちょくね、\nそういう人たちが
旁白: 大東区の人を雇うなって\n脅してきたのは本当…
旁白: でも、おネェさまは\nその脅しを拒んでる状態
旁白: まだなぎたんのことは\nバレてない…
旁白: だけど、別のお店で\nバレたところもあって…
十七夜: まさか、あの休業中の…！\nアレは襲撃を受けての…!?
旁白: …………
旁白: だからお願い！\nお店を辞めろとは言わない！
旁白: でも、出身地だけは\n絶対に口外しないでっ…！
十七夜: …………ああ、当然だな\n約束しよう
旁白: …………
旁白: …うっ…うぅ…
十七夜: なぜ泣く…
旁白: だってぇ…
旁白: ごんなこどお願いされる\nなぎたんが可哀想でぇ…
旁白: ごめんねぇ…
十七夜: 自分で言っておきながら\n謝るとは…
十七夜: …いや、言いづらいことを\n言わせてしまったようだな…
十七夜: ありがとう
十七夜: 今のでまたひとつ\n吹っ切れたかもしれない
十七夜: では…行ってくる
十七夜: …………手を、掛けに

---[Section 4] (Source: 207803-4_69ea8.json) ---
旁白: ドサッ…
十七夜: ハァ…ハァ…
旁白: うぅ…
旁白: 苦しい…痛い…
旁白: 殺してくれ…
旁白: 何も見えない…
十七夜: ハァ…ハァ…
十七夜: …………
十七夜: やって…しまったのか…\n自分は、人間を相手に…
十七夜: …………
十七夜: （まだ自分が、\nこの者たちに比べ…）
十七夜: 人を手に掛ける…
十七夜: その一線を越えるほどの虚しさを\n抱えていないと思っていた…
十七夜: …いよいよ、秩序を保つために\n人を害するのを是としてしまった
十七夜: すまない…
十七夜: みんな、すまない\n自分はもう…
？？？: 「戻れると思うな」
十七夜: 誰だ
？？？: ここまでお前はやったんだ\nもう進むしかない
十七夜: …………
？？？: 戻れると思うな
？？？: あのヌルくも心地のいい\n素晴らしき日々に
？？？: お前はもう、戻る資格も可能性も\n持ち合わせていない
？？？: もう自分は誰かの優しさを感じ\n温もりを得ることはできない
十七夜: …………
？？？: だがまあ、よく考えてみろ
？？？: そもそも、\n本来のお前はどっちだ？
？？？: 冷静なフリをして、\n怒りを蓄えてきたのが自分だろう
十七夜: 違う、自分は変わろうとしたんだ
？？？: でも、変われなかった\nということだ
十七夜: 悔しいな
？？？: だが前向きになれ、自分\nお前は解放感を覚えている
？？？: 今、お前を満たしている\n感情はなんだ？
？？？: 真っ黒か？
？？？: 違うんだろ？\nわかるぞ
十七夜: …その通りだ
十七夜: 期待していたよりずいぶんと\n晴れやかな気分だ…
？？？: そうだ\nお前は今、前に進んでいる
？？？: いや、天辺か
？？？: お前は今日、超えられないと\n思っていた一線を超えた
？？？: 人を手に掛けられたんだ\nだからこそ、こんな言葉を贈ろう
？？？: 平等のためなら\n出てくるものを打て
？？？: 人を含めた\n全てを平らげろ
？？？: 不毛となった滅びこそ\n真の平等だ
十七夜: …………ふふっ
十七夜: 全てを平らげろ、か…
十七夜: ああ、その通りだな
十七夜: よくぞ言った\n自分の中の自分よ
十七夜: 神浜市における\n負を生み続ける歴史を壊して
十七夜: 些細な対立など\n忘れてしまうような大悪党になる
十七夜: それが愛する人を\n苦しめるとしても…
？？？: ああ、それこそが\n真の救いだ
十七夜: …ふふっ
十七夜: 皮肉なものだな
十七夜: かつてマギウスの翼が\n成し得なかったことを
十七夜: 今、自分が成そうとしている
十七夜: 大丈夫、大丈夫だ自分
十七夜: 自分の夢は\n諦めなければきっと叶う
十七夜: 自分は一線を超えられた…\n超えられる人間だった
十七夜: もう何も恐くない
十七夜: 全てを平らにしてみせよう
？？？: ああ、行ってこい
十七夜: …………
十七夜: 覚悟はできた
旁白: 昨日未明、神浜市に拠点を置く\n反社会的勢力の事務所が襲撃を受けました
旁白: 被害者は全て、事務所にいた構成員で\nその多くが意識不明の重体とのことです
旁白: 唯一意識を取り戻した被害者によると\n襲撃をした犯人は\nたったひとりの少女とのことですが
旁白: 証言に要領を得ないことも多く\n警察はあらゆる線を踏まえ\n捜査を進めていく方針です
