
---[Section 1] (Source: 400010-1.json) ---
旁白: 「你玩得挺开心的嘛。枫」
枫: 这还用说！
枫: 嗯？\n刚才的声音是……
玲奈: 你在和我的冒牌货一起玩啊？\n哼～……？
枫: 玲、玲奈本人！？
阿见莉爱: 哎哎！？
彩羽: 真、真的吗！？
玲奈: 你们愿意相信我吗……？
枫: 那、那个……
玲奈: 呼……
玲奈: 你跑到哪里去了，枫！\n居然敢让玲奈等你，太差劲了！
玲奈: 好气啊！真差劲！\n啊～真窝火啊……！
枫: 是、是玲奈本人！
彩羽: 和枫说的一字不差……！
阿见莉爱: 某种意义上讲，\n还真是厉害啊。
玲奈: 而且，捏脸蛋有什么好玩的？\n嗯？嗯？
枫: 这个嘛……！\n那个、那个……！
玲奈: 你这样子……！
枫: 对～不～起～！
玲奈？: 呀！
玲奈: 会被偷袭的啦！
枫: 哇！？
彩羽: 什么时候……！
阿见莉爱: 偷偷掏出武器来了……！
玲奈？: 真讨厌……难得我打算\n偷偷刺穿你呢……
玲奈？: 狠狠地、狠狠地……\n刺穿枫的肚子！
玲奈: 啊～真讨厌……长着玲奈的脸，\n做事方法却这么惹人厌！
枫: 谢、谢谢你……玲奈！
玲奈: 事后咱们再好好聊聊吧。
枫: 遵、遵命～！
彩羽: 玲奈！
玲奈: 彩羽……\n你也来这里了啊。
彩羽: 嗯、嗯！\n然后，我遇见了枫……
玲奈: 那位是？
阿见莉爱: 你问我？\n我是神滨第一的……！
玲奈？: 哇咿！
阿见莉爱: 呀～！
玲奈？: 让玲奈也加入你们吧！\n我们一起互相残杀吧～！
彩羽: 莉爱！\n你不要紧吧！
阿见莉爱: 没、没事！\n我美丽的容貌是不会被撼动的！
玲奈: 她叫莉爱啊。\n总之请多指教。
阿见莉爱: 我会多多指教的！
玲奈: ……怪人。
阿见莉爱: 你、你说什么！
玲奈？: 都～说～了～！\n让我也加入你们嘛！
彩羽: 玲奈，她要攻击过来了！
玲奈: 啧！
桃子: 看招！
玲奈？: 好痛～！
桃子: 这个玲奈的冒牌货\n真是怪模怪样的啊！
八千代: 哎，不过多亏如此，就算远远看去，\n也能立刻发现她是冒牌货。
彩羽: 桃、桃！子！\n还有……八千代！
八千代: 枫，\n我找到这家伙了哦。
桃子: 你只是偶然遇到我的吧！
枫: 所、所有人都到齐了！\n太好了！
枫: 呃……你、你们都是本人吧！
玲奈？: 谁知道呢～？
玲奈: 吵死了！
八千代: 这个嘛……
八千代: 就用实力来证明，我们到底是不是\n本人吧……怎么样？
桃子: 啊，这主意不错。\n输掉的人就是冒牌货！
玲奈？: 那么，玲奈把朋友们也都叫过来哦～！
玲奈？: 大家一起～在这里玩耍吧……！
阿见莉爱: 那我也来参加战斗吧！
枫: 我、我也来！
彩羽: 一起杀出重围吧！
