
--- [Section 0] (Source: 420031-0.json) ---
旁白: ∵呼呼￣呼―呼呼
彩羽: ―彩羽―\n八千代，这个难道是！
八千代: ―八千代―\n嗯，我记得它应该就是\n变成彩羽手镯的那个……
鹤乃: ―鹤乃―\n彩羽！\n你有把手镯好好戴着吗？！
彩羽: ―彩羽―\n我戴着的！\n而且宝石也还在！
莎奈: ―莎奈―\n那我们面前这个\n是别的吗？
菲莉希亚: ―菲莉希亚―\n管它是哪个！
菲莉希亚: ―菲莉希亚―\n干掉它\n拿到的石头不就好了！
忧: ―忧―\n等等……不对……
彩羽: ―彩羽―\n忧？
忧: ―忧―\n它的魔力模式\n跟姐姐拥有的不一样！
笼目: 『只要和这个战斗\n就能得到感情的碎片……』
结菜: 是吗，找到那个了吗。
静香: 不能让别人超过我们，\n赶紧先派几个人过去！
时雨: 虽然我的力量不够……\n但我们必须缩小差距……
拉比: 被污秽腐蚀的究竟是什么东西……
拉比: 恐怕只有她知道答案。
灯花: 我们所寻找的……
灯花: 原本是那个叫夏娃的\n巨大魔女吧？
灯花: 所以在夏娃消散之际，\n那些四处飞散的能量……
灯花: 除了感情，还混入了污秽。
灯花: 也就是说！
灯花: 传闻中的\n是由许多污秽和微小的感情碎片\n凝聚在一起的结晶体
灯花: 虽然这还只是猜测……
灯花: 当积累的污秽超过一定限度后\n它就可能会呈现出\n与真正的相同的形态～
彩羽: 既然明白了原理，\n我们就更不能错过了。
彩羽: 我们一起去打倒它吧！
八千代: 没错，首先要仔细调查\n这次现身的敌人。
