
--- [Section 0] (Source: 420031-0.json) ---
旁白: ∵フフッ￣フ―フフッ
いろは: ―いろは―\nやちよさん、\nこのって！
やちよ: ―やちよ―\nええ、いろはのブレスレットに\nなったはずよ…
鶴乃: ―鶴乃―\nいろはちゃん！\nちゃんと腕に付いてる!?
いろは: ―いろは―\nはい、あります！\n宝石もなくなってません！
さな: ―さな―\nじゃあ、目の前にいるのは\n別のですか…？
フェリシア: ―フェリシア―\n同じだろーが別だろーが、\nどーでもいいぞ！
フェリシア: ―フェリシア―\nぶっ倒して\nの石をもらおーぜ！
うい: ―うい―\n待って…違う…
いろは: ―いろは―\nうい…？
うい: ―うい―\nお姉ちゃんが持ってるとは\n魔力のパターンが違ってる…！
かごめ: 『このと戦えば\n感情の欠片が手に入る』って…
結菜: そう、例のを\n見つけたのねぇ
静香: 先を越されるわけにはいかないわ\n何人か先に行かせて！
時雨: ここで、差を縮めないと…\nぼくじゃ敵わないけど…
ラビ: にして穢れに蝕まれた存在
ラビ: 正体を知るのは彼女だけ
灯花: わたくしたちが探している\nっていうのは
灯花: 元々、でっかーく育った\nイブっていう魔女だったでしょ？
灯花: だからイブの消滅と一緒に\n飛び散ったエネルギーには
灯花: 感情以外に\n穢れも混ざってたんだよ
灯花: それはつまり！
灯花: 噂になってるっていうのは\nたっくさんの穢れが\n小さな感情の欠片と一緒に集合した結晶体
灯花: 断言はできないんだけどー
灯花: 穢れが一定のレベルを超えちゃったから\n本物のと同じような姿で\n現れたのかもしれないねー
いろは: 詳細が明らかになった以上、\n私たちも逃すわけにはいきません
いろは: みんなで倒しに行きましょう！
やちよ: ええ、まずは今回現れた\n相手の詳細を調べましょう
