
---[Section 020] (Source: 913216-020_mami.json) ---
旁白: 何、死にそうな顔してんだい？
マミ: 佐倉さん？
杏子: ちょいと、ツラ貸しな
杏子: あんたに頼みたいことがあるんだ

---[Section 030] (Source: 913216-030_mami.json) ---
マミ: え…
杏子: やっぱりあんたも知らなかったか
杏子: 美樹さやかは、契約して\n魔法少女になると…
杏子: いずれソウルジェムが濁りきって\n魔女になるんだと
マミ: 魔法少女が魔女になる…？
杏子: 今まで、そんなの考えたことも\nなかったけど…
杏子: 言われてみりゃ\nわからなくもないんだよな
杏子: 調子の悪くなった魔法少女が\nいつの間にかいなくなってる…
杏子: 魔女にやられてくたばっちまった\nのかと思ってたんだけど…
杏子: 魔女になってた…と考えりゃ\n辻褄は確かに合う、だろ？
マミ: え…ええ
マミ: でも…ただの可能性にしか\n過ぎないわ
マミ: それに、キュゥべえは\nそんなこと一言も…
杏子: ああ、それが一番\n手っ取り早いのはわかんだけど
杏子: あたしがキュゥべえにバラすのは\n絶対やめろって言われてんだよな
杏子: だから、マミ\nあんたが聞いてくれよ
マミ: 私が…？
杏子: ギブアンドテイク
杏子: これが真実かどうかで\n戦い方も大きく変わるだろうしね
杏子: 頼んだよ、マミ
マミ: え…ええ
