
---[Section 050] (Source: 906111-050.json) ---
旁白: カランカラン
さやか: ありがとうございましたー！
さやか: ふぅー！終わった終わったぁ！
咲笑: うふふふふ、ありがとうね\nさやかちゃん
咲笑: あなたみたいな元気な子が\n来てくれて助かるわぁ
まばゆ: はいはい、どーせ私はやる気\nゼロの陰キャちゃんですよぉ
さやか: まばゆセンパイ！そんな\n落ち込まないでくださいよー
まばゆ: せ、センパイ？
さやか: そうじゃないですかー！
さやか: あたしに仕事教えてくれたし\nそもそも学年もイッコ上でしょう
さやか: 「まばゆセンパイ」って\n呼ばせてもらいますね
まばゆ: いや、そんな、\nセンパイだなんて…
さやか: 何照れてるんですかセンパイ？\n感謝してるんですよセンパイ？
まばゆ: うおっ！な、なんですかこの…
まばゆ: 急に後輩から強いられる\n先輩の自覚みたいな、新感覚！
咲笑: 良かったわね、まばゆセンパイ
まばゆ: 咲笑さんまでイジるの\nやめてもらえます？
咲笑: あらあら、照れちゃって\nうふふふふ…
さやか: で、まばゆセンパイ
まばゆ: あ、はい
さやか: なんであたしに\n声かけたんですか？
まばゆ: え、いや、だからその\nお金に困ってそうだなって…
まばゆ: 咲笑さんも新しく店員さんを\n増やしたがってましたし…
さやか: まーセンパイが、そういう友だち\n少ないのはわかりますけど…
さやか: でも、ほぼ他人のあたしに\n声かけるの、変ですよね？
まばゆ: え、いや、その…
さやか: その？
まばゆ: じ、実は…ですね
まばゆ: 私、お店でよく映画を\nあさってるんですけれど…
まばゆ: その時、隣のCD売り場で\n美樹さんの姿を見かけてて…
さやか: ああ、なるほど\nそれで気になって？
まばゆ: そうですそうです！\nそういうことです！
さやか: なるほどなー、ヒットチャートの\nチェックは日課だからなー
まばゆ: そうなんですよ！おっ、今週も\nチャートをチェックしてるなって
さやか: そうなんだよねー\nあたし、メタルに目がなくてさー
まばゆ: あーやっぱり！試聴で\n自然とヘドバンしてましたよぉ！
さやか: やだ、ウソぉ！
まばゆ: ウソじゃないですよ！\nホントです!!
さやか: 嘘ウソ、絶対ウソ！
まばゆ: ホントホント、ホントにホント\nですってばぁ！
さやか: だから、ウソだって\nあたし、メタルなんて聞かないし
まばゆ: え…？
さやか: まばゆセンパイ\nなんで隠し事するんですか？
まばゆ: えっと、そ、それは…
さやか: …はぁ
さやか: 言いたくないならいいですけど
さやか: あたしもまばゆセンパイに仕事紹介\nしてもらって、助かりますし
さやか: ま、気が向いたら教えて下さいよ
さやか: それじゃ、お疲れ様でしたー！
まばゆ: お、おつかれさま、でしたー…
