
---[Section 010] (Source: 909117-010_sayaka.json) ---
旁白: 咔啦咔啦…
沙耶香: 恭介，你的身体…
恭介: 沙耶香…
沙耶香: 嗯？怎么了
恭介: 昨天…对不起！\n真的很对不起！
沙耶香: 诶，等一下等一下！\n怎么了？
恭介: 我昨天…\n做了很不像样的事情
恭介: 因为伤比我想象的严重\n就对沙耶香乱发脾气…
恭介: 明明就算做那种事\n也没有用…
恭介: 沙耶香还\n总是在关心我…
恭介: 今天也在关心\n说了那么过分的话的我…
沙耶香: 诶…你说了什么吗？
沙耶香: 啊哈哈，\n虽然我其实已经不太记得了
沙耶香: 但你能像这样反省自己\n改正不好的地方…
沙耶香: 不逃避自己的弱点\n而是能直面它们
沙耶香: 恭介就是恭介哦
恭介: 沙耶香…
沙耶香: 奇迹啊魔法啊…\n虽然如果有的话确实很方便
沙耶香: 但就算没有那种东西\n也能靠自己站起来
沙耶香: 那才是上条恭介吧？\n不是吗？
恭介: …我真的能做到吗
沙耶香: 嗯，这个嘛
沙耶香: 那，我就站在旁边\n支撑你吧！
沙耶香: …开玩笑的
恭介: 谢谢，沙耶香
恭介: 今后也请多指教了
沙耶香: …嗯
